freq,psd_x,psd_y,psd_z,psd_xyz,zv(63.2),mzv(63.8),ei(76.4),2hump_ei(95.0),3hump_ei(113.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.994,0.992,0.991
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.991,0.987,0.986,0.983,0.981
4.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.978,0.976,0.971,0.968
6.0,2.292e+02,4.279e+01,6.276e+01,3.348e+02,0.977,0.968,0.964,0.958,0.953
7.5,2.948e+02,3.482e+01,5.172e+01,3.814e+02,0.968,0.956,0.950,0.943,0.937
8.9,3.372e+02,3.110e+01,4.675e+01,4.151e+02,0.957,0.942,0.935,0.926,0.918
10.4,3.949e+02,2.980e+01,3.838e+01,4.631e+02,0.946,0.927,0.918,0.907,0.898
11.9,4.487e+02,2.664e+01,3.205e+01,5.074e+02,0.933,0.910,0.900,0.887,0.876
13.4,5.037e+02,2.405e+01,2.721e+01,5.550e+02,0.919,0.892,0.880,0.865,0.853
14.9,5.825e+02,2.242e+01,2.603e+01,6.309e+02,0.904,0.873,0.859,0.842,0.828
16.4,6.585e+02,2.014e+01,2.483e+01,7.035e+02,0.888,0.852,0.837,0.817,0.803
17.9,7.414e+02,1.700e+01,1.923e+01,7.776e+02,0.870,0.830,0.813,0.792,0.776
19.4,7.994e+02,1.396e+01,1.443e+01,8.278e+02,0.852,0.807,0.788,0.765,0.747
20.9,8.272e+02,1.204e+01,1.339e+01,8.527e+02,0.832,0.783,0.762,0.738,0.718
22.4,8.781e+02,1.137e+01,1.230e+01,9.017e+02,0.812,0.758,0.735,0.709,0.689
23.8,9.695e+02,1.151e+01,1.246e+01,9.935e+02,0.790,0.732,0.708,0.680,0.658
25.3,1.089e+03,1.090e+01,1.220e+01,1.112e+03,0.768,0.706,0.679,0.650,0.628
26.8,1.224e+03,1.017e+01,1.153e+01,1.246e+03,0.744,0.678,0.650,0.620,0.596
28.3,1.361e+03,9.670e+00,1.062e+01,1.381e+03,0.720,0.650,0.621,0.590,0.565
29.8,1.475e+03,9.523e+00,9.553e+00,1.494e+03,0.695,0.621,0.591,0.559,0.533
31.3,1.602e+03,9.111e+00,9.440e+00,1.620e+03,0.669,0.592,0.561,0.528,0.502
32.8,1.796e+03,9.607e+00,1.044e+01,1.816e+03,0.642,0.563,0.530,0.497,0.471
34.3,1.975e+03,1.023e+01,1.067e+01,1.996e+03,0.615,0.533,0.500,0.467,0.440
35.8,2.138e+03,9.535e+00,1.153e+01,2.159e+03,0.587,0.503,0.469,0.436,0.409
37.3,2.352e+03,8.450e+00,1.149e+01,2.372e+03,0.558,0.472,0.439,0.406,0.379
38.7,2.619e+03,9.577e+00,1.169e+01,2.640e+03,0.529,0.442,0.408,0.376,0.350
40.2,2.961e+03,1.183e+01,1.284e+01,2.986e+03,0.499,0.412,0.379,0.347,0.321
41.7,3.360e+03,1.209e+01,1.371e+01,3.386e+03,0.469,0.382,0.349,0.319,0.294
43.2,3.847e+03,1.005e+01,1.442e+01,3.871e+03,0.438,0.352,0.320,0.292,0.267
44.7,4.410e+03,1.071e+01,1.563e+01,4.436e+03,0.407,0.322,0.292,0.265,0.241
46.2,5.090e+03,1.137e+01,1.852e+01,5.120e+03,0.375,0.293,0.264,0.239,0.217
47.7,6.024e+03,1.088e+01,1.966e+01,6.054e+03,0.343,0.264,0.238,0.214,0.193
49.2,7.250e+03,1.050e+01,2.340e+01,7.283e+03,0.311,0.236,0.212,0.191,0.171
50.7,8.696e+03,1.155e+01,2.634e+01,8.733e+03,0.279,0.208,0.187,0.168,0.150
52.2,1.045e+04,2.103e+01,2.538e+01,1.050e+04,0.246,0.181,0.163,0.147,0.131
53.6,1.310e+04,3.430e+01,2.089e+01,1.315e+04,0.214,0.155,0.140,0.127,0.113
55.1,1.686e+04,5.129e+01,1.845e+01,1.693e+04,0.181,0.130,0.119,0.108,0.097
56.6,2.386e+04,8.848e+01,2.437e+01,2.398e+04,0.149,0.106,0.099,0.091,0.082
58.1,3.970e+04,1.826e+02,5.087e+01,3.994e+04,0.117,0.083,0.080,0.076,0.069
59.6,6.557e+04,3.556e+02,1.081e+02,6.604e+04,0.094,0.061,0.063,0.062,0.059
61.1,8.320e+04,5.770e+02,1.407e+02,8.392e+04,0.074,0.047,0.048,0.050,0.050
62.6,8.364e+04,6.890e+02,1.335e+02,8.446e+04,0.063,0.038,0.035,0.040,0.043
64.1,7.227e+04,6.552e+02,1.049e+02,7.303e+04,0.065,0.034,0.025,0.033,0.039
65.6,5.688e+04,5.446e+02,8.785e+01,5.751e+04,0.078,0.038,0.020,0.029,0.037
67.1,4.404e+04,4.425e+02,7.629e+01,4.456e+04,0.097,0.046,0.021,0.027,0.037
68.5,3.449e+04,3.888e+02,6.657e+01,3.494e+04,0.121,0.057,0.025,0.029,0.037
70.0,2.749e+04,3.676e+02,5.009e+01,2.790e+04,0.151,0.070,0.030,0.031,0.038
71.5,2.213e+04,3.530e+02,3.233e+01,2.252e+04,0.182,0.082,0.034,0.033,0.039
73.0,1.787e+04,3.198e+02,2.540e+01,1.821e+04,0.212,0.094,0.037,0.036,0.040
74.5,1.449e+04,2.794e+02,2.556e+01,1.480e+04,0.242,0.103,0.039,0.037,0.040
76.0,1.191e+04,2.689e+02,3.329e+01,1.222e+04,0.271,0.112,0.040,0.038,0.040
77.5,9.781e+03,2.737e+02,5.681e+01,1.011e+04,0.300,0.119,0.039,0.038,0.039
79.0,7.635e+03,2.762e+02,9.863e+01,8.010e+03,0.329,0.125,0.037,0.038,0.037
80.5,6.227e+03,2.713e+02,1.297e+02,6.628e+03,0.357,0.129,0.033,0.037,0.036
82.0,5.038e+03,2.237e+02,1.400e+02,5.402e+03,0.384,0.132,0.031,0.035,0.033
83.4,4.274e+03,1.644e+02,1.058e+02,4.544e+03,0.411,0.133,0.029,0.033,0.031
84.9,3.619e+03,1.215e+02,5.474e+01,3.795e+03,0.437,0.133,0.028,0.030,0.028
86.4,2.747e+03,1.058e+02,2.021e+01,2.873e+03,0.462,0.132,0.028,0.026,0.025
87.9,2.017e+03,1.115e+02,1.190e+01,2.141e+03,0.486,0.129,0.030,0.023,0.021
89.4,1.531e+03,1.260e+02,1.844e+01,1.675e+03,0.510,0.125,0.035,0.019,0.018
90.9,1.251e+03,1.443e+02,2.758e+01,1.423e+03,0.532,0.120,0.041,0.015,0.015
92.4,1.213e+03,1.504e+02,3.416e+01,1.397e+03,0.554,0.114,0.049,0.012,0.013
93.9,1.585e+03,1.535e+02,4.106e+01,1.780e+03,0.575,0.106,0.060,0.011,0.012
95.4,2.555e+03,2.042e+02,9.503e+01,2.854e+03,0.595,0.098,0.076,0.011,0.012
96.9,3.642e+03,2.947e+02,1.547e+02,4.091e+03,0.615,0.094,0.093,0.011,0.013
98.3,3.999e+03,2.457e+02,1.042e+02,4.349e+03,0.633,0.090,0.110,0.013,0.015
99.8,3.967e+03,1.992e+02,7.683e+01,4.243e+03,0.650,0.086,0.128,0.016,0.017
101.3,3.755e+03,1.728e+02,7.480e+01,4.003e+03,0.666,0.083,0.147,0.020,0.020
102.8,3.617e+03,1.524e+02,9.777e+01,3.867e+03,0.682,0.081,0.166,0.023,0.022
104.3,3.718e+03,9.825e+01,9.110e+01,3.908e+03,0.696,0.080,0.186,0.026,0.024
105.8,3.543e+03,9.420e+01,9.383e+01,3.732e+03,0.709,0.081,0.206,0.028,0.026
107.3,3.310e+03,1.949e+02,1.333e+02,3.638e+03,0.721,0.084,0.227,0.030,0.028
108.8,3.194e+03,3.683e+02,1.687e+02,3.731e+03,0.732,0.089,0.247,0.031,0.029
110.3,3.058e+03,5.697e+02,1.906e+02,3.818e+03,0.742,0.096,0.268,0.032,0.030
111.8,2.812e+03,6.154e+02,1.725e+02,3.600e+03,0.751,0.104,0.289,0.032,0.030
113.2,2.543e+03,5.819e+02,1.390e+02,3.264e+03,0.759,0.113,0.310,0.031,0.030
114.7,2.365e+03,5.898e+02,1.235e+02,3.078e+03,0.766,0.124,0.330,0.029,0.030
116.2,2.174e+03,6.440e+02,1.220e+02,2.940e+03,0.772,0.135,0.351,0.027,0.029
117.7,1.957e+03,6.608e+02,1.136e+02,2.731e+03,0.776,0.153,0.371,0.027,0.027
119.2,1.763e+03,5.709e+02,8.905e+01,2.423e+03,0.780,0.174,0.391,0.027,0.026
120.7,1.666e+03,5.228e+02,7.036e+01,2.259e+03,0.782,0.195,0.410,0.027,0.024
122.2,1.650e+03,5.145e+02,5.715e+01,2.222e+03,0.784,0.216,0.429,0.028,0.022
123.7,1.713e+03,4.892e+02,4.197e+01,2.244e+03,0.784,0.238,0.447,0.029,0.019
125.2,1.762e+03,3.984e+02,2.567e+01,2.186e+03,0.783,0.259,0.465,0.031,0.017
126.7,1.762e+03,2.929e+02,1.546e+01,2.070e+03,0.781,0.280,0.481,0.033,0.014
128.1,1.723e+03,2.064e+02,1.005e+01,1.940e+03,0.779,0.302,0.497,0.037,0.013
129.6,1.678e+03,1.362e+02,9.789e+00,1.824e+03,0.775,0.323,0.513,0.041,0.013
131.1,1.491e+03,7.791e+01,1.255e+01,1.581e+03,0.770,0.343,0.527,0.046,0.012
132.6,9.581e+02,3.434e+01,1.237e+01,1.005e+03,0.764,0.364,0.540,0.055,0.012
134.1,1.581e+02,1.542e+01,7.857e+00,1.814e+02,0.757,0.384,0.553,0.067,0.012
135.6,2.490e+01,1.518e+01,7.465e+00,4.755e+01,0.749,0.403,0.564,0.080,0.013
137.1,2.359e+01,1.368e+01,5.611e+00,4.289e+01,0.740,0.422,0.574,0.094,0.014
138.6,2.106e+01,1.224e+01,4.911e+00,3.821e+01,0.730,0.441,0.583,0.108,0.014
140.1,1.892e+01,9.286e+00,5.106e+00,3.331e+01,0.719,0.458,0.591,0.122,0.016
141.6,1.689e+01,8.122e+00,4.561e+00,2.957e+01,0.707,0.476,0.598,0.137,0.018
143.0,1.534e+01,9.211e+00,4.290e+00,2.885e+01,0.694,0.492,0.604,0.153,0.020
144.5,1.672e+01,1.119e+01,4.047e+00,3.196e+01,0.681,0.508,0.608,0.168,0.022
146.0,1.768e+01,1.421e+01,4.467e+00,3.636e+01,0.667,0.522,0.611,0.184,0.024
147.5,1.762e+01,1.603e+01,5.473e+00,3.912e+01,0.651,0.536,0.613,0.201,0.025
149.0,1.812e+01,1.738e+01,6.392e+00,4.189e+01,0.636,0.549,0.614,0.217,0.025
150.5,1.881e+01,1.706e+01,7.570e+00,4.344e+01,0.619,0.561,0.614,0.233,0.025
152.0,1.960e+01,1.335e+01,8.237e+00,4.119e+01,0.602,0.572,0.612,0.250,0.024
