freq,psd_x,psd_y,psd_z,psd_xyz,zv(62.4),mzv(63.6),ei(75.8),2hump_ei(94.6),3hump_ei(113.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.994,0.992,0.991
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.991,0.987,0.985,0.983,0.981
4.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.978,0.975,0.971,0.968
6.0,2.464e+02,6.998e+01,8.849e+01,4.048e+02,0.976,0.968,0.963,0.958,0.953
7.5,2.957e+02,6.698e+01,8.419e+01,4.469e+02,0.967,0.955,0.950,0.942,0.937
8.9,3.446e+02,5.613e+01,7.324e+01,4.740e+02,0.956,0.942,0.934,0.925,0.918
10.4,4.018e+02,4.056e+01,5.084e+01,4.932e+02,0.945,0.926,0.917,0.906,0.898
11.9,4.697e+02,3.620e+01,3.939e+01,5.453e+02,0.931,0.910,0.899,0.886,0.876
13.4,5.420e+02,3.085e+01,2.955e+01,6.024e+02,0.917,0.891,0.879,0.864,0.853
14.9,6.101e+02,2.337e+01,2.421e+01,6.577e+02,0.902,0.872,0.857,0.841,0.828
16.4,6.468e+02,2.079e+01,2.351e+01,6.910e+02,0.885,0.851,0.835,0.816,0.803
17.9,6.446e+02,1.740e+01,2.129e+01,6.833e+02,0.867,0.829,0.811,0.791,0.775
19.4,6.775e+02,1.371e+01,1.546e+01,7.066e+02,0.848,0.806,0.785,0.764,0.747
20.9,7.216e+02,1.189e+01,1.245e+01,7.459e+02,0.829,0.782,0.759,0.736,0.718
22.4,7.951e+02,9.723e+00,1.124e+01,8.161e+02,0.808,0.757,0.732,0.707,0.689
23.8,8.791e+02,9.976e+00,1.171e+01,9.008e+02,0.786,0.731,0.704,0.678,0.658
25.3,9.582e+02,8.566e+00,1.183e+01,9.786e+02,0.763,0.704,0.675,0.648,0.627
26.8,1.050e+03,7.799e+00,1.183e+01,1.070e+03,0.739,0.677,0.646,0.618,0.596
28.3,1.124e+03,8.971e+00,1.216e+01,1.146e+03,0.714,0.648,0.616,0.587,0.565
29.8,1.235e+03,9.663e+00,1.211e+01,1.257e+03,0.688,0.619,0.586,0.556,0.533
31.3,1.377e+03,1.050e+01,1.325e+01,1.400e+03,0.662,0.590,0.555,0.525,0.502
32.8,1.534e+03,1.179e+01,1.388e+01,1.560e+03,0.635,0.560,0.525,0.494,0.471
34.3,1.723e+03,1.226e+01,1.471e+01,1.749e+03,0.607,0.530,0.494,0.464,0.440
35.8,1.953e+03,1.257e+01,1.375e+01,1.980e+03,0.578,0.500,0.463,0.433,0.409
37.3,2.226e+03,1.528e+01,1.526e+01,2.257e+03,0.549,0.470,0.432,0.403,0.379
38.7,2.488e+03,1.952e+01,1.883e+01,2.527e+03,0.519,0.439,0.402,0.373,0.350
40.2,2.741e+03,2.384e+01,2.023e+01,2.785e+03,0.488,0.409,0.372,0.344,0.321
41.7,3.061e+03,2.245e+01,1.934e+01,3.103e+03,0.458,0.379,0.342,0.316,0.294
43.2,3.515e+03,1.567e+01,1.898e+01,3.550e+03,0.426,0.349,0.313,0.288,0.267
44.7,4.090e+03,1.169e+01,1.863e+01,4.120e+03,0.394,0.319,0.285,0.261,0.241
46.2,4.790e+03,1.009e+01,2.230e+01,4.823e+03,0.362,0.290,0.257,0.236,0.216
47.7,5.658e+03,1.140e+01,2.511e+01,5.695e+03,0.330,0.261,0.231,0.211,0.193
49.2,6.718e+03,1.628e+01,3.231e+01,6.766e+03,0.297,0.233,0.205,0.187,0.171
50.7,8.073e+03,2.377e+01,4.636e+01,8.143e+03,0.265,0.205,0.180,0.165,0.150
52.2,9.940e+03,3.574e+01,6.260e+01,1.004e+04,0.232,0.178,0.157,0.144,0.131
53.7,1.299e+04,5.523e+01,9.452e+01,1.314e+04,0.199,0.152,0.134,0.124,0.113
55.1,1.785e+04,8.637e+01,1.515e+02,1.809e+04,0.166,0.127,0.113,0.105,0.097
56.6,2.653e+04,1.581e+02,2.674e+02,2.696e+04,0.133,0.103,0.093,0.088,0.082
58.1,4.257e+04,2.758e+02,4.634e+02,4.331e+04,0.105,0.080,0.075,0.073,0.069
59.6,6.455e+04,4.053e+02,6.696e+02,6.563e+04,0.083,0.059,0.058,0.059,0.058
61.1,7.737e+04,4.837e+02,7.627e+02,7.862e+04,0.067,0.046,0.044,0.048,0.050
62.6,7.535e+04,5.156e+02,6.708e+02,7.653e+04,0.062,0.037,0.031,0.038,0.043
64.1,6.389e+04,4.944e+02,5.321e+02,6.492e+04,0.071,0.035,0.023,0.032,0.039
65.6,4.793e+04,4.443e+02,4.866e+02,4.886e+04,0.088,0.039,0.020,0.028,0.037
67.1,3.514e+04,3.884e+02,4.545e+02,3.598e+04,0.110,0.047,0.022,0.028,0.037
68.6,2.577e+04,3.533e+02,3.496e+02,2.647e+04,0.139,0.059,0.027,0.029,0.037
70.0,1.906e+04,2.956e+02,2.997e+02,1.966e+04,0.170,0.072,0.031,0.031,0.038
71.5,1.416e+04,2.060e+02,2.891e+02,1.465e+04,0.201,0.084,0.035,0.034,0.039
73.0,1.101e+04,1.908e+02,2.523e+02,1.145e+04,0.231,0.095,0.038,0.036,0.040
74.5,9.125e+03,2.084e+02,2.213e+02,9.555e+03,0.261,0.105,0.040,0.037,0.040
76.0,7.399e+03,2.150e+02,1.997e+02,7.813e+03,0.291,0.113,0.040,0.038,0.040
77.5,6.101e+03,2.514e+02,2.118e+02,6.564e+03,0.320,0.120,0.038,0.038,0.039
79.0,4.808e+03,3.059e+02,2.566e+02,5.371e+03,0.348,0.125,0.035,0.038,0.037
80.5,3.444e+03,3.952e+02,3.456e+02,4.185e+03,0.376,0.129,0.032,0.036,0.036
82.0,2.563e+03,4.017e+02,3.757e+02,3.340e+03,0.403,0.132,0.030,0.034,0.033
83.5,2.027e+03,2.684e+02,2.782e+02,2.574e+03,0.430,0.133,0.029,0.032,0.031
84.9,1.676e+03,1.072e+02,1.287e+02,1.911e+03,0.455,0.133,0.028,0.029,0.028
86.4,1.335e+03,5.567e+01,5.420e+01,1.445e+03,0.480,0.132,0.029,0.025,0.025
87.9,9.877e+02,1.030e+02,3.863e+01,1.129e+03,0.504,0.129,0.032,0.022,0.021
89.4,7.155e+02,3.141e+02,1.149e+02,1.145e+03,0.527,0.124,0.038,0.018,0.018
90.9,5.094e+02,5.855e+02,2.612e+02,1.356e+03,0.550,0.119,0.045,0.014,0.015
92.4,4.470e+02,6.809e+02,3.356e+02,1.464e+03,0.571,0.112,0.053,0.012,0.013
93.9,4.987e+02,7.595e+02,4.293e+02,1.688e+03,0.592,0.104,0.068,0.011,0.012
95.4,6.459e+02,8.510e+02,4.791e+02,1.976e+03,0.612,0.097,0.085,0.011,0.012
96.9,1.364e+03,8.036e+02,4.234e+02,2.591e+03,0.630,0.093,0.102,0.012,0.013
98.4,2.004e+03,4.771e+02,2.507e+02,2.732e+03,0.648,0.089,0.120,0.014,0.015
99.8,2.074e+03,2.167e+02,1.373e+02,2.428e+03,0.664,0.085,0.138,0.017,0.017
101.3,1.869e+03,7.192e+01,1.031e+02,2.044e+03,0.680,0.082,0.158,0.021,0.020
102.8,1.536e+03,2.930e+01,1.191e+02,1.685e+03,0.695,0.081,0.177,0.024,0.022
104.3,1.223e+03,5.858e+01,1.650e+02,1.446e+03,0.708,0.080,0.197,0.026,0.024
105.8,1.070e+03,1.358e+02,2.044e+02,1.410e+03,0.720,0.082,0.218,0.029,0.026
107.3,1.084e+03,2.763e+02,2.257e+02,1.586e+03,0.732,0.085,0.239,0.030,0.028
108.8,1.004e+03,4.414e+02,2.955e+02,1.741e+03,0.742,0.091,0.260,0.031,0.029
110.3,8.699e+02,5.652e+02,3.579e+02,1.793e+03,0.751,0.098,0.281,0.032,0.030
111.8,6.977e+02,5.736e+02,3.798e+02,1.651e+03,0.759,0.106,0.301,0.031,0.030
113.3,5.629e+02,5.236e+02,3.792e+02,1.466e+03,0.766,0.116,0.322,0.030,0.030
114.8,5.449e+02,5.908e+02,4.014e+02,1.537e+03,0.772,0.127,0.343,0.029,0.029
116.2,5.688e+02,6.964e+02,4.289e+02,1.694e+03,0.777,0.138,0.363,0.027,0.029
117.7,5.959e+02,8.061e+02,4.438e+02,1.846e+03,0.780,0.158,0.384,0.027,0.027
119.2,6.038e+02,9.389e+02,4.581e+02,2.001e+03,0.783,0.179,0.403,0.027,0.026
120.7,5.959e+02,1.071e+03,4.885e+02,2.155e+03,0.784,0.201,0.422,0.027,0.024
122.2,5.756e+02,1.060e+03,5.380e+02,2.174e+03,0.784,0.222,0.441,0.028,0.022
123.7,5.562e+02,8.857e+02,5.683e+02,2.010e+03,0.783,0.243,0.459,0.029,0.019
125.2,5.609e+02,6.962e+02,5.679e+02,1.825e+03,0.781,0.265,0.476,0.032,0.017
126.7,5.486e+02,5.781e+02,5.582e+02,1.685e+03,0.778,0.286,0.492,0.035,0.014
128.2,5.875e+02,4.775e+02,5.304e+02,1.595e+03,0.774,0.308,0.508,0.038,0.013
129.7,5.959e+02,4.013e+02,5.008e+02,1.498e+03,0.769,0.329,0.523,0.043,0.013
131.1,6.520e+02,3.323e+02,4.510e+02,1.435e+03,0.763,0.349,0.536,0.048,0.012
132.6,5.039e+02,1.936e+02,2.809e+02,9.783e+02,0.755,0.370,0.549,0.060,0.012
134.1,9.208e+01,4.676e+01,5.876e+01,1.976e+02,0.747,0.390,0.561,0.072,0.012
135.6,2.638e+01,2.503e+01,2.290e+01,7.431e+01,0.738,0.409,0.571,0.086,0.013
137.1,3.129e+01,2.691e+01,2.513e+01,8.333e+01,0.728,0.428,0.581,0.099,0.014
138.6,3.641e+01,2.785e+01,2.760e+01,9.187e+01,0.716,0.446,0.589,0.114,0.014
140.1,3.461e+01,2.801e+01,2.853e+01,9.115e+01,0.704,0.464,0.596,0.129,0.016
141.6,3.197e+01,2.811e+01,2.868e+01,8.876e+01,0.691,0.481,0.602,0.144,0.018
143.1,3.380e+01,2.742e+01,3.010e+01,9.133e+01,0.677,0.497,0.607,0.159,0.020
144.6,3.823e+01,2.841e+01,3.171e+01,9.834e+01,0.663,0.512,0.611,0.175,0.022
146.0,4.389e+01,2.874e+01,3.256e+01,1.052e+02,0.647,0.527,0.613,0.191,0.024
147.5,4.820e+01,2.904e+01,3.524e+01,1.125e+02,0.631,0.541,0.614,0.208,0.025
149.0,5.034e+01,3.036e+01,3.525e+01,1.159e+02,0.614,0.553,0.614,0.224,0.025
150.5,5.363e+01,3.082e+01,3.648e+01,1.209e+02,0.596,0.565,0.612,0.240,0.025
152.0,5.864e+01,2.912e+01,3.721e+01,1.250e+02,0.577,0.576,0.610,0.257,0.024
