freq,psd_x,psd_y,psd_z,psd_xyz,zv(61.6),mzv(62.6),ei(74.8),2hump_ei(93.4),3hump_ei(111.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.993,0.992,0.991
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.990,0.986,0.985,0.982,0.979
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.983,0.977,0.974,0.969,0.966
6.2,1.390e+03,3.297e+02,5.147e+01,1.771e+03,0.975,0.965,0.961,0.955,0.950
7.7,1.092e+03,2.467e+02,3.541e+01,1.374e+03,0.965,0.952,0.946,0.938,0.932
9.2,1.103e+03,2.022e+02,4.287e+01,1.348e+03,0.953,0.937,0.930,0.920,0.912
10.8,1.325e+03,2.021e+02,5.359e+01,1.580e+03,0.940,0.921,0.911,0.900,0.890
12.3,1.055e+03,1.894e+02,3.752e+01,1.282e+03,0.926,0.903,0.892,0.878,0.867
13.9,9.296e+02,1.737e+02,3.009e+01,1.133e+03,0.911,0.883,0.870,0.855,0.842
15.4,9.746e+02,1.604e+02,2.227e+01,1.157e+03,0.894,0.862,0.847,0.830,0.815
16.9,1.087e+03,1.412e+02,2.070e+01,1.249e+03,0.876,0.840,0.822,0.803,0.787
18.5,1.109e+03,1.223e+02,1.811e+01,1.250e+03,0.857,0.816,0.797,0.776,0.758
20.0,1.097e+03,1.034e+02,1.455e+01,1.215e+03,0.837,0.791,0.770,0.747,0.728
21.5,1.199e+03,9.077e+01,1.287e+01,1.303e+03,0.815,0.765,0.742,0.718,0.697
23.1,1.264e+03,8.474e+01,1.203e+01,1.360e+03,0.792,0.738,0.713,0.687,0.665
24.6,1.401e+03,8.393e+01,1.317e+01,1.498e+03,0.769,0.710,0.683,0.656,0.633
26.2,1.640e+03,9.312e+01,1.377e+01,1.747e+03,0.744,0.681,0.652,0.624,0.600
27.7,1.968e+03,1.256e+02,1.474e+01,2.108e+03,0.718,0.651,0.621,0.592,0.567
29.2,2.081e+03,1.343e+02,1.818e+01,2.234e+03,0.691,0.621,0.590,0.560,0.534
30.8,2.119e+03,1.069e+02,1.751e+01,2.243e+03,0.664,0.591,0.558,0.528,0.501
32.3,2.267e+03,1.058e+02,1.822e+01,2.391e+03,0.635,0.559,0.525,0.495,0.468
33.9,2.443e+03,1.227e+02,1.962e+01,2.585e+03,0.606,0.528,0.493,0.463,0.436
35.4,2.662e+03,9.434e+01,1.859e+01,2.775e+03,0.576,0.496,0.461,0.431,0.404
36.9,2.808e+03,8.826e+01,1.880e+01,2.915e+03,0.545,0.464,0.429,0.400,0.372
38.5,2.963e+03,8.596e+01,1.804e+01,3.067e+03,0.514,0.432,0.397,0.369,0.342
40.0,3.231e+03,7.767e+01,1.757e+01,3.326e+03,0.482,0.400,0.366,0.338,0.312
41.6,3.591e+03,7.587e+01,1.756e+01,3.685e+03,0.450,0.369,0.335,0.309,0.283
43.1,3.982e+03,7.552e+01,1.644e+01,4.074e+03,0.417,0.337,0.305,0.280,0.255
44.6,4.556e+03,7.366e+01,1.609e+01,4.645e+03,0.384,0.307,0.275,0.253,0.229
46.2,5.340e+03,7.379e+01,1.555e+01,5.429e+03,0.350,0.276,0.247,0.226,0.204
47.7,6.356e+03,7.302e+01,1.467e+01,6.443e+03,0.316,0.246,0.219,0.201,0.180
49.3,7.732e+03,7.371e+01,1.419e+01,7.820e+03,0.282,0.217,0.193,0.176,0.157
50.8,9.340e+03,7.461e+01,1.598e+01,9.430e+03,0.247,0.188,0.167,0.154,0.137
52.3,1.163e+04,7.077e+01,1.789e+01,1.172e+04,0.213,0.161,0.143,0.132,0.117
53.9,1.519e+04,6.324e+01,2.127e+01,1.527e+04,0.178,0.134,0.121,0.112,0.100
55.4,2.066e+04,5.202e+01,2.459e+01,2.073e+04,0.144,0.108,0.099,0.094,0.084
57.0,3.353e+04,7.008e+01,3.022e+01,3.363e+04,0.112,0.084,0.080,0.077,0.070
58.5,5.869e+04,1.106e+02,5.063e+01,5.885e+04,0.088,0.061,0.062,0.063,0.059
60.0,7.397e+04,1.317e+02,1.069e+02,7.421e+04,0.069,0.047,0.046,0.050,0.050
61.6,6.773e+04,1.153e+02,1.574e+02,6.801e+04,0.062,0.037,0.033,0.040,0.043
63.1,5.556e+04,9.240e+01,1.646e+02,5.582e+04,0.069,0.035,0.023,0.032,0.039
64.6,4.344e+04,1.057e+02,1.502e+02,4.370e+04,0.087,0.040,0.020,0.028,0.037
66.2,3.471e+04,1.092e+02,1.177e+02,3.494e+04,0.110,0.048,0.022,0.028,0.037
67.7,2.737e+04,1.150e+02,8.434e+01,2.757e+04,0.140,0.061,0.027,0.029,0.038
69.3,2.136e+04,1.219e+02,5.572e+01,2.154e+04,0.173,0.075,0.032,0.032,0.039
70.8,1.682e+04,1.188e+02,4.131e+01,1.698e+04,0.205,0.087,0.036,0.034,0.039
72.3,1.346e+04,1.284e+02,3.759e+01,1.363e+04,0.236,0.098,0.039,0.036,0.040
73.9,1.125e+04,1.535e+02,3.842e+01,1.144e+04,0.268,0.108,0.040,0.038,0.040
75.4,9.907e+03,1.803e+02,3.571e+01,1.012e+04,0.299,0.116,0.039,0.038,0.039
77.0,8.208e+03,1.854e+02,2.577e+01,8.419e+03,0.329,0.123,0.037,0.038,0.038
78.5,6.470e+03,1.620e+02,1.773e+01,6.649e+03,0.358,0.128,0.034,0.037,0.036
80.0,5.226e+03,1.231e+02,1.552e+01,5.364e+03,0.387,0.131,0.031,0.036,0.034
81.6,4.230e+03,1.046e+02,1.455e+01,4.349e+03,0.415,0.133,0.029,0.033,0.031
83.1,3.367e+03,9.858e+01,1.514e+01,3.481e+03,0.442,0.133,0.028,0.030,0.028
84.7,2.765e+03,1.190e+02,2.259e+01,2.906e+03,0.469,0.132,0.028,0.027,0.025
86.2,2.294e+03,1.994e+02,4.472e+01,2.538e+03,0.494,0.129,0.031,0.023,0.022
87.7,1.787e+03,2.563e+02,5.941e+01,2.103e+03,0.519,0.125,0.035,0.019,0.019
89.3,1.598e+03,2.363e+02,6.951e+01,1.904e+03,0.543,0.120,0.042,0.015,0.015
90.8,1.651e+03,2.533e+02,7.528e+01,1.979e+03,0.566,0.113,0.051,0.012,0.013
92.4,2.122e+03,3.129e+02,7.407e+01,2.509e+03,0.587,0.104,0.065,0.011,0.012
93.9,3.309e+03,2.944e+02,8.782e+01,3.691e+03,0.608,0.097,0.082,0.011,0.012
95.4,4.574e+03,3.378e+02,9.617e+01,5.008e+03,0.628,0.093,0.100,0.012,0.013
97.0,4.919e+03,4.751e+02,1.150e+02,5.509e+03,0.646,0.089,0.119,0.013,0.015
