#time,accel_x,accel_y,accel_z
17673.312555,-478.564520,382.851616,-9877.571693
17673.315103,-421.136778,325.423874,-9992.427178
17673.317652,-459.421939,287.138712,-9934.999435
17673.320200,-401.994197,344.566454,-9915.856854
17673.322749,-497.707101,306.281293,-9934.999435
17673.325297,-153.140646,57.427742,-9954.142016
17673.327846,95.712904,-287.138712,-9915.856854
17673.330394,-0.000000,593.420005,-9839.286531
17673.332942,-689.132909,-153.140646,-9877.571693
17673.335491,-727.418070,-287.138712,-9896.714274
17673.338039,-76.570323,631.705166,-9896.714274
17673.340588,-191.425808,-861.416136,-9954.142016
17673.343136,19.142581,-2048.256146,-10030.712339
17673.345684,-727.418070,880.558717,-9839.286531
17673.348233,-440.279358,937.986459,-9743.573627
17673.350781,-918.843878,-1359.123237,-9954.142016
17673.353330,650.847747,2565.105827,-9915.856854
17673.355878,1148.554848,248.853550,-10011.569758
17673.358427,-1091.127106,-382.851616,-10088.140082
17673.360976,-1397.408398,-459.421939,-9973.284597
17673.363525,-1397.408398,3005.385186,-9858.429112
17673.366074,-1301.695494,-325.423874,-9801.001370
17673.368623,421.136778,-727.418070,-10183.852986
17673.371172,555.134843,2507.678085,-10049.854920
17673.373721,-1148.554848,-229.710970,-9820.143950
17673.376270,-1761.117434,-497.707101,-9992.427178
17673.378819,-497.707101,1856.830338,-9896.714274
17673.381368,-287.138712,1282.552914,-9858.429112
17673.383917,-746.560651,-1186.840010,-9820.143950
17673.386466,-95.712904,1359.123237,-9896.714274
17673.389015,-727.418070,1167.697429,-9934.999435
17673.391564,-1741.974853,-689.132909,-9954.142016
17673.394113,-899.701298,344.566454,-9973.284597
17673.396661,-95.712904,1646.261949,-9743.573627
17673.399210,-765.703232,344.566454,-9877.571693
17673.401759,-1397.408398,-1148.554848,-9934.999435
17673.404308,-842.273555,2316.252277,-9934.999435
17673.406857,-459.421939,1550.549045,-9992.427178
17673.409406,-631.705166,133.998066,-10011.569758
17673.411955,-478.564520,-612.562586,-9839.286531
17673.414504,114.855485,2009.970984,-9743.573627
17673.417053,-1282.552914,1359.123237,-9801.001370
17673.419602,-1148.554848,-1205.982590,-9934.999435
17673.422151,-153.140646,976.271621,-10107.282662
17673.424700,-574.277424,1225.125171,-9934.999435
17673.427249,-995.414202,-1416.550979,-9858.429112
17673.429798,-746.560651,2947.957443,-9762.716208
17673.432347,-325.423874,306.281293,-9934.999435
17673.434896,-861.416136,1550.549045,-9915.856854
17673.437445,-1148.554848,-1780.260014,-10011.569758
17673.439994,1627.119368,1550.549045,-9762.716208
17673.442543,-1110.269686,3503.092286,-9839.286531
17673.445092,-3273.381317,-8748.159426,-10241.280728
17673.447641,3292.523898,8920.442653,-9934.999435
17673.450190,-325.423874,-1531.406464,-10049.854920
17673.452739,-4000.799387,-10451.849117,-10011.569758
17673.455288,3541.377448,13170.095590,-9571.290400
17673.457837,-555.134843,-3062.812928,-9705.288466
17673.460386,-3943.371645,-8001.598774,-10107.282662
17673.462935,2718.246474,10126.425243,-9724.431046
17673.465484,-899.701298,-2220.539373,-10088.140082
17673.468033,-2813.959378,-7523.034254,-10068.997501
17673.470582,1282.552914,7293.323285,-9647.860723
17673.473131,2048.256146,5455.635528,-9877.571693
17673.475681,-1799.402595,-5857.629725,-10107.282662
17673.478230,-918.843878,-153.140646,-9973.284597
17673.480779,669.990328,5149.354235,-9801.001370
17673.483328,-669.990328,-3483.949706,-9973.284597
17673.485877,-497.707101,-842.273555,-10049.854920
17673.488426,1225.125171,3177.668413,-9973.284597
17673.490976,-306.281293,-1607.976787,-9858.429112
17673.493525,-1129.412267,-612.562586,-9877.571693
17673.496074,-631.705166,1856.830338,-9934.999435
17673.498623,-38.285162,-803.988394,-10049.854920
17673.501172,191.425808,-574.277424,-10030.712339
17673.503721,133.998066,133.998066,-10011.569758
17673.506270,-76.570323,-172.283227,-9896.714274
17673.508820,-976.271621,-937.986459,-10049.854920
17673.511369,-1014.556782,535.992262,-9915.856854
17673.513918,19.142581,1014.556782,-9801.001370
17673.516467,440.279358,-1684.547110,-10030.712339
17673.519016,-229.710970,880.558717,-10011.569758
17673.521565,-689.132909,38.285162,-10011.569758
17673.524115,-1091.127106,-976.271621,-9896.714274
17673.526664,210.568389,1952.543242,-9820.143950
17673.529213,114.855485,-1263.410333,-10011.569758
17673.531762,-76.570323,-114.855485,-9858.429112
17673.534311,-1014.556782,-555.134843,-9934.999435
17673.536860,133.998066,-784.845813,-9915.856854
17673.539409,-535.992262,3790.230998,-9954.142016
17673.541959,-3005.385186,-6049.055533,-10126.425243
17673.544508,1990.828403,5991.627790,-9533.005238
17673.547057,-95.712904,3062.812928,-10107.282662
17673.549606,-4632.504554,-10853.843314,-10164.710405
17673.552155,3235.096155,12519.247843,-9762.716208
17673.554704,57.427742,-516.849682,-9705.288466
17673.557254,-4364.508422,-7618.747158,-10164.710405
