#time,accel_x,accel_y,accel_z
18432.798465,-248.853550,172.283227,-9877.571693
18432.800930,-229.710970,555.134843,-10049.854920
18432.803395,382.851616,0.000000,-9858.429112
18432.805860,306.281293,-153.140646,-9781.858789
18432.808324,631.705166,1014.556782,-9954.142016
18432.810789,1397.408398,669.990328,-9877.571693
18432.813254,-995.414202,95.712904,-9839.286531
18432.815719,-823.130974,1856.830338,-10604.989763
18432.818184,-497.707101,-650.847747,-9609.575562
18432.820686,1110.269686,-440.279358,-9552.147819
18432.823187,-344.566454,899.701298,-10298.708470
18432.825689,-555.134843,-19.142581,-10088.140082
18432.828191,1971.685822,191.425808,-9609.575562
18432.830692,-325.423874,-210.568389,-9628.718142
18432.833194,-421.136778,2928.814862,-10777.272990
18432.835696,-1837.687757,-1129.412267,-9494.720077
18432.838197,95.712904,-133.998066,-9820.143950
18432.840699,-535.992262,1780.260014,-10528.419440
18432.843201,-1493.121302,-95.712904,-10260.423309
18432.845703,-880.558717,-3139.383251,-8767.302006
18432.848204,-229.710970,2316.252277,-10624.132344
18432.850706,-459.421939,267.996131,-10049.854920
18432.853208,-325.423874,-1799.402595,-9111.868461
18432.855709,650.847747,1722.832272,-10298.708470
18432.858211,-306.281293,38.285162,-9743.573627
18432.860713,-248.853550,-784.845813,-9667.003304
18432.863214,-803.988394,114.855485,-10088.140082
18432.865716,-516.849682,459.421939,-10107.282662
18432.868218,-38.285162,-1473.978722,-9169.296203
18432.870719,-784.845813,516.849682,-9896.714274
18432.873221,-1014.556782,1741.974853,-10566.704602
18432.875723,267.996131,-306.281293,-9858.429112
18432.878224,229.710970,-1703.689691,-9188.438784
18432.880726,-382.851616,2048.256146,-10566.704602
18432.883228,-1397.408398,-19.142581,-9877.571693
18432.885729,-1244.267752,-1435.693560,-9456.434915
18432.888231,-19.142581,344.566454,-9973.284597
18432.890733,-478.564520,669.990328,-10202.995566
18432.893234,-440.279358,-669.990328,-9686.145885
18432.895736,-1378.265818,-803.988394,-9762.716208
18432.898238,-363.709035,2890.529701,-10777.272990
18432.900739,-1186.840010,-1703.689691,-9265.009107
18432.903241,421.136778,-210.568389,-9839.286531
18432.905743,-1550.549045,976.271621,-10375.278794
18432.908244,-650.847747,2871.387120,-10968.698798
18432.910746,650.847747,-4287.938099,-8575.876198
18432.913248,-2029.113565,2201.396792,-10547.562021
18432.915749,1799.402595,38.285162,-9954.142016
18432.918251,-3905.086483,-3751.945837,-8461.020714
18432.920774,2718.246474,6719.045861,-12098.111066
18432.923297,2048.256146,-6221.338760,-7695.317482
18432.925819,-1378.265818,2239.681954,-10375.278794
18432.928342,2354.537438,6221.338760,-11715.259450
18432.930865,-3905.086483,-6891.329088,-7178.467800
18432.933388,2469.392923,4173.082614,-11313.265253
18432.935911,-593.420005,1875.972918,-10528.419440
18432.938433,-1110.269686,-3579.662610,-8748.159426
18432.940956,-133.998066,363.709035,-9839.286531
18432.943479,478.564520,1799.402595,-10432.706536
18432.946002,-1837.687757,114.855485,-9686.145885
18432.948524,842.273555,976.271621,-9896.714274
18432.951047,555.134843,803.988394,-10049.854920
18432.953570,784.845813,746.560651,-10164.710405
18432.956093,-210.568389,-401.994197,-9628.718142
18432.958616,-861.416136,19.142581,-9934.999435
18432.961138,-459.421939,1148.554848,-10356.136213
18432.963661,-267.996131,-593.420005,-9724.431046
18432.966184,-95.712904,708.275490,-10126.425243
18432.968707,325.423874,1225.125171,-10183.852986
18432.971230,-478.564520,440.279358,-10049.854920
18432.973752,153.140646,-267.996131,-9858.429112
18432.976275,-267.996131,727.418070,-9820.143950
18432.978798,95.712904,784.845813,-10183.852986
18432.981321,363.709035,19.142581,-9839.286531
18432.983843,1837.687757,287.138712,-9858.429112
18432.986366,-937.986459,1531.406464,-10145.567824
18432.988889,-918.843878,650.847747,-10107.282662
18432.991412,-38.285162,-937.986459,-9628.718142
18432.993935,57.427742,1588.834206,-10298.708470
18432.996457,803.988394,-133.998066,-9762.716208
18432.998980,1014.556782,-631.705166,-9533.005238
18433.001503,650.847747,-459.421939,-9667.003304
18433.004026,-765.703232,1225.125171,-10202.995566
18433.006548,957.129040,-363.709035,-9571.290400
18433.009071,-1646.261949,2124.826469,-10432.706536
18433.011594,4747.360038,-650.847747,-9609.575562
18433.014117,-2316.252277,-2335.394858,-8920.442653
18433.016640,-976.271621,6546.762634,-12117.253646
18433.019162,-191.425808,-6546.762634,-7695.317482
18433.021700,-1646.261949,-1110.269686,-9494.720077
18433.024238,3292.523898,6929.614250,-12557.533005
18433.026776,-4249.652938,-9475.577496,-6661.618118
18433.029313,1397.408398,5283.352301,-11753.544611
18433.031851,1110.269686,6699.903280,-12270.394293
18433.034389,-1588.834206,-3713.660675,-8595.018779
18433.036927,-1359.123237,2067.398726,-10547.562021
18433.039464,-133.998066,1646.261949,-10643.274925
18433.042002,-1512.263883,-3196.810994,-8824.729749
18433.044540,1205.982590,478.564520,-9992.427178
18433.047078,-1741.974853,-210.568389,-9973.284597
18433.049615,-1454.836141,-19.142581,-10107.282662
18433.052153,-210.568389,76.570323,-9762.716208
18433.054691,210.568389,-325.423874,-9533.005238
18433.057229,-38.285162,1741.974853,-10317.851051
18433.059766,-267.996131,-880.558717,-9533.005238
18433.062304,-784.845813,-421.136778,-9724.431046
18433.064842,229.710970,-133.998066,-9820.143950
18433.067380,-842.273555,1014.556782,-10279.565890
18433.069917,-421.136778,114.855485,-9801.001370
18433.072455,-344.566454,-995.414202,-9456.434915
18433.074993,-38.285162,861.416136,-10298.708470
18433.077530,-1186.840010,153.140646,-10030.712339
18433.080068,-1665.404530,-1282.552914,-9628.718142
18433.082606,-306.281293,1129.412267,-10375.278794
18433.085144,248.853550,-325.423874,-9839.286531
18433.087681,-2354.537438,-363.709035,-9801.001370
18433.090219,1033.699363,440.279358,-10068.997501
18433.092757,-746.560651,-1033.699363,-9399.007173
18433.095295,612.562586,669.990328,-9705.288466
18433.097832,-1493.121302,1435.693560,-10317.851051
18433.100370,1895.115499,-2182.254211,-9131.011042
18433.102908,-2086.541307,-210.568389,-9705.288466
18433.105446,1722.832272,2488.535504,-10834.700733
18433.107983,-4632.504554,-3330.809059,-8882.157491
18433.110521,1684.547110,3522.234867,-11064.411702
