#time,accel_x,accel_y,accel_z
12581.865241,-516.849682,95.712904,-9915.856854
12581.867709,-516.849682,267.996131,-9973.284597
12581.870177,114.855485,344.566454,-9954.142016
12581.872645,229.710970,-267.996131,-9781.858789
12581.875113,114.855485,880.558717,-10011.569758
12581.877582,382.851616,765.703232,-9973.284597
12581.880050,-1110.269686,363.709035,-9896.714274
12581.882518,-803.988394,1301.695494,-10298.708470
12581.884986,-287.138712,-631.705166,-9571.290400
12581.887488,593.420005,957.129040,-9992.427178
12581.889990,-440.279358,995.414202,-10164.710405
12581.892492,-823.130974,19.142581,-9992.427178
12581.894994,880.558717,861.416136,-9801.001370
12581.897496,-38.285162,-1627.119368,-9341.579430
12581.899998,-1339.980656,2411.965181,-10662.417506
12581.902500,-2009.970984,-1588.834206,-9456.434915
12581.905003,-133.998066,-535.992262,-9686.145885
12581.907505,-1014.556782,1741.974853,-10432.706536
12581.910007,-287.138712,-2488.535504,-9379.864592
12581.912509,-555.134843,-1052.841944,-9590.432981
12581.915011,-440.279358,2258.824534,-10700.702667
12581.917513,-612.562586,-2067.398726,-9265.009107
12581.920015,-38.285162,-19.142581,-9456.434915
12581.922517,344.566454,1129.412267,-10145.567824
12581.925019,-516.849682,-535.992262,-9743.573627
12581.927521,-803.988394,210.568389,-10011.569758
12581.930023,-784.845813,-593.420005,-9992.427178
12581.932526,-421.136778,478.564520,-10088.140082
12581.935028,114.855485,-842.273555,-9456.434915
12581.937530,-784.845813,-153.140646,-9609.575562
12581.940032,-1014.556782,1435.693560,-10509.276859
12581.942534,229.710970,-1569.691626,-9552.147819
12581.945036,-497.707101,-344.566454,-9705.288466
12581.947538,-1129.412267,1914.258080,-10566.704602
12581.950040,-957.129040,-1550.549045,-9533.005238
12581.952542,-957.129040,-1339.980656,-9571.290400
12581.955044,38.285162,19.142581,-9992.427178
12581.957547,-535.992262,-19.142581,-9954.142016
12581.960049,-957.129040,-114.855485,-9877.571693
12581.962551,-937.986459,-1875.972918,-9552.147819
12581.965053,-899.701298,2871.387120,-10738.987829
12581.967555,-1110.269686,-1244.267752,-9552.147819
12581.970057,669.990328,-325.423874,-9571.290400
12581.972559,-2239.681954,1339.980656,-10528.419440
12581.975061,1186.840010,306.281293,-10088.140082
12581.977563,267.996131,-3943.371645,-8690.731683
12581.980065,-555.134843,4039.084549,-11313.265253
12581.982568,-1397.408398,-3905.086483,-10298.708470
12581.985070,-2660.818731,-3885.943902,-8537.591037
12581.987592,-248.853550,8422.735552,-12289.536874
12581.990114,4019.941968,-6967.899411,-7752.745224
12581.992636,-2105.683888,2871.387120,-10202.995566
12581.995158,-1435.693560,6642.475538,-12212.966550
12581.997680,-1416.550979,-8977.870395,-6967.899411
12582.000202,861.416136,5972.485210,-11753.544611
12582.002725,-1244.267752,-1473.978722,-9609.575562
12582.005247,-325.423874,-2622.533570,-8748.159426
12582.007769,95.712904,4555.934230,-11313.265253
12582.010291,382.851616,-2603.390989,-9054.440718
12582.012813,-2871.387120,2718.246474,-10432.706536
12582.015335,-746.560651,2488.535504,-10298.708470
12582.017857,-19.142581,-1818.545176,-9131.011042
12582.020379,421.136778,2928.814862,-10700.702667
12582.022902,-842.273555,-957.129040,-9571.290400
12582.025424,-1014.556782,-1263.410333,-9456.434915
12582.027946,-689.132909,2297.109696,-10604.989763
12582.030468,-267.996131,-1512.263883,-9322.436850
12582.032990,-459.421939,1263.410333,-10011.569758
12582.035512,114.855485,937.986459,-10145.567824
12582.038034,-382.851616,-689.132909,-9781.858789
12582.040556,-248.853550,325.423874,-9973.284597
12582.043079,-459.421939,344.566454,-9954.142016
12582.045601,-210.568389,650.847747,-9954.142016
12582.048123,-153.140646,765.703232,-10011.569758
12582.050645,1397.408398,746.560651,-9647.860723
12582.053167,-1837.687757,1148.554848,-10011.569758
12582.055689,-1627.119368,669.990328,-10336.993632
12582.058211,-153.140646,-1378.265818,-9456.434915
12582.060733,19.142581,1339.980656,-10279.565890
12582.063256,440.279358,555.134843,-9954.142016
12582.065778,612.562586,-19.142581,-9590.432981
12582.068300,593.420005,229.710970,-10030.712339
12582.070822,-631.705166,823.130974,-9992.427178
12582.073344,-535.992262,-689.132909,-9513.862658
12582.075866,823.130974,2909.672282,-10528.419440
12582.078388,4153.940034,765.703232,-9973.284597
12582.080910,-650.847747,-3598.805190,-8709.874264
12582.083433,-3751.945837,7197.610381,-12461.820101
12582.085955,823.130974,-6010.770371,-8288.737486
12582.088491,344.566454,-2258.824534,-8920.442653
12582.091028,1607.976787,8173.882002,-12653.245909
12582.093564,-1244.267752,-10834.700733,-6680.760699
12582.096101,-459.421939,6546.762634,-11830.114934
12582.098637,-1952.543242,-574.277424,-10164.710405
12582.101174,-1167.697429,-3637.090352,-8537.591037
12582.103710,-1167.697429,5608.776174,-11562.118803
12582.106247,1186.840010,-4498.506488,-8843.872330
