#time,accel_x,accel_y,accel_z
22804.455400,-1512.263883,3407.379382,10509.276859
22804.458000,1205.982590,-4575.076811,7982.456194
22804.460599,957.129040,1875.972918,10030.712339
22804.463199,-555.134843,4364.508422,10911.271056
22804.465798,401.994197,-4230.510357,8154.739421
22804.468397,574.277424,918.843878,9667.003304
22804.470997,-133.998066,3751.945837,10892.128475
22804.473596,823.130974,-4058.227130,8499.305875
22804.476196,1091.127106,-95.712904,9092.725880
22804.478795,76.570323,3464.807125,10413.563955
22804.481395,57.427742,-1512.263883,9169.296203
22804.483994,1033.699363,-1148.554848,9226.723946
22804.486593,689.132909,2009.970984,9954.142016
22804.489193,-1071.984525,2297.109696,10279.565890
22804.491792,669.990328,-3617.947771,8480.163294
22804.494392,842.273555,1129.412267,9877.571693
22804.496991,478.564520,2297.109696,10336.993632
22804.499590,-191.425808,-2928.814862,8633.303941
22804.502190,191.425808,76.570323,9456.434915
22804.504789,957.129040,2737.389054,10509.276859
22804.507389,-1359.123237,-2143.969050,8748.159426
22804.509988,1091.127106,-1531.406464,8843.872330
22804.512588,-631.705166,4402.793584,10949.556218
22804.515187,421.136778,-995.414202,9322.436850
22804.517786,-1837.687757,-3924.229064,8097.311678
22804.520386,2699.103893,-382.851616,9245.866526
22804.522985,-2507.678085,6431.907149,11600.403965
22804.525585,2871.387120,-7159.325219,7867.600709
22804.528184,1129.412267,3235.096155,10375.278794
22804.530784,-5034.498750,4211.367776,10566.704602
22804.533396,4536.791650,-7235.895542,7484.749093
22804.536008,-3349.951640,9762.716208,11906.685258
22804.538621,-1741.974853,-2967.100024,8595.018779
22804.541233,2201.396792,-2967.100024,8097.311678
22804.543845,-918.843878,10413.563955,12653.245909
22804.546458,-669.990328,-6278.766502,7733.602643
22804.549070,727.418070,-4039.084549,7925.028451
22804.551682,-995.414202,7427.321350,11600.403965
22804.554295,-2086.541307,3790.230998,10853.843314
22804.556907,2526.820666,-7867.600709,6987.041992
22804.559519,-708.275490,6297.909083,10892.128475
22804.562132,-1646.261949,3751.945837,10643.274925
22804.564744,-957.129040,-5972.485210,7408.178770
22804.567357,-880.558717,3388.236802,10202.995566
22804.569969,-248.853550,2431.107762,10317.851051
22804.572581,1397.408398,-3369.094221,8537.591037
22804.575194,-210.568389,2201.396792,10126.425243
22804.577806,-899.701298,1359.123237,9915.856854
22804.580418,-976.271621,-2067.398726,8633.303941
22804.583031,-535.992262,1129.412267,9513.862658
22804.585643,76.570323,1531.406464,9839.286531
22804.588255,-0.000000,880.558717,9686.145885
22804.590868,-612.562586,-287.138712,9341.579430
22804.593480,-535.992262,995.414202,9628.718142
22804.596092,-1052.841944,1225.125171,9571.290400
22804.598705,-1167.697429,1397.408398,9399.007173
22804.601317,114.855485,-612.562586,9226.723946
22804.603930,1301.695494,976.271621,9954.142016
22804.606542,-1665.404530,1933.400661,9915.856854
22804.609154,-133.998066,-2431.107762,8671.589102
22804.611767,-1741.974853,1339.980656,9724.431046
22804.614379,995.414202,2660.818731,10394.421374
22804.616991,-0.000000,1895.115499,9992.427178
22804.619604,1473.978722,-2182.254211,8805.587168
22804.622216,-2584.248408,3196.810994,10260.423309
22804.624828,-784.845813,-2124.826469,8786.444587
22804.627441,1091.127106,2775.674216,10183.852986
22804.630053,-4517.649069,497.707101,9303.294269
22804.632665,6451.049730,-5091.926493,8480.163294
22804.635278,1110.269686,9590.432981,12557.533005
22804.637896,-1320.838075,-6049.055533,7963.313613
22804.640514,2201.396792,-5225.924558,7561.319416
22804.643132,-4383.651003,12232.109131,13304.093656
22804.645750,1167.697429,-7255.038123,7561.319416
22804.648369,2909.672282,-3617.947771,8097.311678
22804.650987,-1473.978722,9169.296203,11810.972354
22804.653605,-1473.978722,1301.695494,10241.280728
22804.656223,2143.969050,-8901.300072,6795.616184
22804.658841,-1435.693560,6757.331022,11351.550414
22804.661459,401.994197,1014.556782,10107.282662
22804.664077,1722.832272,-6125.625856,7848.458128
22804.666696,210.568389,4479.363907,10911.271056
22804.669314,-459.421939,823.130974,9781.858789
22804.671932,267.996131,-2220.539373,8518.448456
22804.674550,-153.140646,2450.250342,10164.710405
22804.677168,1244.267752,612.562586,9877.571693
22804.679786,172.283227,-861.416136,9169.296203
22804.682404,-76.570323,631.705166,9667.003304
22804.685023,-57.427742,-612.562586,9360.722011
22804.687641,344.566454,287.138712,9571.290400
22804.690259,-325.423874,1550.549045,9858.429112
22804.692877,555.134843,-1033.699363,9341.579430
22804.695495,1186.840010,-325.423874,9590.432981
22804.698113,-306.281293,1033.699363,9896.714274
22804.700731,19.142581,-1588.834206,9016.155557
22804.703350,114.855485,689.132909,9571.290400
22804.705968,401.994197,306.281293,9781.858789
22804.708586,1225.125171,421.136778,9609.575562
22804.711204,153.140646,727.418070,9781.858789
22804.713822,-631.705166,-401.994197,9303.294269
22804.716440,2086.541307,-1588.834206,9379.864592
22804.719058,287.138712,4517.649069,10719.845248
22804.721677,-1110.269686,-3139.383251,8575.876198
22804.724295,3464.807125,38.285162,9647.860723
22804.726913,-3828.516160,2526.820666,10145.567824
22804.729531,3503.092286,-4345.365842,8231.309744
22804.732149,-2660.818731,5819.344563,10911.271056
22804.734767,-2603.390989,-1818.545176,9035.298138
22804.737385,3541.377448,-2335.394858,8422.735552
22804.740004,-3656.232933,10451.849117,12155.538808
22804.742623,1091.127106,-7216.752962,7255.038123
22804.745243,2258.824534,-1359.123237,9207.581365
22804.747862,-2526.820666,10815.558152,12863.814298
22804.750481,-1990.828403,574.277424,9973.284597
22804.753101,1473.978722,-8786.444587,6604.190376
22804.755720,-363.709035,9456.434915,11925.827838
22804.758339,-440.279358,2182.254211,10279.565890
22804.760959,650.847747,-8078.169098,6623.332957
22804.763578,-803.988394,7810.172966,11676.974288
22804.766197,-1703.689691,2105.683888,10470.991698
22804.768816,306.281293,-6508.477472,7274.180704
22804.771436,-114.855485,3962.514226,10451.849117
22804.774055,114.855485,2603.390989,10490.134278
22804.776674,497.707101,-2411.965181,8786.444587
22804.779294,-1761.117434,1225.125171,9609.575562
22804.781913,-593.420005,229.710970,9475.577496
22804.784532,-76.570323,-38.285162,9418.149754
22804.787152,-57.427742,1627.119368,9896.714274
22804.789771,-287.138712,191.425808,9533.005238
22804.792390,-1339.980656,0.000000,9341.579430
22804.795010,-631.705166,3426.521963,10317.851051
22804.797629,153.140646,-287.138712,9341.579430
22804.800248,765.703232,-1282.552914,8882.157491
22804.802868,-1378.265818,3924.229064,10470.991698
22804.805487,-727.418070,-1531.406464,9188.438784
22804.808106,-976.271621,-1722.832272,8863.014910
22804.810726,880.558717,5034.498750,11045.269122
22804.813345,-746.560651,689.132909,9705.288466
22804.815964,1722.832272,-4058.227130,8269.594906
22804.818584,-2277.967115,1282.552914,9456.434915
22804.821203,-421.136778,1646.261949,10011.569758
22804.823822,57.427742,1531.406464,9973.284597
22804.826442,-2756.531635,-3254.238736,8212.167163
22804.829061,6508.477472,784.845813,10107.282662
22804.831680,-995.414202,8556.733618,12212.966550
22804.834300,861.416136,-11313.265253,6240.481341
22804.836919,918.843878,1033.699363,9571.290400
22804.839538,-4651.647134,9360.722011,12538.390424
22804.842158,1684.547110,-11045.269122,6106.483275
22804.844777,2239.681954,2833.101958,9973.284597
22804.847397,-1282.552914,10068.997501,12902.099459
22804.850017,95.712904,-2756.531635,9111.868461
22804.852638,1799.402595,-6814.758765,7312.465866
22804.855258,-1282.552914,7408.178770,11676.974288
22804.857878,-57.427742,-1569.691626,9322.436850
22804.860498,1473.978722,-4919.643266,8039.883936
22804.863119,497.707101,5474.778109,11313.265253
22804.865739,-0.000000,57.427742,9552.147819
22804.868359,631.705166,-2029.113565,8690.731683
22804.870979,-880.558717,2392.822600,10011.569758
22804.873600,880.558717,-382.851616,9494.720077
22804.876220,-153.140646,-631.705166,9284.151688
22804.878840,172.283227,937.986459,9628.718142
22804.881460,593.420005,133.998066,9609.575562
22804.884081,918.843878,57.427742,9513.862658
22804.886701,172.283227,574.277424,9667.003304
22804.889321,114.855485,-1167.697429,9226.723946
22804.891941,-172.283227,114.855485,9762.716208
22804.894562,-344.566454,1033.699363,9877.571693
22804.897182,2297.109696,-1129.412267,9207.581365
22804.899802,-669.990328,440.279358,9456.434915
22804.902422,-57.427742,497.707101,9609.575562
22804.905043,57.427742,57.427742,9609.575562
22804.907663,-0.000000,995.414202,9743.573627
22804.910283,1339.980656,-1550.549045,9265.009107
22804.912903,1167.697429,3943.371645,10547.562021
22804.915524,-1952.543242,1799.402595,10030.712339
22804.918144,4460.221326,-4039.084549,8595.018779
22804.920764,-3617.947771,3349.951640,10241.280728
22804.923384,-1627.119368,-2297.109696,8729.016845
22804.926005,1875.972918,1627.119368,9877.571693
22804.928625,-4957.928427,4383.651003,10528.419440
22804.931245,3062.812928,-8212.167163,6891.329088
22804.933865,-1454.836141,9341.579430,11734.402030
22804.936486,-1837.687757,1895.115499,10145.567824
22804.939106,2143.969050,-10107.282662,6546.762634
22804.941726,-229.710970,10432.706536,12500.105262
22804.944346,-2182.254211,727.418070,9973.284597
22804.946967,1722.832272,-9628.718142,6297.909083
22804.949587,669.990328,-363.709035,8863.014910
22804.952205,-1761.117434,11026.126541,12710.673651
22804.954824,-344.566454,-7676.174901,7197.610381
22804.957442,842.273555,38.285162,9169.296203
22804.960061,-2431.107762,8652.446522,12327.822035
22804.962679,421.136778,-6240.481341,7714.460062
22804.965298,-95.712904,-976.271621,8805.587168
22804.967916,114.855485,5800.201982,11160.124606
22804.970535,421.136778,-1129.412267,9284.151688
22804.973153,-669.990328,-937.986459,9131.011042
22804.975772,-1091.127106,1473.978722,9858.429112
22804.978390,-229.710970,650.847747,9494.720077
22804.981009,-382.851616,918.843878,9628.718142
22804.983627,38.285162,1014.556782,9667.003304
22804.986246,-76.570323,631.705166,9475.577496
22804.988864,38.285162,631.705166,9533.005238
22804.991482,-1167.697429,937.986459,9590.432981
22804.994101,19.142581,-593.420005,9360.722011
22804.996719,-708.275490,1129.412267,9934.999435
22804.999338,-784.845813,2009.970984,9934.999435
22805.001956,-95.712904,-2526.820666,8595.018779
22805.004575,440.279358,2086.541307,9954.142016
22805.007193,-1607.976787,1607.976787,10107.282662
22805.009812,-1282.552914,-478.564520,8997.012976
22805.012430,-2603.390989,-2009.970984,8748.159426
22805.015049,3177.668413,-669.990328,9399.007173
22805.017667,1244.267752,7599.604578,11868.400096
22805.020286,-1875.972918,-6489.334891,7465.606512
22805.022904,3885.943902,-4555.934230,8173.882002
22805.025523,-5264.209720,13591.232368,13648.660110
22805.028141,1990.828403,-10681.560086,6661.618118
22805.030760,3196.810994,-2411.965181,8480.163294
22805.033378,-899.701298,13265.808494,13495.519464
22805.035997,631.705166,-9801.001370,6623.332957
22805.038615,95.712904,-1091.127106,8614.161360
22805.041234,-1837.687757,10145.567824,12863.814298
22805.043852,1205.982590,-7427.321350,7503.891674
22805.046471,114.855485,-2411.965181,6853.043926
22805.049089,76.570323,5321.637462,11121.839445
22805.051707,-172.283227,1435.693560,10336.993632
22805.054326,727.418070,-4287.938099,8154.739421
22805.056941,-114.855485,3024.527766,10145.567824
22805.059556,631.705166,2009.970984,10011.569758
22805.062171,669.990328,-1703.689691,9188.438784
22805.064787,-382.851616,210.568389,9475.577496
22805.067402,229.710970,516.849682,9743.573627
22805.070017,287.138712,689.132909,9667.003304
22805.072632,1129.412267,-191.425808,9609.575562
22805.075247,669.990328,-459.421939,9379.864592
22805.077862,-421.136778,689.132909,9896.714274
22805.080478,-114.855485,650.847747,9915.856854
22805.083093,1684.547110,-669.990328,9494.720077
22805.085708,-229.710970,-459.421939,9207.581365
22805.088323,95.712904,899.701298,9590.432981
22805.090938,210.568389,1071.984525,9954.142016
22805.093553,-210.568389,-363.709035,9284.151688
22805.096168,2086.541307,-1148.554848,9456.434915
22805.098784,-976.271621,4287.938099,10624.132344
22805.101399,229.710970,-3675.375514,8480.163294
22805.104014,1646.261949,1205.982590,9915.856854
22805.106629,-1895.115499,1320.838075,10049.854920
22805.109244,3828.516160,-1531.406464,9207.581365
22805.111859,-4345.365842,3388.236802,9992.427178
22805.114475,-3043.670347,-1550.549045,8805.587168
22805.117090,3541.377448,-1799.402595,8633.303941
22805.119705,-3177.668413,10164.710405,12098.111066
22805.122320,363.709035,-6719.045861,7293.323285
22805.124935,2871.387120,-1627.119368,9073.583299
22805.127550,-2603.390989,11542.976222,12997.812363
22805.130165,-880.558717,-9724.431046,6623.332957
22805.132781,1359.123237,-765.703232,9073.583299
22805.135396,-1933.400661,11600.403965,12997.812363
22805.138011,440.279358,-6814.758765,7235.895542
22805.140626,1895.115499,-1320.838075,8422.735552
22805.143241,-2699.103893,9801.001370,12500.105262
22805.145856,-2794.816797,957.129040,10030.712339
22805.148472,325.423874,-6795.616184,7197.610381
22805.151087,-1148.554848,5991.627790,11160.124606
22805.153702,746.560651,899.701298,9973.284597
22805.156317,478.564520,-2277.967115,8614.161360
22805.158932,-861.416136,1818.545176,9934.999435
