#time,accel_x,accel_y,accel_z
17544.061233,-95.712904,-382.851616,-9934.999435
17544.063751,-497.707101,957.129040,-10011.569758
17544.066269,574.277424,612.562586,-9858.429112
17544.068787,-612.562586,-1588.834206,-9858.429112
17544.071305,-1071.984525,2105.683888,-9839.286531
17544.073822,-555.134843,1684.547110,-9954.142016
17544.076340,191.425808,-114.855485,-9896.714274
17544.078858,-1952.543242,-1473.978722,-9877.571693
17544.081376,-1703.689691,2737.389054,-9915.856854
17544.083894,-382.851616,-823.130974,-9686.145885
17544.086412,-1378.265818,-1607.976787,-9877.571693
17544.088930,-325.423874,2277.967115,-10030.712339
17544.091448,-669.990328,689.132909,-9973.284597
17544.093965,-631.705166,-2067.398726,-9896.714274
17544.096483,-401.994197,1186.840010,-9858.429112
17544.099001,19.142581,1818.545176,-9877.571693
17544.101519,-2143.969050,-1454.836141,-9992.427178
17544.104037,-1493.121302,-1244.267752,-9934.999435
17544.106555,-574.277424,1627.119368,-9705.288466
17544.109073,153.140646,382.851616,-9954.142016
17544.111591,-1588.834206,-861.416136,-10030.712339
17544.114108,-401.994197,1263.410333,-9934.999435
17544.116626,-114.855485,401.994197,-9801.001370
17544.119144,-1014.556782,-1129.412267,-9992.427178
17544.121662,-1359.123237,1186.840010,-9839.286531
17544.124180,-1033.699363,727.418070,-9781.858789
17544.126698,-976.271621,-1473.978722,-9934.999435
17544.129216,-421.136778,631.705166,-9954.142016
17544.131733,-459.421939,1569.691626,-9896.714274
17544.134251,-1397.408398,-1856.830338,-9992.427178
17544.136769,-1378.265818,-1033.699363,-9896.714274
17544.139287,-497.707101,2526.820666,-9992.427178
17544.141805,-516.849682,899.701298,-9934.999435
17544.144323,-1493.121302,-2679.961312,-10011.569758
17544.146841,-995.414202,4058.227130,-9781.858789
17544.149359,1148.554848,-38.285162,-9896.714274
17544.151876,-3847.658741,-3043.670347,-10088.140082
17544.154394,1607.976787,746.560651,-10107.282662
17544.156912,-708.275490,-401.994197,-9973.284597
17544.159459,38.285162,1569.691626,-9820.143950
17544.162006,1722.832272,516.849682,-10030.712339
17544.164554,-1473.978722,-2469.392923,-10011.569758
17544.167101,784.845813,2239.681954,-10011.569758
17544.169648,-1014.556782,4613.361973,-9858.429112
17544.172195,-1263.410333,-3522.234867,-9915.856854
17544.174742,133.998066,-995.414202,-9915.856854
17544.177289,1339.980656,3273.381317,-10011.569758
17544.179836,-229.710970,-899.701298,-9915.856854
17544.182383,-1435.693560,-1129.412267,-10030.712339
17544.184930,38.285162,3235.096155,-9973.284597
17544.187478,478.564520,1761.117434,-9877.571693
17544.190025,229.710970,-2182.254211,-9992.427178
17544.192572,229.710970,765.703232,-9992.427178
17544.195119,574.277424,2220.539373,-9877.571693
17544.197666,-1397.408398,-1110.269686,-9839.286531
17544.200213,-1359.123237,-1741.974853,-9973.284597
17544.202760,344.566454,191.425808,-10049.854920
17544.205307,1454.836141,1186.840010,-9973.284597
17544.207855,-555.134843,-57.427742,-9992.427178
17544.210402,-1301.695494,708.275490,-9839.286531
17544.212949,-267.996131,1205.982590,-9839.286531
17544.215496,-229.710970,0.000000,-10011.569758
17544.218043,57.427742,172.283227,-9915.856854
17544.220590,382.851616,899.701298,-9934.999435
17544.223137,1282.552914,516.849682,-9762.716208
17544.225684,-918.843878,880.558717,-9858.429112
17544.228232,-1359.123237,1856.830338,-10068.997501
17544.230779,478.564520,957.129040,-9915.856854
17544.233326,-267.996131,-1110.269686,-9820.143950
17544.235873,1033.699363,555.134843,-9934.999435
17544.238420,-823.130974,2277.967115,-9934.999435
17544.240967,-440.279358,19.142581,-9858.429112
17544.243514,-1435.693560,153.140646,-9915.856854
17544.246061,1569.691626,1052.841944,-10068.997501
17544.248609,-1378.265818,1856.830338,-9839.286531
17544.251156,2220.539373,478.564520,-9781.858789
17544.253703,-918.843878,-3024.527766,-9877.571693
17544.256250,-3081.955509,4326.223261,-9973.284597
17544.258797,-38.285162,1875.972918,-9896.714274
17544.261364,-2947.957443,-7618.747158,-9801.001370
17544.263930,57.427742,-3158.525832,-9992.427178
17544.266497,1378.265818,4766.502619,-9781.858789
17544.269064,-1684.547110,-1780.260014,-9801.001370
17544.271631,-3177.668413,-1167.697429,-9839.286531
17544.274197,689.132909,5245.067139,-9820.143950
17544.276764,-421.136778,114.855485,-9877.571693
17544.279331,-2163.111630,-2928.814862,-10088.140082
17544.281897,-172.283227,535.992262,-9743.573627
17544.284464,-57.427742,1244.267752,-9590.432981
17544.287031,-1761.117434,-2239.681954,-10049.854920
17544.289598,-2048.256146,861.416136,-10164.710405
17544.292164,19.142581,2277.967115,-9877.571693
17544.294731,19.142581,1225.125171,-9801.001370
17544.297298,-1110.269686,-1435.693560,-9820.143950
17544.299864,-1033.699363,784.845813,-9934.999435
17544.302431,-133.998066,918.843878,-9915.856854
17544.304998,-1186.840010,-1301.695494,-9877.571693
17544.307565,-1263.410333,-248.853550,-9954.142016
17544.310131,-497.707101,1856.830338,-9992.427178
17544.312698,-382.851616,-114.855485,-9724.431046
17544.315265,-1148.554848,-842.273555,-9934.999435
17544.317831,-1129.412267,842.273555,-9934.999435
17544.320398,-1052.841944,0.000000,-9954.142016
17544.322965,-899.701298,-842.273555,-9934.999435
17544.325531,-306.281293,612.562586,-9801.001370
17544.328098,-1818.545176,535.992262,-9954.142016
17544.330665,-574.277424,1856.830338,-9801.001370
17544.333232,-784.845813,-363.709035,-9801.001370
17544.335798,38.285162,-1091.127106,-9992.427178
17544.338365,-1512.263883,631.705166,-10011.569758
17544.340932,401.994197,-363.709035,-9992.427178
17544.343498,-2373.680019,-1971.685822,-9781.858789
17544.346065,210.568389,3081.955509,-9934.999435
17544.348632,-1837.687757,-363.709035,-9915.856854
17544.351199,-1339.980656,765.703232,-9820.143950
17544.353765,2833.101958,306.281293,-9743.573627
17544.356332,-2545.963246,-2182.254211,-10107.282662
17544.358899,-363.709035,5168.496816,-9992.427178
17544.361465,880.558717,4536.791650,-9915.856854
17544.364043,-1416.550979,-3732.803256,-9915.856854
17544.366621,-1205.982590,593.420005,-10164.710405
17544.369198,995.414202,4230.510357,-9877.571693
17544.371776,-401.994197,-4402.793584,-9571.290400
17544.374354,-210.568389,-363.709035,-10011.569758
17544.376931,1186.840010,4268.795518,-9915.856854
17544.379509,-1646.261949,-382.851616,-9858.429112
17544.382087,-1607.976787,-1895.115499,-9896.714274
17544.384664,1167.697429,4460.221326,-9934.999435
17544.387242,1665.404530,38.285162,-9743.573627
17544.389820,-669.990328,-3732.803256,-9954.142016
17544.392398,-1091.127106,-1435.693560,-10030.712339
17544.394975,-421.136778,4096.512291,-10107.282662
17544.397553,-440.279358,937.986459,-9781.858789
17544.400131,-382.851616,-2354.537438,-9934.999435
17544.402708,516.849682,114.855485,-9954.142016
17544.405286,267.996131,2871.387120,-9934.999435
17544.407864,-1071.984525,-344.566454,-9992.427178
17544.410441,-1301.695494,-1110.269686,-9992.427178
17544.413019,1416.550979,1971.685822,-9973.284597
17544.415597,1684.547110,1359.123237,-9992.427178
17544.418174,-1033.699363,-1454.836141,-10011.569758
17544.420752,-1435.693560,1454.836141,-9973.284597
17544.423330,516.849682,2029.113565,-9839.286531
17544.425907,-267.996131,-325.423874,-9839.286531
17544.428485,248.853550,-1167.697429,-10107.282662
17544.431063,-248.853550,2967.100024,-9839.286531
17544.433640,95.712904,459.421939,-9724.431046
17544.436218,-1454.836141,-1110.269686,-9743.573627
17544.438796,612.562586,1493.121302,-10068.997501
17544.441373,-1129.412267,3177.668413,-9877.571693
17544.443951,2565.105827,-1607.976787,-9877.571693
17544.446529,-1588.834206,-2182.254211,-10011.569758
17544.449106,-1646.261949,5704.489078,-9839.286531
17544.451684,-995.414202,-1473.978722,-9724.431046
17544.454262,-3637.090352,-6183.053598,-10068.997501
17544.456839,210.568389,-516.849682,-10336.993632
17544.459417,803.988394,4039.084549,-9954.142016
17544.461995,-1722.832272,-3751.945837,-9934.999435
17544.464572,-2354.537438,1167.697429,-9973.284597
17544.467156,746.560651,5245.067139,-9820.143950
17544.469739,-842.273555,-1378.265818,-9858.429112
17544.472322,-2124.826469,-3024.527766,-10088.140082
17544.474906,-172.283227,2201.396792,-9896.714274
17544.477489,-287.138712,191.425808,-9686.145885
17544.480072,-2048.256146,-1933.400661,-9915.856854
17544.482656,-861.416136,1895.115499,-10068.997501
17544.485239,-133.998066,1052.841944,-9954.142016
17544.487822,-153.140646,-114.855485,-9801.001370
17544.490406,-516.849682,-803.988394,-9973.284597
17544.492989,-957.129040,1186.840010,-9992.427178
