#time,accel_x,accel_y,accel_z
23245.913191,-574.277424,1339.980656,9705.288466
23245.915550,-1071.984525,727.418070,9609.575562
23245.917909,-229.710970,574.277424,9552.147819
23245.920268,-555.134843,1607.976787,9839.286531
23245.922627,478.564520,-153.140646,9131.011042
23245.924986,-516.849682,1167.697429,9513.862658
23245.927424,-1244.267752,1531.406464,9954.142016
23245.929861,-727.418070,-1473.978722,9150.153622
23245.932299,-1435.693560,555.134843,9360.722011
23245.934736,1110.269686,2775.674216,10145.567824
23245.937174,-421.136778,593.420005,9686.145885
23245.939612,1435.693560,-1646.261949,9035.298138
23245.942049,325.423874,2813.959378,9628.718142
23245.944487,-1263.410333,2967.100024,10413.563955
23245.946924,172.283227,-4747.360038,8307.880067
23245.949362,1627.119368,-669.990328,9360.722011
23245.951800,-1320.838075,5091.926493,10949.556218
23245.954237,210.568389,-3751.945837,8365.307810
23245.956675,1148.554848,-344.566454,9379.864592
23245.959112,-727.418070,5015.356170,11121.839445
23245.961550,306.281293,-2871.387120,8518.448456
23245.963987,-19.142581,-746.560651,9111.868461
23245.966425,57.427742,4153.940034,10949.556218
23245.968863,363.709035,-2392.822600,8997.012976
23245.971300,1378.265818,-1684.547110,8671.589102
23245.973738,229.710970,689.132909,9647.860723
23245.976175,172.283227,2890.529701,10681.560086
23245.978613,-267.996131,-3005.385186,8767.302006
23245.981050,708.275490,401.994197,9475.577496
23245.983488,-727.418070,3809.373579,10547.562021
23245.985926,440.279358,-2967.100024,8652.446522
23245.988363,765.703232,-612.562586,9226.723946
23245.990801,401.994197,3541.377448,10700.702667
23245.993238,-535.992262,-1818.545176,8901.300072
23245.995676,76.570323,-1397.408398,9035.298138
23245.998113,1531.406464,3330.809059,10738.987829
23246.000551,-1761.117434,-497.707101,9322.436850
23246.002989,344.566454,-3962.514226,8231.309744
23246.005426,-133.998066,440.279358,9437.292334
23246.007864,535.992262,3924.229064,10872.985894
23246.010301,-2124.826469,-3560.520029,8384.450390
23246.012739,1971.685822,-3005.385186,8422.735552
