freq,psd_x,psd_y,psd_z,psd_xyz,zv(59.6),mzv(61.4),ei(73.2),2hump_ei(91.2),3hump_ei(109.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.993,0.992,0.991
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.990,0.986,0.984,0.981,0.979
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.982,0.976,0.973,0.968,0.965
6.2,1.980e+01,2.920e+01,1.929e+02,2.419e+02,0.973,0.964,0.959,0.953,0.948
7.8,1.979e+01,2.320e+01,2.575e+02,3.004e+02,0.962,0.950,0.944,0.935,0.930
9.3,1.735e+01,2.020e+01,3.150e+02,3.526e+02,0.950,0.934,0.926,0.916,0.909
10.9,1.345e+01,1.814e+01,3.776e+02,4.092e+02,0.936,0.917,0.907,0.895,0.886
12.4,1.244e+01,1.566e+01,4.469e+02,4.750e+02,0.921,0.898,0.886,0.872,0.862
14.0,9.904e+00,1.260e+01,4.876e+02,5.101e+02,0.904,0.877,0.863,0.847,0.836
15.6,8.306e+00,1.247e+01,4.992e+02,5.199e+02,0.886,0.855,0.839,0.821,0.808
17.1,6.941e+00,9.261e+00,5.446e+02,5.608e+02,0.867,0.832,0.813,0.793,0.779
18.7,7.359e+00,7.598e+00,6.323e+02,6.473e+02,0.846,0.807,0.786,0.764,0.749
20.2,7.284e+00,9.344e+00,7.282e+02,7.448e+02,0.824,0.781,0.758,0.734,0.717
21.8,6.503e+00,8.179e+00,8.245e+02,8.392e+02,0.801,0.754,0.729,0.703,0.685
23.3,6.032e+00,7.832e+00,9.298e+02,9.437e+02,0.777,0.725,0.698,0.671,0.652
24.9,5.764e+00,7.456e+00,1.047e+03,1.060e+03,0.751,0.696,0.667,0.639,0.619
26.4,6.418e+00,7.317e+00,1.171e+03,1.185e+03,0.725,0.666,0.635,0.606,0.585
28.0,6.486e+00,7.431e+00,1.257e+03,1.271e+03,0.697,0.635,0.603,0.572,0.551
29.6,6.934e+00,8.666e+00,1.368e+03,1.384e+03,0.668,0.604,0.570,0.539,0.517
31.1,6.297e+00,7.312e+00,1.529e+03,1.543e+03,0.639,0.572,0.537,0.505,0.483
32.7,5.301e+00,6.282e+00,1.731e+03,1.743e+03,0.608,0.539,0.503,0.472,0.450
34.2,6.793e+00,8.338e+00,1.989e+03,2.004e+03,0.577,0.507,0.470,0.439,0.417
35.8,6.830e+00,9.449e+00,2.265e+03,2.282e+03,0.545,0.474,0.437,0.406,0.384
37.3,6.909e+00,1.037e+01,2.557e+03,2.574e+03,0.512,0.441,0.404,0.374,0.352
38.9,6.631e+00,1.134e+01,2.881e+03,2.899e+03,0.479,0.408,0.372,0.342,0.321
40.4,8.313e+00,1.362e+01,3.253e+03,3.275e+03,0.445,0.376,0.340,0.312,0.292
42.0,1.135e+01,1.601e+01,3.755e+03,3.782e+03,0.410,0.343,0.308,0.282,0.263
43.5,1.418e+01,1.816e+01,4.433e+03,4.465e+03,0.375,0.311,0.278,0.253,0.235
45.1,2.010e+01,2.247e+01,5.352e+03,5.394e+03,0.340,0.280,0.248,0.226,0.209
46.7,3.658e+01,2.315e+01,6.557e+03,6.617e+03,0.305,0.249,0.220,0.199,0.184
48.2,6.181e+01,1.841e+01,8.171e+03,8.252e+03,0.269,0.219,0.192,0.175,0.161
49.8,7.765e+01,3.618e+01,1.042e+04,1.053e+04,0.233,0.189,0.166,0.151,0.139
51.3,6.702e+01,9.908e+01,1.343e+04,1.359e+04,0.197,0.161,0.141,0.129,0.119
52.9,5.070e+01,2.009e+02,1.690e+04,1.715e+04,0.161,0.133,0.118,0.109,0.101
54.4,3.031e+01,3.310e+02,2.111e+04,2.147e+04,0.125,0.107,0.097,0.090,0.085
56.0,2.008e+01,5.733e+02,3.198e+04,3.258e+04,0.097,0.082,0.077,0.073,0.071
57.5,6.585e+01,9.314e+02,5.132e+04,5.232e+04,0.075,0.059,0.059,0.059,0.059
59.1,1.279e+02,1.124e+03,6.130e+04,6.255e+04,0.063,0.045,0.043,0.046,0.050
60.7,1.194e+02,1.022e+03,5.383e+04,5.497e+04,0.066,0.036,0.030,0.037,0.043
62.2,5.248e+01,7.436e+02,4.024e+04,4.104e+04,0.082,0.035,0.022,0.030,0.039
63.8,3.659e+01,5.169e+02,2.814e+04,2.870e+04,0.106,0.041,0.020,0.028,0.037
65.3,1.013e+02,4.462e+02,1.914e+04,1.969e+04,0.136,0.051,0.024,0.028,0.037
66.9,2.152e+02,5.462e+02,1.348e+04,1.424e+04,0.170,0.065,0.029,0.030,0.038
68.4,3.590e+02,7.485e+02,9.990e+03,1.110e+04,0.203,0.079,0.034,0.033,0.039
70.0,4.443e+02,8.649e+02,7.313e+03,8.622e+03,0.236,0.092,0.037,0.035,0.040
71.5,4.397e+02,8.734e+02,5.237e+03,6.550e+03,0.269,0.102,0.039,0.037,0.040
73.1,3.841e+02,7.997e+02,3.871e+03,5.055e+03,0.301,0.112,0.040,0.038,0.040
74.7,2.768e+02,6.092e+02,3.008e+03,3.894e+03,0.333,0.119,0.038,0.038,0.039
76.2,1.878e+02,4.582e+02,2.345e+03,2.991e+03,0.363,0.125,0.036,0.038,0.038
77.8,1.680e+02,4.349e+02,1.795e+03,2.398e+03,0.393,0.130,0.032,0.036,0.036
79.3,1.635e+02,4.479e+02,1.450e+03,2.061e+03,0.422,0.132,0.030,0.034,0.033
80.9,1.432e+02,4.191e+02,1.171e+03,1.734e+03,0.451,0.133,0.028,0.031,0.030
82.4,1.150e+02,3.618e+02,1.035e+03,1.511e+03,0.478,0.133,0.028,0.028,0.027
84.0,7.787e+01,2.617e+02,1.026e+03,1.366e+03,0.504,0.131,0.030,0.024,0.024
85.5,4.011e+01,1.501e+02,1.056e+03,1.246e+03,0.530,0.127,0.034,0.019,0.020
87.1,3.245e+01,1.356e+02,9.570e+02,1.125e+03,0.554,0.122,0.041,0.015,0.017
88.7,3.306e+01,1.587e+02,8.330e+02,1.025e+03,0.577,0.115,0.050,0.012,0.014
90.2,2.633e+01,1.750e+02,8.054e+02,1.007e+03,0.599,0.107,0.063,0.011,0.012
91.8,1.734e+01,1.559e+02,8.085e+02,9.817e+02,0.620,0.098,0.081,0.011,0.012
93.3,1.288e+01,1.059e+02,7.184e+02,8.372e+02,0.640,0.094,0.099,0.012,0.013
94.9,1.510e+01,7.779e+01,6.452e+02,7.380e+02,0.659,0.089,0.118,0.014,0.015
96.4,3.845e+01,7.864e+01,7.753e+02,8.924e+02,0.676,0.085,0.138,0.018,0.017
98.0,9.383e+01,1.473e+02,9.564e+02,1.198e+03,0.692,0.082,0.159,0.021,0.020
99.5,1.500e+02,2.329e+02,1.080e+03,1.462e+03,0.707,0.081,0.181,0.024,0.022
101.1,1.876e+02,2.664e+02,1.096e+03,1.550e+03,0.721,0.081,0.202,0.027,0.025
102.7,2.078e+02,2.828e+02,1.022e+03,1.512e+03,0.733,0.083,0.225,0.029,0.027
104.2,2.011e+02,2.606e+02,9.115e+02,1.373e+03,0.744,0.087,0.247,0.031,0.028
105.8,1.873e+02,1.802e+02,8.094e+02,1.177e+03,0.754,0.094,0.270,0.032,0.029
107.3,1.586e+02,1.236e+02,6.967e+02,9.789e+02,0.762,0.102,0.292,0.032,0.030
108.9,1.225e+02,9.244e+01,5.984e+02,8.134e+02,0.769,0.113,0.315,0.031,0.030
110.4,8.640e+01,7.845e+01,4.849e+02,6.498e+02,0.775,0.124,0.337,0.029,0.030
112.0,5.962e+01,6.636e+01,3.649e+02,4.908e+02,0.779,0.136,0.360,0.027,0.029
113.5,5.133e+01,5.918e+01,2.756e+02,3.861e+02,0.782,0.156,0.381,0.027,0.028
115.1,5.541e+01,8.067e+01,2.166e+02,3.527e+02,0.784,0.179,0.403,0.027,0.026
116.6,6.742e+01,1.309e+02,1.712e+02,3.695e+02,0.784,0.202,0.423,0.027,0.024
118.2,7.958e+01,1.906e+02,1.432e+02,4.135e+02,0.783,0.225,0.443,0.028,0.022
119.8,9.416e+01,2.483e+02,1.279e+02,4.704e+02,0.781,0.249,0.463,0.030,0.019
121.3,1.092e+02,2.969e+02,1.190e+02,5.251e+02,0.777,0.272,0.481,0.033,0.016
122.9,1.235e+02,3.414e+02,1.138e+02,5.787e+02,0.772,0.295,0.498,0.036,0.014
124.4,1.414e+02,3.944e+02,1.164e+02,6.521e+02,0.766,0.318,0.515,0.041,0.013
126.0,1.564e+02,4.416e+02,1.334e+02,7.313e+02,0.759,0.340,0.530,0.047,0.012
127.5,1.609e+02,4.502e+02,1.626e+02,7.736e+02,0.751,0.362,0.544,0.057,0.012
129.1,1.458e+02,4.047e+02,1.783e+02,7.288e+02,0.741,0.384,0.557,0.071,0.012
130.6,1.199e+02,3.478e+02,1.748e+02,6.425e+02,0.730,0.405,0.569,0.085,0.013
132.2,7.874e+01,2.386e+02,1.342e+02,4.515e+02,0.718,0.426,0.580,0.100,0.013
133.8,2.192e+01,6.429e+01,6.154e+01,1.477e+02,0.705,0.446,0.589,0.115,0.014
135.3,5.838e+00,1.678e+01,4.518e+01,6.780e+01,0.690,0.465,0.597,0.131,0.016
136.9,9.435e+00,2.711e+01,5.899e+01,9.554e+01,0.675,0.483,0.603,0.148,0.018
138.4,1.445e+01,3.850e+01,7.425e+01,1.272e+02,0.659,0.500,0.608,0.165,0.021
140.0,1.732e+01,4.649e+01,8.566e+01,1.495e+02,0.642,0.517,0.611,0.182,0.023
141.5,1.999e+01,5.163e+01,9.837e+01,1.700e+02,0.624,0.532,0.613,0.200,0.024
143.1,2.361e+01,5.926e+01,1.039e+02,1.868e+02,0.604,0.547,0.614,0.217,0.025
144.6,2.595e+01,6.389e+01,1.027e+02,1.925e+02,0.585,0.560,0.613,0.235,0.025
146.2,2.721e+01,6.878e+01,9.854e+01,1.945e+02,0.564,0.572,0.611,0.253,0.025
147.8,2.839e+01,6.906e+01,9.725e+01,1.947e+02,0.543,0.583,0.607,0.271,0.024
149.3,2.845e+01,6.751e+01,1.067e+02,2.027e+02,0.520,0.593,0.602,0.288,0.023
150.9,2.863e+01,7.115e+01,1.184e+02,2.182e+02,0.498,0.601,0.596,0.305,0.024
152.4,2.744e+01,6.630e+01,1.127e+02,2.065e+02,0.474,0.608,0.588,0.322,0.024
154.0,2.677e+01,5.568e+01,1.075e+02,1.900e+02,0.451,0.614,0.579,0.338,0.025
155.5,3.453e+01,5.872e+01,1.090e+02,2.022e+02,0.426,0.619,0.569,0.354,0.026
157.1,4.929e+01,9.461e+01,1.130e+02,2.569e+02,0.402,0.623,0.558,0.369,0.028
158.6,4.863e+01,1.090e+02,1.091e+02,2.667e+02,0.379,0.625,0.546,0.383,0.029
160.2,4.388e+01,1.025e+02,1.055e+02,2.519e+02,0.366,0.626,0.532,0.397,0.032
161.8,4.404e+01,1.040e+02,1.023e+02,2.503e+02,0.354,0.625,0.518,0.410,0.034
163.3,4.175e+01,1.045e+02,9.895e+01,2.452e+02,0.342,0.623,0.502,0.421,0.038
164.9,4.182e+01,1.235e+02,9.948e+01,2.648e+02,0.331,0.620,0.486,0.432,0.041
166.4,4.627e+01,1.497e+02,1.040e+02,3.000e+02,0.321,0.616,0.469,0.442,0.049
168.0,4.873e+01,1.586e+02,1.077e+02,3.151e+02,0.311,0.611,0.451,0.451,0.060
169.5,4.770e+01,1.455e+02,1.049e+02,2.981e+02,0.303,0.604,0.433,0.458,0.071
171.1,4.737e+01,1.115e+02,1.058e+02,2.647e+02,0.296,0.596,0.414,0.465,0.083
172.6,4.986e+01,7.947e+01,1.376e+02,2.670e+02,0.291,0.587,0.395,0.470,0.095
174.2,7.067e+01,7.656e+01,2.161e+02,3.634e+02,0.287,0.577,0.376,0.474,0.108
175.8,8.044e+01,8.044e+01,2.705e+02,4.314e+02,0.284,0.566,0.356,0.477,0.121
177.3,7.820e+01,7.963e+01,2.996e+02,4.574e+02,0.282,0.554,0.336,0.479,0.135
178.9,7.787e+01,7.825e+01,3.114e+02,4.675e+02,0.282,0.541,0.316,0.479,0.149
180.4,6.955e+01,7.645e+01,2.931e+02,4.391e+02,0.284,0.527,0.296,0.478,0.163
182.0,6.024e+01,8.582e+01,2.640e+02,4.101e+02,0.287,0.513,0.276,0.476,0.177
183.5,5.972e+01,1.113e+02,2.512e+02,4.222e+02,0.291,0.497,0.256,0.473,0.191
185.1,6.042e+01,1.141e+02,2.283e+02,4.028e+02,0.296,0.481,0.237,0.469,0.205
186.6,5.776e+01,9.678e+01,2.107e+02,3.652e+02,0.302,0.464,0.218,0.463,0.219
188.2,5.901e+01,9.318e+01,2.004e+02,3.526e+02,0.309,0.447,0.199,0.457,0.233
189.7,6.042e+01,8.382e+01,1.921e+02,3.363e+02,0.317,0.429,0.181,0.449,0.246
191.3,6.732e+01,8.520e+01,1.983e+02,3.508e+02,0.325,0.411,0.165,0.440,0.259
192.9,7.794e+01,9.257e+01,2.367e+02,4.072e+02,0.334,0.392,0.157,0.431,0.272
194.4,1.112e+02,1.195e+02,3.479e+02,5.786e+02,0.343,0.374,0.149,0.420,0.284
196.0,1.648e+02,1.247e+02,5.224e+02,8.120e+02,0.352,0.354,0.142,0.409,0.295
197.5,2.133e+02,1.178e+02,6.720e+02,1.003e+03,0.362,0.335,0.135,0.397,0.306
199.1,2.453e+02,1.214e+02,7.601e+02,1.127e+03,0.380,0.316,0.129,0.384,0.317
