freq,psd_x,psd_y,psd_z,psd_xyz,zv(61.8),mzv(63.0),ei(75.2),2hump_ei(93.8),3hump_ei(112.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.993,0.992,0.991
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.990,0.986,0.984,0.982,0.980
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.983,0.977,0.974,0.969,0.966
6.2,2.002e+02,4.001e+00,6.393e+00,2.106e+02,0.974,0.965,0.961,0.955,0.950
7.7,2.650e+02,2.999e+00,5.564e+00,2.736e+02,0.964,0.952,0.946,0.938,0.932
9.3,3.241e+02,2.478e+00,4.330e+00,3.309e+02,0.953,0.937,0.930,0.920,0.912
10.8,3.977e+02,2.252e+00,4.110e+00,4.040e+02,0.940,0.921,0.911,0.900,0.891
12.4,4.752e+02,1.959e+00,3.626e+00,4.808e+02,0.926,0.903,0.891,0.878,0.867
13.9,5.539e+02,1.798e+00,3.574e+00,5.593e+02,0.911,0.883,0.870,0.854,0.842
15.5,5.797e+02,1.747e+00,3.586e+00,5.851e+02,0.894,0.862,0.847,0.829,0.816
17.0,5.621e+02,1.465e+00,3.429e+00,5.670e+02,0.876,0.840,0.822,0.803,0.788
18.6,6.215e+02,1.330e+00,3.040e+00,6.259e+02,0.856,0.816,0.797,0.775,0.759
20.1,7.267e+02,1.279e+00,2.384e+00,7.304e+02,0.836,0.791,0.770,0.747,0.729
21.7,8.511e+02,1.377e+00,2.363e+00,8.549e+02,0.814,0.765,0.742,0.717,0.698
23.2,9.934e+02,1.448e+00,2.308e+00,9.972e+02,0.792,0.738,0.713,0.687,0.666
24.8,1.142e+03,1.499e+00,2.244e+00,1.145e+03,0.768,0.710,0.683,0.655,0.634
26.3,1.272e+03,1.525e+00,2.592e+00,1.276e+03,0.743,0.681,0.652,0.624,0.601
27.9,1.401e+03,1.887e+00,2.784e+00,1.405e+03,0.717,0.652,0.621,0.592,0.568
29.4,1.583e+03,2.059e+00,3.232e+00,1.588e+03,0.690,0.622,0.589,0.559,0.535
31.0,1.795e+03,2.185e+00,3.486e+00,1.801e+03,0.662,0.591,0.557,0.527,0.502
32.5,2.046e+03,2.042e+00,4.224e+00,2.053e+03,0.634,0.560,0.525,0.494,0.469
34.1,2.339e+03,2.242e+00,4.475e+00,2.346e+03,0.605,0.528,0.493,0.462,0.437
35.6,2.687e+03,2.567e+00,4.758e+00,2.694e+03,0.574,0.497,0.461,0.430,0.405
37.2,3.058e+03,3.389e+00,4.881e+00,3.066e+03,0.544,0.465,0.429,0.399,0.373
38.7,3.443e+03,4.725e+00,4.608e+00,3.452e+03,0.512,0.433,0.397,0.368,0.343
40.2,3.844e+03,6.073e+00,4.524e+00,3.854e+03,0.480,0.401,0.365,0.337,0.313
41.8,4.316e+03,8.113e+00,4.977e+00,4.329e+03,0.448,0.369,0.335,0.308,0.284
43.3,4.959e+03,1.208e+01,5.576e+00,4.976e+03,0.415,0.338,0.304,0.279,0.257
44.9,5.871e+03,1.722e+01,6.633e+00,5.895e+03,0.381,0.307,0.275,0.251,0.230
46.4,6.837e+03,2.317e+01,8.214e+00,6.869e+03,0.347,0.277,0.246,0.225,0.205
48.0,7.978e+03,2.551e+01,1.483e+01,8.019e+03,0.313,0.247,0.219,0.200,0.181
49.5,9.768e+03,2.822e+01,2.350e+01,9.820e+03,0.279,0.217,0.192,0.175,0.158
51.1,1.239e+04,3.637e+01,3.139e+01,1.245e+04,0.244,0.189,0.167,0.153,0.138
52.6,1.627e+04,4.704e+01,4.374e+01,1.636e+04,0.210,0.161,0.143,0.131,0.118
54.2,2.223e+04,5.332e+01,5.797e+01,2.234e+04,0.175,0.135,0.120,0.111,0.101
55.7,3.011e+04,6.874e+01,7.723e+01,3.026e+04,0.141,0.109,0.099,0.093,0.085
57.3,4.442e+04,9.362e+01,1.669e+02,4.468e+04,0.110,0.085,0.080,0.077,0.071
58.8,6.559e+04,1.449e+02,2.132e+02,6.595e+04,0.086,0.062,0.062,0.062,0.060
60.4,8.160e+04,2.638e+02,2.320e+02,8.209e+04,0.068,0.047,0.046,0.049,0.050
61.9,8.228e+04,3.178e+02,2.605e+02,8.285e+04,0.062,0.037,0.033,0.039,0.043
63.5,7.255e+04,2.418e+02,2.352e+02,7.302e+04,0.071,0.035,0.023,0.032,0.039
65.0,5.588e+04,1.477e+02,2.015e+02,5.623e+04,0.089,0.039,0.020,0.028,0.037
66.6,3.953e+04,8.163e+01,1.639e+02,3.978e+04,0.112,0.048,0.022,0.028,0.037
68.1,2.819e+04,5.197e+01,1.343e+02,2.838e+04,0.144,0.061,0.027,0.029,0.037
69.7,1.971e+04,4.269e+01,1.030e+02,1.985e+04,0.176,0.075,0.032,0.032,0.038
71.2,1.360e+04,4.238e+01,7.726e+01,1.372e+04,0.208,0.087,0.036,0.034,0.039
72.8,1.013e+04,5.135e+01,8.840e+01,1.027e+04,0.240,0.098,0.039,0.036,0.040
74.3,7.977e+03,5.763e+01,1.304e+02,8.165e+03,0.271,0.108,0.040,0.038,0.040
75.8,6.038e+03,5.553e+01,1.233e+02,6.217e+03,0.302,0.116,0.039,0.038,0.039
77.4,4.753e+03,9.368e+01,8.859e+01,4.935e+03,0.332,0.122,0.037,0.038,0.038
78.9,4.001e+03,1.225e+02,9.460e+01,4.218e+03,0.362,0.127,0.034,0.037,0.037
80.5,3.549e+03,1.169e+02,1.247e+02,3.791e+03,0.391,0.131,0.031,0.035,0.034
82.0,3.066e+03,1.128e+02,1.644e+02,3.344e+03,0.419,0.133,0.029,0.033,0.032
83.6,2.515e+03,1.059e+02,1.980e+02,2.819e+03,0.446,0.133,0.028,0.030,0.029
85.1,2.266e+03,1.036e+02,2.117e+02,2.582e+03,0.472,0.132,0.028,0.027,0.025
86.7,2.382e+03,1.027e+02,1.925e+02,2.678e+03,0.498,0.130,0.031,0.023,0.022
88.2,2.277e+03,9.624e+01,1.615e+02,2.535e+03,0.522,0.126,0.036,0.019,0.019
89.8,1.977e+03,8.768e+01,1.390e+02,2.204e+03,0.546,0.120,0.043,0.015,0.016
91.3,1.600e+03,8.170e+01,1.218e+02,1.803e+03,0.569,0.113,0.051,0.012,0.013
92.9,1.659e+03,6.852e+01,1.603e+02,1.888e+03,0.590,0.105,0.066,0.011,0.012
94.4,1.875e+03,7.935e+01,1.993e+02,2.153e+03,0.611,0.097,0.082,0.011,0.012
96.0,2.156e+03,1.318e+02,1.782e+02,2.466e+03,0.631,0.093,0.100,0.012,0.013
97.5,2.646e+03,1.711e+02,1.355e+02,2.953e+03,0.649,0.089,0.119,0.014,0.015
