freq,psd_x,psd_y,psd_z,psd_xyz,zv(45.2),mzv(41.8),ei(50.0),2hump_ei(62.4),3hump_ei(74.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.994,0.990,0.989,0.987,0.985
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.985,0.977,0.974,0.969,0.966
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.974,0.959,0.954,0.947,0.941
6.2,6.004e+00,2.041e+02,3.344e+00,2.134e+02,0.959,0.937,0.930,0.920,0.912
7.7,5.044e+00,2.803e+02,2.850e+00,2.882e+02,0.942,0.911,0.901,0.889,0.879
9.3,4.475e+00,3.534e+02,2.653e+00,3.605e+02,0.923,0.882,0.870,0.854,0.842
10.8,3.971e+00,4.399e+02,2.410e+00,4.463e+02,0.901,0.850,0.834,0.816,0.802
12.4,3.508e+00,5.554e+02,2.048e+00,5.610e+02,0.877,0.815,0.796,0.775,0.758
13.9,2.830e+00,7.205e+02,2.071e+00,7.254e+02,0.850,0.777,0.755,0.731,0.713
15.5,3.260e+00,8.385e+02,2.227e+00,8.440e+02,0.822,0.736,0.712,0.686,0.666
17.0,3.428e+00,8.744e+02,2.228e+00,8.800e+02,0.791,0.694,0.667,0.639,0.617
18.6,3.344e+00,1.006e+03,2.257e+00,1.012e+03,0.758,0.650,0.620,0.591,0.568
20.1,3.032e+00,1.043e+03,2.183e+00,1.048e+03,0.723,0.604,0.572,0.542,0.518
21.7,2.385e+00,1.023e+03,2.026e+00,1.028e+03,0.687,0.557,0.524,0.493,0.469
23.2,1.894e+00,1.201e+03,2.469e+00,1.205e+03,0.648,0.510,0.475,0.445,0.420
24.7,1.593e+00,1.504e+03,3.406e+00,1.509e+03,0.609,0.462,0.427,0.398,0.373
26.3,1.585e+00,1.915e+03,5.161e+00,1.921e+03,0.568,0.414,0.380,0.351,0.327
27.8,1.772e+00,2.422e+03,8.315e+00,2.432e+03,0.525,0.366,0.333,0.307,0.283
29.4,2.575e+00,3.069e+03,1.375e+01,3.085e+03,0.482,0.319,0.288,0.264,0.242
30.9,3.919e+00,3.973e+03,2.262e+01,3.999e+03,0.437,0.273,0.245,0.224,0.204
32.5,4.120e+00,5.297e+03,3.553e+01,5.337e+03,0.392,0.228,0.204,0.186,0.169
34.0,3.829e+00,7.420e+03,6.012e+01,7.484e+03,0.345,0.185,0.165,0.152,0.137
35.6,4.699e+00,1.157e+04,1.242e+02,1.170e+04,0.299,0.144,0.130,0.120,0.109
37.1,6.652e+00,2.031e+04,2.902e+02,2.061e+04,0.252,0.106,0.098,0.092,0.084
38.7,1.301e+01,3.600e+04,6.844e+02,3.670e+04,0.205,0.070,0.069,0.068,0.065
40.2,2.237e+01,5.044e+04,1.270e+03,5.173e+04,0.158,0.045,0.045,0.049,0.050
41.8,1.843e+01,4.908e+04,1.698e+03,5.080e+04,0.113,0.035,0.027,0.035,0.041
43.3,1.151e+01,3.708e+04,1.800e+03,3.889e+04,0.080,0.041,0.020,0.028,0.037
44.9,1.169e+01,2.709e+04,1.436e+03,2.854e+04,0.063,0.056,0.025,0.028,0.037
46.4,1.225e+01,2.295e+04,1.011e+03,2.397e+04,0.070,0.077,0.032,0.032,0.038
47.9,1.318e+01,1.964e+04,8.457e+02,2.050e+04,0.097,0.095,0.038,0.035,0.040
49.5,1.924e+01,1.595e+04,8.500e+02,1.682e+04,0.135,0.109,0.040,0.038,0.040
51.0,2.963e+01,1.328e+04,8.846e+02,1.419e+04,0.179,0.121,0.038,0.038,0.039
52.6,4.423e+01,1.149e+04,1.034e+03,1.257e+04,0.223,0.128,0.033,0.037,0.036
54.1,6.996e+01,1.025e+04,1.471e+03,1.179e+04,0.266,0.133,0.030,0.034,0.033
55.7,1.054e+02,9.106e+03,2.049e+03,1.126e+04,0.308,0.133,0.028,0.030,0.029
57.2,1.549e+02,8.069e+03,2.518e+03,1.074e+04,0.349,0.130,0.030,0.025,0.024
58.8,2.350e+02,7.078e+03,2.946e+03,1.026e+04,0.388,0.124,0.036,0.018,0.019
60.3,3.615e+02,6.125e+03,3.403e+03,9.890e+03,0.426,0.115,0.048,0.013,0.014
61.9,5.186e+02,5.289e+03,4.002e+03,9.810e+03,0.463,0.103,0.067,0.011,0.012
63.4,5.797e+02,4.465e+03,4.773e+03,9.818e+03,0.498,0.094,0.093,0.011,0.012
65.0,4.569e+02,3.255e+03,4.870e+03,8.582e+03,0.532,0.088,0.121,0.014,0.015
66.5,2.573e+02,2.257e+03,4.129e+03,6.643e+03,0.563,0.083,0.151,0.019,0.019
68.1,1.599e+02,1.783e+03,3.181e+03,5.123e+03,0.593,0.080,0.182,0.024,0.023
69.6,1.051e+02,1.626e+03,2.451e+03,4.182e+03,0.621,0.082,0.214,0.028,0.026
71.1,7.292e+01,1.535e+03,1.980e+03,3.588e+03,0.646,0.088,0.247,0.031,0.028
72.7,5.428e+01,1.430e+03,1.667e+03,3.151e+03,0.670,0.099,0.279,0.032,0.030
74.2,8.347e+01,1.382e+03,1.497e+03,2.962e+03,0.691,0.114,0.312,0.031,0.030
75.8,1.175e+02,1.364e+03,1.322e+03,2.803e+03,0.711,0.131,0.345,0.028,0.029
77.3,7.964e+01,1.262e+03,1.043e+03,2.384e+03,0.728,0.157,0.377,0.027,0.028
78.9,7.641e+01,1.170e+03,7.604e+02,2.006e+03,0.743,0.191,0.408,0.027,0.025
80.4,9.113e+01,1.147e+03,6.055e+02,1.844e+03,0.755,0.224,0.438,0.028,0.022
82.0,1.031e+02,1.095e+03,5.611e+02,1.759e+03,0.766,0.258,0.466,0.030,0.018
83.5,1.081e+02,1.016e+03,5.225e+02,1.647e+03,0.774,0.292,0.492,0.034,0.014
85.1,1.033e+02,9.858e+02,4.450e+02,1.534e+03,0.779,0.326,0.516,0.041,0.013
86.6,8.304e+01,8.845e+02,3.295e+02,1.297e+03,0.783,0.358,0.538,0.049,0.012
88.2,5.850e+01,7.723e+02,2.672e+02,1.098e+03,0.784,0.390,0.557,0.068,0.012
89.7,3.745e+01,7.566e+02,2.815e+02,1.075e+03,0.783,0.420,0.574,0.089,0.013
91.3,9.187e+01,7.624e+02,3.064e+02,1.161e+03,0.780,0.449,0.588,0.111,0.014
92.8,1.715e+02,6.657e+02,2.750e+02,1.112e+03,0.774,0.477,0.599,0.135,0.017
94.4,1.826e+02,5.743e+02,2.855e+02,1.042e+03,0.766,0.502,0.607,0.159,0.021
95.9,1.351e+02,4.231e+02,2.902e+02,8.484e+02,0.757,0.526,0.612,0.184,0.023
97.4,9.138e+01,2.706e+02,2.671e+02,6.291e+02,0.745,0.547,0.614,0.210,0.025
99.0,7.237e+01,1.917e+02,2.317e+02,4.958e+02,0.731,0.566,0.613,0.236,0.025
100.5,5.177e+01,1.507e+02,1.945e+02,3.970e+02,0.715,0.582,0.609,0.261,0.024
102.1,3.264e+01,1.321e+02,1.760e+02,3.408e+02,0.697,0.596,0.602,0.287,0.023
103.6,2.830e+01,1.058e+02,1.599e+02,2.940e+02,0.677,0.608,0.592,0.312,0.024
105.2,3.786e+01,7.943e+01,1.462e+02,2.635e+02,0.656,0.616,0.579,0.335,0.025
106.7,5.671e+01,1.073e+02,1.595e+02,3.235e+02,0.633,0.622,0.564,0.358,0.027
108.3,7.329e+01,2.104e+02,2.169e+02,5.006e+02,0.609,0.625,0.547,0.380,0.030
109.8,8.564e+01,3.508e+02,2.996e+02,7.360e+02,0.583,0.625,0.527,0.399,0.033
111.4,8.529e+01,4.580e+02,3.501e+02,8.934e+02,0.555,0.623,0.505,0.417,0.038
112.9,8.182e+01,4.914e+02,3.444e+02,9.176e+02,0.527,0.618,0.481,0.433,0.044
114.5,8.959e+01,4.989e+02,3.266e+02,9.151e+02,0.497,0.610,0.456,0.447,0.060
116.0,9.194e+01,4.932e+02,3.127e+02,8.977e+02,0.466,0.600,0.430,0.458,0.077
