freq,psd_x,psd_y,psd_z,psd_xyz,zv(61.0),mzv(62.6),ei(74.8),2hump_ei(93.2),3hump_ei(112.2)
92.8,2.621e+03,8.087e+01,2.463e+02,2.949e+03,0.606,0.102,0.070,0.011,0.012
94.4,2.725e+03,9.915e+01,2.597e+02,3.084e+03,0.626,0.096,0.088,0.011,0.012
95.9,3.670e+03,1.869e+02,2.141e+02,4.071e+03,0.645,0.091,0.106,0.012,0.013
97.5,4.578e+03,2.467e+02,1.698e+02,4.994e+03,0.663,0.087,0.125,0.015,0.015
99.0,5.177e+03,2.268e+02,1.222e+02,5.526e+03,0.679,0.084,0.145,0.019,0.018
100.6,5.272e+03,2.011e+02,7.881e+01,5.552e+03,0.695,0.081,0.165,0.022,0.020
102.1,5.018e+03,2.044e+02,5.972e+01,5.282e+03,0.709,0.080,0.186,0.025,0.023
103.7,4.721e+03,1.893e+02,5.678e+01,4.967e+03,0.722,0.081,0.207,0.028,0.025
105.2,4.302e+03,1.507e+02,5.508e+01,4.508e+03,0.734,0.084,0.229,0.030,0.027
106.7,3.799e+03,1.135e+02,6.137e+01,3.974e+03,0.745,0.089,0.251,0.031,0.028
108.3,3.391e+03,9.480e+01,7.538e+01,3.561e+03,0.754,0.096,0.273,0.032,0.029
109.8,2.985e+03,1.065e+02,9.397e+01,3.185e+03,0.762,0.105,0.295,0.032,0.030
111.4,2.552e+03,1.283e+02,1.073e+02,2.787e+03,0.769,0.115,0.317,0.031,0.030
112.9,2.146e+03,1.498e+02,1.152e+02,2.411e+03,0.774,0.127,0.339,0.029,0.030
114.5,2.054e+03,2.082e+02,1.304e+02,2.393e+03,0.779,0.139,0.360,0.027,0.029
116.0,2.084e+03,2.895e+02,1.493e+02,2.522e+03,0.782,0.160,0.382,0.027,0.028
117.6,2.082e+03,3.566e+02,1.708e+02,2.610e+03,0.784,0.183,0.402,0.027,0.026
119.1,2.138e+03,4.067e+02,1.923e+02,2.737e+03,0.784,0.205,0.422,0.027,0.024
120.7,2.183e+03,4.389e+02,2.101e+02,2.833e+03,0.783,0.228,0.442,0.028,0.022
122.2,2.212e+03,4.667e+02,2.251e+02,2.904e+03,0.781,0.250,0.461,0.030,0.019
