freq,psd_x,psd_y,psd_z,psd_xyz,zv(45.2),mzv(42.2),ei(50.4),2hump_ei(62.8),3hump_ei(75.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.994,0.991,0.989,0.987,0.986
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.985,0.977,0.974,0.969,0.966
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.974,0.959,0.954,0.947,0.942
6.2,7.177e+00,2.037e+02,3.625e+00,2.145e+02,0.959,0.938,0.930,0.921,0.913
7.7,6.035e+00,2.812e+02,3.140e+00,2.904e+02,0.943,0.913,0.903,0.890,0.880
9.3,5.003e+00,3.507e+02,2.959e+00,3.587e+02,0.923,0.884,0.871,0.856,0.843
10.8,4.624e+00,4.354e+02,2.430e+00,4.424e+02,0.901,0.852,0.836,0.818,0.803
12.4,4.403e+00,5.508e+02,2.068e+00,5.572e+02,0.877,0.818,0.799,0.777,0.760
13.9,3.616e+00,7.195e+02,2.109e+00,7.252e+02,0.851,0.780,0.758,0.734,0.715
15.5,3.598e+00,8.386e+02,2.242e+00,8.444e+02,0.822,0.741,0.715,0.689,0.668
17.0,3.851e+00,8.557e+02,2.059e+00,8.616e+02,0.791,0.699,0.671,0.642,0.620
18.6,3.378e+00,9.789e+02,2.303e+00,9.846e+02,0.758,0.655,0.625,0.595,0.571
20.1,2.889e+00,1.020e+03,2.202e+00,1.025e+03,0.723,0.610,0.577,0.546,0.522
21.6,2.241e+00,1.001e+03,2.094e+00,1.005e+03,0.687,0.564,0.530,0.498,0.473
23.2,1.902e+00,1.161e+03,2.464e+00,1.165e+03,0.649,0.517,0.481,0.450,0.424
24.7,1.998e+00,1.445e+03,3.369e+00,1.450e+03,0.609,0.469,0.434,0.403,0.377
26.3,2.188e+00,1.834e+03,5.395e+00,1.842e+03,0.568,0.422,0.386,0.357,0.331
27.8,2.748e+00,2.282e+03,8.275e+00,2.293e+03,0.525,0.375,0.340,0.312,0.288
29.4,3.840e+00,2.795e+03,1.150e+01,2.810e+03,0.482,0.328,0.295,0.269,0.247
30.9,4.769e+00,3.530e+03,1.612e+01,3.551e+03,0.437,0.282,0.252,0.229,0.208
32.5,4.891e+00,4.670e+03,2.598e+01,4.701e+03,0.392,0.238,0.211,0.191,0.173
34.0,4.616e+00,6.546e+03,4.872e+01,6.599e+03,0.346,0.195,0.172,0.157,0.141
35.6,4.793e+00,1.014e+04,1.052e+02,1.025e+04,0.299,0.153,0.137,0.125,0.112
