freq,psd_x,psd_y,psd_z,psd_xyz,zv(61.8),mzv(62.8),ei(75.2),2hump_ei(93.8),3hump_ei(112.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.993,0.992,0.991
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.990,0.986,0.985,0.982,0.980
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.983,0.977,0.974,0.969,0.966
6.2,2.075e+02,4.369e+00,1.165e+01,2.235e+02,0.974,0.965,0.961,0.955,0.950
7.7,2.723e+02,3.649e+00,9.214e+00,2.851e+02,0.964,0.952,0.946,0.938,0.932
9.3,3.328e+02,2.934e+00,7.679e+00,3.434e+02,0.953,0.937,0.930,0.920,0.912
10.8,4.023e+02,2.696e+00,6.967e+00,4.120e+02,0.940,0.921,0.912,0.900,0.891
12.4,4.807e+02,2.419e+00,5.793e+00,4.889e+02,0.926,0.902,0.892,0.878,0.867
13.9,5.679e+02,2.216e+00,5.082e+00,5.752e+02,0.911,0.883,0.870,0.855,0.842
15.5,6.094e+02,2.204e+00,4.788e+00,6.164e+02,0.894,0.862,0.847,0.830,0.815
17.0,6.108e+02,1.914e+00,4.547e+00,6.173e+02,0.876,0.839,0.823,0.803,0.788
18.6,6.719e+02,1.623e+00,4.294e+00,6.778e+02,0.857,0.815,0.797,0.776,0.759
20.1,7.686e+02,1.702e+00,4.132e+00,7.744e+02,0.836,0.790,0.770,0.747,0.728
21.6,8.821e+02,2.053e+00,3.789e+00,8.880e+02,0.815,0.764,0.742,0.717,0.697
23.2,1.016e+03,2.114e+00,3.655e+00,1.022e+03,0.792,0.737,0.713,0.687,0.666
24.7,1.174e+03,2.051e+00,3.577e+00,1.179e+03,0.768,0.709,0.683,0.656,0.633
26.3,1.305e+03,2.196e+00,3.629e+00,1.311e+03,0.743,0.680,0.653,0.624,0.601
27.8,1.432e+03,2.660e+00,3.690e+00,1.438e+03,0.717,0.651,0.622,0.592,0.568
29.4,1.618e+03,3.297e+00,4.146e+00,1.625e+03,0.691,0.620,0.590,0.560,0.535
30.9,1.819e+03,3.598e+00,4.623e+00,1.827e+03,0.663,0.590,0.558,0.527,0.502
32.5,2.062e+03,4.104e+00,5.122e+00,2.071e+03,0.634,0.558,0.526,0.495,0.469
34.0,2.336e+03,5.273e+00,5.405e+00,2.346e+03,0.605,0.527,0.494,0.463,0.436
35.6,2.673e+03,6.989e+00,5.422e+00,2.686e+03,0.575,0.495,0.461,0.431,0.404
37.1,3.095e+03,9.538e+00,5.221e+00,3.110e+03,0.544,0.463,0.429,0.399,0.373
38.7,3.541e+03,1.416e+01,4.959e+00,3.560e+03,0.513,0.431,0.398,0.368,0.342
40.2,3.993e+03,1.995e+01,5.614e+00,4.019e+03,0.481,0.399,0.366,0.338,0.312
41.8,4.561e+03,2.691e+01,6.929e+00,4.595e+03,0.449,0.368,0.335,0.309,0.284
43.3,5.250e+03,4.019e+01,7.262e+00,5.298e+03,0.416,0.336,0.305,0.280,0.256
44.8,6.157e+03,6.180e+01,8.240e+00,6.227e+03,0.382,0.305,0.276,0.252,0.229
46.4,7.332e+03,8.640e+01,1.410e+01,7.433e+03,0.348,0.275,0.247,0.226,0.204
47.9,8.868e+03,1.099e+02,2.087e+01,8.999e+03,0.314,0.245,0.220,0.200,0.180
49.5,1.103e+04,1.455e+02,2.836e+01,1.120e+04,0.280,0.215,0.193,0.176,0.158
51.0,1.414e+04,2.022e+02,3.851e+01,1.438e+04,0.246,0.187,0.168,0.153,0.137
52.6,1.893e+04,2.771e+02,4.328e+01,1.925e+04,0.211,0.159,0.144,0.132,0.118
54.1,2.604e+04,3.788e+02,4.389e+01,2.646e+04,0.177,0.133,0.121,0.112,0.100
55.7,3.501e+04,5.205e+02,1.065e+02,3.564e+04,0.142,0.107,0.100,0.094,0.085
57.2,5.082e+04,6.735e+02,2.471e+02,5.174e+04,0.111,0.083,0.080,0.077,0.071
58.8,7.624e+04,8.469e+02,4.366e+02,7.752e+04,0.086,0.060,0.062,0.062,0.059
60.3,9.543e+04,9.593e+02,5.763e+02,9.697e+04,0.068,0.046,0.047,0.050,0.050
61.9,9.207e+04,8.741e+02,6.049e+02,9.355e+04,0.062,0.037,0.033,0.039,0.043
63.4,7.626e+04,6.297e+02,5.942e+02,7.749e+04,0.070,0.035,0.024,0.032,0.039
64.9,5.914e+04,3.764e+02,5.100e+02,6.002e+04,0.088,0.040,0.020,0.028,0.037
66.5,4.309e+04,2.138e+02,3.827e+02,4.369e+04,0.111,0.049,0.022,0.028,0.037
68.0,3.098e+04,1.389e+02,2.746e+02,3.139e+04,0.142,0.062,0.027,0.029,0.037
69.6,2.154e+04,1.050e+02,2.031e+02,2.185e+04,0.175,0.076,0.032,0.032,0.038
71.1,1.503e+04,9.445e+01,1.709e+02,1.530e+04,0.207,0.088,0.036,0.034,0.039
72.7,1.108e+04,1.010e+02,1.458e+02,1.133e+04,0.239,0.099,0.038,0.036,0.040
74.2,8.808e+03,1.255e+02,1.139e+02,9.047e+03,0.270,0.109,0.040,0.038,0.040
75.8,7.595e+03,1.893e+02,9.738e+01,7.882e+03,0.301,0.117,0.039,0.038,0.039
77.3,6.853e+03,2.188e+02,7.532e+01,7.147e+03,0.331,0.123,0.037,0.038,0.038
78.9,6.312e+03,1.794e+02,4.826e+01,6.539e+03,0.360,0.128,0.034,0.037,0.036
80.4,5.506e+03,1.337e+02,7.200e+01,5.712e+03,0.389,0.131,0.031,0.036,0.034
82.0,4.596e+03,1.042e+02,1.185e+02,4.818e+03,0.417,0.133,0.029,0.033,0.032
83.5,3.599e+03,9.677e+01,1.419e+02,3.838e+03,0.444,0.133,0.028,0.030,0.029
85.1,3.053e+03,1.057e+02,1.496e+02,3.308e+03,0.471,0.132,0.028,0.027,0.025
86.6,2.937e+03,1.120e+02,1.369e+02,3.186e+03,0.496,0.129,0.031,0.023,0.022
88.1,2.438e+03,8.800e+01,9.523e+01,2.621e+03,0.521,0.125,0.035,0.019,0.019
89.7,2.028e+03,8.021e+01,8.614e+01,2.194e+03,0.545,0.119,0.042,0.015,0.016
91.2,1.943e+03,8.848e+01,1.369e+02,2.168e+03,0.567,0.112,0.051,0.012,0.013
92.8,1.807e+03,8.347e+01,1.767e+02,2.067e+03,0.589,0.104,0.065,0.011,0.012
94.3,1.520e+03,7.592e+01,1.882e+02,1.785e+03,0.610,0.097,0.081,0.011,0.012
95.9,1.643e+03,1.207e+02,1.757e+02,1.939e+03,0.629,0.092,0.099,0.012,0.013
97.4,2.222e+03,1.945e+02,1.640e+02,2.581e+03,0.648,0.088,0.118,0.013,0.015
