freq,psd_x,psd_y,psd_z,psd_xyz,zv(63.4),mzv(65.2),ei(78.0),2hump_ei(96.8),3hump_ei(115.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.994,0.992,0.991
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.990,0.987,0.985,0.982,0.980
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.978,0.975,0.970,0.967
6.2,4.279e+00,1.424e+01,1.939e+02,2.124e+02,0.975,0.967,0.963,0.956,0.952
7.8,3.868e+00,1.127e+01,2.561e+02,2.712e+02,0.966,0.954,0.949,0.941,0.934
9.3,3.032e+00,9.750e+00,3.091e+02,3.219e+02,0.954,0.940,0.933,0.923,0.915
10.9,2.586e+00,9.654e+00,3.752e+02,3.874e+02,0.942,0.924,0.916,0.904,0.894
12.4,2.517e+00,9.581e+00,4.286e+02,4.407e+02,0.928,0.907,0.897,0.883,0.872
14.0,2.737e+00,8.495e+00,4.363e+02,4.476e+02,0.914,0.888,0.876,0.860,0.848
15.6,2.836e+00,7.593e+00,4.742e+02,4.846e+02,0.897,0.868,0.854,0.836,0.822
17.1,2.534e+00,7.443e+00,5.252e+02,5.351e+02,0.880,0.847,0.831,0.811,0.795
18.7,2.570e+00,6.810e+00,5.898e+02,5.991e+02,0.861,0.824,0.806,0.784,0.767
20.2,2.872e+00,6.137e+00,6.721e+02,6.811e+02,0.841,0.801,0.781,0.757,0.738
21.8,3.372e+00,5.860e+00,7.609e+02,7.701e+02,0.821,0.776,0.754,0.728,0.708
23.3,3.470e+00,5.581e+00,8.560e+02,8.651e+02,0.799,0.750,0.726,0.699,0.677
24.9,3.142e+00,5.631e+00,9.548e+02,9.636e+02,0.776,0.723,0.698,0.669,0.646
26.4,3.063e+00,5.007e+00,1.058e+03,1.067e+03,0.752,0.696,0.668,0.638,0.614
28.0,2.958e+00,5.502e+00,1.128e+03,1.137e+03,0.727,0.667,0.638,0.607,0.582
29.6,2.475e+00,6.737e+00,1.201e+03,1.211e+03,0.701,0.638,0.608,0.575,0.549
31.1,2.482e+00,7.345e+00,1.327e+03,1.337e+03,0.674,0.609,0.577,0.544,0.517
32.7,2.808e+00,7.879e+00,1.470e+03,1.480e+03,0.646,0.579,0.546,0.512,0.485
34.2,3.287e+00,8.932e+00,1.613e+03,1.625e+03,0.618,0.548,0.515,0.481,0.453
35.8,4.668e+00,9.845e+00,1.764e+03,1.779e+03,0.589,0.518,0.484,0.449,0.422
37.3,7.174e+00,1.102e+01,1.921e+03,1.939e+03,0.559,0.487,0.453,0.418,0.391
38.9,1.037e+01,1.321e+01,2.106e+03,2.130e+03,0.528,0.456,0.422,0.388,0.360
40.4,1.385e+01,1.570e+01,2.339e+03,2.369e+03,0.497,0.425,0.391,0.358,0.331
42.0,1.735e+01,1.950e+01,2.641e+03,2.678e+03,0.466,0.394,0.361,0.329,0.302
43.6,2.160e+01,2.361e+01,3.012e+03,3.057e+03,0.434,0.364,0.331,0.300,0.274
45.1,2.676e+01,2.960e+01,3.481e+03,3.538e+03,0.401,0.333,0.302,0.272,0.247
46.7,3.377e+01,3.733e+01,4.105e+03,4.177e+03,0.368,0.303,0.273,0.246,0.222
48.2,4.305e+01,4.533e+01,4.937e+03,5.026e+03,0.335,0.274,0.245,0.220,0.198
49.8,4.955e+01,5.553e+01,6.119e+03,6.224e+03,0.301,0.245,0.219,0.196,0.175
51.3,5.698e+01,6.560e+01,7.221e+03,7.344e+03,0.268,0.216,0.193,0.172,0.153
52.9,1.102e+02,8.968e+01,9.091e+03,9.291e+03,0.234,0.189,0.168,0.150,0.133
54.4,1.891e+02,1.343e+02,1.177e+04,1.209e+04,0.200,0.162,0.145,0.130,0.115
56.0,2.399e+02,1.973e+02,1.412e+04,1.456e+04,0.166,0.136,0.123,0.110,0.098
57.6,4.198e+02,3.157e+02,1.916e+04,1.989e+04,0.133,0.111,0.102,0.093,0.083
59.1,9.334e+02,5.921e+02,2.940e+04,3.093e+04,0.104,0.087,0.083,0.077,0.070
60.7,1.864e+03,1.114e+03,4.840e+04,5.137e+04,0.081,0.065,0.065,0.062,0.058
62.2,2.315e+03,1.606e+03,6.920e+04,7.312e+04,0.066,0.049,0.050,0.050,0.050
63.8,1.790e+03,1.521e+03,6.945e+04,7.276e+04,0.063,0.038,0.036,0.040,0.043
65.3,1.111e+03,1.032e+03,5.082e+04,5.296e+04,0.073,0.034,0.026,0.032,0.039
66.9,6.041e+02,6.005e+02,3.290e+04,3.411e+04,0.092,0.038,0.020,0.028,0.037
68.4,3.106e+02,3.607e+02,2.062e+04,2.129e+04,0.115,0.045,0.021,0.027,0.037
70.0,1.627e+02,2.391e+02,1.296e+04,1.336e+04,0.146,0.056,0.025,0.029,0.037
71.6,7.688e+01,1.666e+02,8.483e+03,8.727e+03,0.178,0.070,0.030,0.031,0.038
73.1,4.037e+01,1.250e+02,6.041e+03,6.206e+03,0.209,0.083,0.034,0.034,0.039
74.7,2.105e+01,1.037e+02,4.328e+03,4.453e+03,0.241,0.094,0.037,0.036,0.040
76.2,1.366e+01,9.270e+01,3.002e+03,3.109e+03,0.271,0.104,0.039,0.037,0.040
77.8,1.337e+01,8.763e+01,2.044e+03,2.145e+03,0.301,0.112,0.040,0.038,0.039
79.3,1.578e+01,8.363e+01,1.408e+03,1.507e+03,0.331,0.119,0.039,0.038,0.038
80.9,1.768e+01,8.106e+01,1.021e+03,1.120e+03,0.360,0.125,0.036,0.038,0.037
82.4,1.590e+01,7.538e+01,7.770e+02,8.683e+02,0.388,0.129,0.032,0.036,0.035
84.0,1.159e+01,6.293e+01,6.381e+02,7.126e+02,0.416,0.132,0.030,0.034,0.032
85.6,1.032e+01,5.119e+01,5.176e+02,5.791e+02,0.443,0.133,0.029,0.032,0.030
87.1,1.329e+01,4.227e+01,3.923e+02,4.479e+02,0.469,0.133,0.028,0.028,0.026
88.7,1.591e+01,3.485e+01,3.298e+02,3.806e+02,0.494,0.131,0.029,0.025,0.023
90.2,2.165e+01,3.362e+01,2.672e+02,3.224e+02,0.518,0.128,0.031,0.021,0.020
91.8,1.938e+01,2.025e+01,2.355e+02,2.751e+02,0.541,0.124,0.037,0.017,0.017
93.3,1.366e+01,4.560e+01,3.748e+02,4.341e+02,0.564,0.118,0.044,0.013,0.014
94.9,3.805e+01,1.375e+02,6.566e+02,8.321e+02,0.585,0.111,0.052,0.011,0.012
96.4,7.203e+01,2.322e+02,8.903e+02,1.194e+03,0.606,0.103,0.067,0.011,0.012
98.0,1.239e+02,3.844e+02,9.446e+02,1.453e+03,0.625,0.097,0.083,0.011,0.012
99.6,1.566e+02,4.658e+02,8.981e+02,1.520e+03,0.643,0.092,0.100,0.012,0.014
101.1,1.429e+02,4.050e+02,8.199e+02,1.368e+03,0.661,0.088,0.119,0.015,0.017
102.7,1.186e+02,3.479e+02,6.358e+02,1.102e+03,0.677,0.085,0.137,0.018,0.019
104.2,9.302e+01,3.147e+02,4.567e+02,8.644e+02,0.692,0.082,0.157,0.022,0.021
105.8,7.853e+01,3.469e+02,3.818e+02,8.072e+02,0.706,0.080,0.177,0.025,0.024
107.3,6.474e+01,3.185e+02,3.348e+02,7.181e+02,0.719,0.081,0.197,0.027,0.026
108.9,5.797e+01,2.395e+02,2.728e+02,5.703e+02,0.731,0.083,0.218,0.029,0.027
110.4,5.591e+01,2.140e+02,2.218e+02,4.917e+02,0.741,0.087,0.239,0.031,0.029
112.0,4.544e+01,1.751e+02,1.703e+02,3.909e+02,0.751,0.093,0.260,0.032,0.029
113.6,3.310e+01,1.088e+02,1.436e+02,2.854e+02,0.759,0.100,0.282,0.032,0.030
115.1,3.848e+01,9.867e+01,1.344e+02,2.715e+02,0.766,0.109,0.303,0.031,0.030
116.7,8.183e+01,1.404e+02,1.157e+02,3.379e+02,0.772,0.120,0.324,0.030,0.030
118.2,1.509e+02,2.486e+02,9.919e+01,4.987e+02,0.777,0.131,0.345,0.027,0.029
119.8,2.007e+02,3.575e+02,8.509e+01,6.434e+02,0.780,0.146,0.366,0.027,0.027
121.3,2.181e+02,4.220e+02,7.436e+01,7.145e+02,0.783,0.167,0.386,0.027,0.026
122.9,2.184e+02,4.653e+02,7.172e+01,7.554e+02,0.784,0.189,0.406,0.027,0.024
124.4,2.136e+02,4.800e+02,7.323e+01,7.668e+02,0.784,0.210,0.425,0.028,0.022
126.0,2.091e+02,4.730e+02,6.974e+01,7.519e+02,0.783,0.232,0.444,0.029,0.019
