freq,psd_x,psd_y,psd_z,psd_xyz,zv(61.4),mzv(62.0),ei(74.4),2hump_ei(92.4),3hump_ei(111.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.993,0.992,0.991
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.990,0.986,0.984,0.981,0.979
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.983,0.976,0.973,0.969,0.965
6.2,2.088e+02,4.335e+00,6.725e+00,2.199e+02,0.974,0.964,0.960,0.954,0.949
7.7,2.727e+02,3.272e+00,5.332e+00,2.813e+02,0.964,0.951,0.945,0.937,0.931
9.3,3.321e+02,2.710e+00,4.532e+00,3.393e+02,0.952,0.936,0.929,0.918,0.911
10.8,3.977e+02,2.520e+00,3.907e+00,4.041e+02,0.940,0.919,0.910,0.897,0.889
12.4,4.768e+02,2.202e+00,3.833e+00,4.828e+02,0.925,0.900,0.890,0.875,0.865
13.9,5.587e+02,2.034e+00,3.674e+00,5.644e+02,0.910,0.880,0.868,0.851,0.839
15.5,5.814e+02,1.838e+00,3.184e+00,5.864e+02,0.892,0.858,0.844,0.825,0.812
17.0,5.617e+02,1.664e+00,2.825e+00,5.662e+02,0.874,0.835,0.819,0.798,0.784
18.6,6.291e+02,1.515e+00,2.501e+00,6.331e+02,0.855,0.811,0.793,0.770,0.754
20.1,7.380e+02,1.445e+00,2.398e+00,7.419e+02,0.834,0.786,0.765,0.741,0.723
21.7,8.643e+02,1.671e+00,2.407e+00,8.684e+02,0.812,0.759,0.737,0.710,0.692
23.2,1.006e+03,1.663e+00,2.599e+00,1.011e+03,0.789,0.731,0.707,0.679,0.660
24.8,1.163e+03,1.641e+00,2.723e+00,1.168e+03,0.765,0.702,0.677,0.647,0.627
26.3,1.297e+03,1.786e+00,2.716e+00,1.301e+03,0.740,0.673,0.646,0.615,0.594
27.9,1.428e+03,2.072e+00,3.023e+00,1.433e+03,0.713,0.643,0.614,0.582,0.560
29.4,1.629e+03,2.381e+00,3.519e+00,1.635e+03,0.686,0.612,0.582,0.549,0.527
31.0,1.851e+03,2.327e+00,3.857e+00,1.857e+03,0.658,0.581,0.550,0.516,0.493
32.5,2.116e+03,2.212e+00,4.503e+00,2.122e+03,0.629,0.549,0.517,0.484,0.460
34.1,2.428e+03,2.473e+00,5.269e+00,2.436e+03,0.600,0.517,0.485,0.451,0.427
35.6,2.792e+03,2.991e+00,6.053e+00,2.801e+03,0.569,0.484,0.452,0.419,0.395
37.2,3.201e+03,4.219e+00,6.063e+00,3.212e+03,0.538,0.452,0.420,0.387,0.364
38.7,3.595e+03,6.108e+00,5.502e+00,3.606e+03,0.506,0.419,0.388,0.355,0.333
40.3,3.999e+03,7.547e+00,5.542e+00,4.012e+03,0.474,0.387,0.356,0.325,0.303
41.8,4.523e+03,9.874e+00,5.910e+00,4.539e+03,0.441,0.355,0.325,0.295,0.274
43.4,5.234e+03,1.348e+01,6.243e+00,5.253e+03,0.408,0.323,0.295,0.267,0.246
44.9,6.135e+03,1.818e+01,6.952e+00,6.160e+03,0.374,0.292,0.265,0.239,0.220
46.5,7.102e+03,2.387e+01,9.117e+00,7.135e+03,0.340,0.261,0.237,0.213,0.195
48.0,8.457e+03,2.761e+01,1.581e+01,8.501e+03,0.306,0.231,0.209,0.187,0.171
49.6,1.057e+04,3.137e+01,2.362e+01,1.063e+04,0.271,0.202,0.183,0.164,0.149
51.1,1.359e+04,3.770e+01,3.144e+01,1.366e+04,0.236,0.173,0.158,0.141,0.129
52.7,1.807e+04,3.901e+01,4.006e+01,1.815e+04,0.201,0.146,0.134,0.120,0.110
54.2,2.486e+04,4.300e+01,4.053e+01,2.495e+04,0.167,0.119,0.112,0.101,0.093
55.8,3.345e+04,6.402e+01,5.517e+01,3.357e+04,0.132,0.094,0.091,0.083,0.078
57.3,4.839e+04,1.042e+02,1.089e+02,4.860e+04,0.103,0.070,0.072,0.068,0.065
58.9,6.431e+04,1.646e+02,1.884e+02,6.466e+04,0.080,0.052,0.055,0.054,0.054
60.4,7.029e+04,2.438e+02,2.789e+02,7.081e+04,0.065,0.040,0.040,0.043,0.046
62.0,6.560e+04,2.477e+02,3.148e+02,6.617e+04,0.063,0.035,0.028,0.034,0.041
63.5,5.746e+04,1.781e+02,3.031e+02,5.794e+04,0.075,0.037,0.021,0.029,0.038
65.1,4.416e+04,1.176e+02,2.420e+02,4.452e+04,0.096,0.045,0.020,0.027,0.037
66.6,3.211e+04,8.662e+01,1.771e+02,3.238e+04,0.121,0.057,0.024,0.029,0.037
68.2,2.352e+04,6.944e+01,1.363e+02,2.373e+04,0.154,0.071,0.030,0.031,0.038
69.7,1.741e+04,6.705e+01,9.977e+01,1.757e+04,0.187,0.084,0.034,0.034,0.039
71.3,1.288e+04,6.067e+01,7.620e+01,1.301e+04,0.219,0.096,0.037,0.036,0.040
72.8,9.848e+03,6.673e+01,7.782e+01,9.993e+03,0.251,0.106,0.039,0.037,0.040
74.4,7.483e+03,6.797e+01,1.026e+02,7.654e+03,0.282,0.114,0.040,0.038,0.040
75.9,5.883e+03,4.644e+01,1.039e+02,6.033e+03,0.313,0.121,0.038,0.038,0.039
77.5,4.984e+03,6.829e+01,5.675e+01,5.109e+03,0.343,0.127,0.036,0.037,0.037
79.0,4.246e+03,6.279e+01,3.388e+01,4.343e+03,0.373,0.131,0.032,0.036,0.035
80.6,3.719e+03,3.563e+01,4.593e+01,3.801e+03,0.401,0.133,0.030,0.034,0.033
82.1,3.104e+03,3.799e+01,9.134e+01,3.233e+03,0.429,0.133,0.028,0.031,0.030
83.7,2.848e+03,5.310e+01,1.402e+02,3.041e+03,0.456,0.132,0.028,0.027,0.026
85.2,3.037e+03,6.422e+01,1.423e+02,3.243e+03,0.483,0.130,0.030,0.023,0.023
86.7,2.831e+03,5.700e+01,1.170e+02,3.005e+03,0.508,0.126,0.034,0.019,0.020
88.3,2.434e+03,4.368e+01,1.008e+02,2.579e+03,0.532,0.120,0.040,0.015,0.016
89.8,2.105e+03,3.725e+01,9.805e+01,2.240e+03,0.556,0.113,0.048,0.012,0.014
91.4,1.750e+03,3.512e+01,9.843e+01,1.884e+03,0.578,0.105,0.060,0.011,0.012
92.9,2.135e+03,6.096e+01,1.792e+02,2.375e+03,0.600,0.097,0.077,0.011,0.012
94.5,2.712e+03,1.293e+02,2.212e+02,3.062e+03,0.620,0.093,0.095,0.012,0.013
96.0,3.074e+03,1.880e+02,2.018e+02,3.464e+03,0.639,0.089,0.114,0.013,0.015
97.6,3.317e+03,2.153e+02,1.690e+02,3.702e+03,0.657,0.085,0.133,0.017,0.017
