freq,psd_x,psd_y,psd_z,psd_xyz,zv(43.6),mzv(41.4),ei(49.6),2hump_ei(61.8),3hump_ei(74.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.994,0.990,0.989,0.987,0.985
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.976,0.973,0.969,0.966
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.972,0.958,0.953,0.946,0.941
6.2,5.712e+00,2.093e+02,2.866e+00,2.179e+02,0.957,0.936,0.929,0.919,0.912
7.7,4.328e+00,2.873e+02,2.268e+00,2.939e+02,0.939,0.910,0.900,0.887,0.878
9.3,3.751e+00,3.563e+02,1.941e+00,3.620e+02,0.918,0.880,0.868,0.852,0.841
10.8,3.452e+00,4.395e+02,1.713e+00,4.447e+02,0.895,0.848,0.832,0.813,0.800
12.4,2.989e+00,5.619e+02,1.929e+00,5.668e+02,0.869,0.812,0.793,0.771,0.757
13.9,2.483e+00,7.191e+02,2.141e+00,7.237e+02,0.841,0.773,0.751,0.727,0.711
15.5,3.103e+00,8.273e+02,2.258e+00,8.326e+02,0.810,0.732,0.708,0.681,0.664
17.0,3.878e+00,8.568e+02,2.219e+00,8.629e+02,0.777,0.689,0.662,0.633,0.615
18.6,3.906e+00,9.943e+02,2.663e+00,1.001e+03,0.742,0.644,0.615,0.584,0.565
20.1,3.763e+00,1.041e+03,2.633e+00,1.048e+03,0.705,0.597,0.566,0.535,0.515
21.7,3.131e+00,1.035e+03,2.022e+00,1.040e+03,0.667,0.550,0.518,0.486,0.466
23.2,2.761e+00,1.229e+03,2.384e+00,1.235e+03,0.626,0.502,0.469,0.437,0.417
24.8,3.028e+00,1.564e+03,4.133e+00,1.571e+03,0.584,0.453,0.420,0.389,0.370
26.3,3.439e+00,1.992e+03,7.199e+00,2.003e+03,0.540,0.405,0.372,0.343,0.324
27.9,2.390e+00,2.478e+03,1.111e+01,2.492e+03,0.495,0.357,0.325,0.298,0.281
29.4,1.899e+00,3.041e+03,1.653e+01,3.060e+03,0.450,0.309,0.280,0.256,0.239
31.0,2.743e+00,3.783e+03,2.305e+01,3.809e+03,0.403,0.263,0.237,0.215,0.201
32.5,4.570e+00,4.953e+03,3.344e+01,4.991e+03,0.355,0.218,0.196,0.178,0.166
34.1,6.610e+00,7.058e+03,6.025e+01,7.125e+03,0.307,0.175,0.158,0.144,0.134
35.6,8.528e+00,1.146e+04,1.345e+02,1.160e+04,0.258,0.134,0.123,0.113,0.106
37.2,1.414e+01,2.167e+04,3.325e+02,2.202e+04,0.209,0.096,0.091,0.086,0.082
38.7,2.368e+01,3.996e+04,8.223e+02,4.080e+04,0.160,0.061,0.063,0.062,0.063
40.3,3.376e+01,5.065e+04,1.395e+03,5.208e+04,0.113,0.040,0.040,0.044,0.049
41.8,3.609e+01,4.515e+04,1.713e+03,4.690e+04,0.080,0.035,0.024,0.032,0.040
43.4,2.754e+01,3.271e+04,1.728e+03,3.447e+04,0.062,0.045,0.020,0.027,0.037
44.9,1.997e+01,2.344e+04,1.436e+03,2.489e+04,0.073,0.063,0.027,0.029,0.037
46.5,2.804e+01,2.037e+04,1.230e+03,2.163e+04,0.101,0.083,0.034,0.033,0.039
48.0,2.798e+01,1.729e+04,1.164e+03,1.848e+04,0.142,0.100,0.039,0.036,0.040
49.6,3.395e+01,1.387e+04,1.246e+03,1.515e+04,0.188,0.114,0.040,0.038,0.040
51.1,4.584e+01,1.128e+04,1.336e+03,1.266e+04,0.234,0.124,0.037,0.038,0.039
52.7,6.235e+01,9.532e+03,1.504e+03,1.110e+04,0.278,0.130,0.032,0.036,0.036
54.2,7.932e+01,8.316e+03,1.829e+03,1.022e+04,0.321,0.133,0.029,0.033,0.032
55.7,1.082e+02,7.112e+03,2.254e+03,9.474e+03,0.363,0.133,0.028,0.028,0.028
57.3,1.417e+02,5.978e+03,2.554e+03,8.674e+03,0.404,0.128,0.031,0.022,0.023
58.8,1.821e+02,4.820e+03,2.780e+03,7.782e+03,0.443,0.121,0.040,0.016,0.018
60.4,2.504e+02,3.858e+03,3.092e+03,7.200e+03,0.480,0.110,0.053,0.012,0.014
61.9,2.378e+02,3.333e+03,3.737e+03,7.308e+03,0.516,0.098,0.077,0.011,0.012
63.5,1.825e+02,2.580e+03,3.729e+03,6.492e+03,0.549,0.091,0.104,0.012,0.013
65.0,1.566e+02,1.883e+03,2.917e+03,4.956e+03,0.581,0.085,0.133,0.016,0.016
66.6,1.247e+02,1.528e+03,2.116e+03,3.768e+03,0.611,0.081,0.163,0.022,0.020
68.1,9.551e+01,1.384e+03,1.554e+03,3.033e+03,0.638,0.081,0.195,0.026,0.023
69.7,7.305e+01,1.283e+03,1.182e+03,2.538e+03,0.663,0.085,0.227,0.030,0.026
71.2,6.135e+01,1.156e+03,9.659e+02,2.184e+03,0.686,0.093,0.261,0.032,0.029
72.8,5.766e+01,1.021e+03,8.179e+02,1.896e+03,0.707,0.106,0.294,0.032,0.030
74.3,6.551e+01,9.401e+02,7.587e+02,1.764e+03,0.725,0.123,0.327,0.030,0.030
75.9,6.989e+01,8.743e+02,6.945e+02,1.639e+03,0.741,0.142,0.360,0.027,0.029
77.4,4.920e+01,8.417e+02,6.138e+02,1.505e+03,0.754,0.175,0.391,0.027,0.027
79.0,5.248e+01,8.220e+02,5.134e+02,1.388e+03,0.765,0.209,0.422,0.027,0.025
80.5,4.587e+01,8.047e+02,4.329e+02,1.283e+03,0.774,0.244,0.451,0.029,0.021
82.1,3.171e+01,7.786e+02,4.024e+02,1.213e+03,0.780,0.278,0.479,0.032,0.017
83.6,1.905e+01,7.569e+02,3.854e+02,1.161e+03,0.783,0.312,0.504,0.038,0.014
85.2,1.068e+01,7.469e+02,3.551e+02,1.113e+03,0.784,0.345,0.528,0.046,0.013
86.7,7.128e+00,6.988e+02,3.183e+02,1.024e+03,0.783,0.378,0.548,0.061,0.012
88.3,9.650e+00,6.318e+02,3.094e+02,9.509e+02,0.779,0.409,0.567,0.081,0.012
89.8,1.002e+01,5.000e+02,3.167e+02,8.267e+02,0.773,0.439,0.582,0.103,0.013
91.4,8.878e+00,3.926e+02,3.286e+02,7.300e+02,0.764,0.467,0.594,0.126,0.015
92.9,1.819e+01,3.672e+02,3.508e+02,7.363e+02,0.754,0.493,0.604,0.151,0.018
94.5,3.733e+01,3.256e+02,3.254e+02,6.882e+02,0.741,0.518,0.610,0.176,0.021
96.0,5.378e+01,2.744e+02,2.905e+02,6.187e+02,0.725,0.540,0.614,0.201,0.024
97.6,5.470e+01,1.902e+02,2.569e+02,5.018e+02,0.708,0.560,0.614,0.228,0.025
99.1,4.720e+01,1.164e+02,2.218e+02,3.855e+02,0.689,0.578,0.611,0.254,0.025
100.7,3.543e+01,7.037e+01,1.812e+02,2.870e+02,0.668,0.593,0.605,0.279,0.023
102.2,2.367e+01,4.215e+01,1.451e+02,2.109e+02,0.645,0.605,0.596,0.305,0.024
103.8,1.469e+01,3.174e+01,1.321e+02,1.786e+02,0.620,0.614,0.585,0.329,0.025
105.3,1.099e+01,6.188e+01,1.669e+02,2.398e+02,0.594,0.621,0.570,0.352,0.026
106.9,9.559e+00,1.306e+02,2.244e+02,3.645e+02,0.566,0.625,0.553,0.374,0.028
108.4,8.709e+00,1.938e+02,2.585e+02,4.609e+02,0.537,0.626,0.534,0.395,0.031
110.0,7.779e+00,2.314e+02,2.673e+02,5.064e+02,0.506,0.624,0.513,0.413,0.035
111.5,7.971e+00,2.436e+02,2.526e+02,5.041e+02,0.474,0.619,0.489,0.430,0.039
113.0,1.251e+01,2.263e+02,2.257e+02,4.644e+02,0.442,0.612,0.464,0.444,0.049
114.6,1.813e+01,2.005e+02,2.088e+02,4.275e+02,0.409,0.602,0.438,0.456,0.065
116.1,1.550e+01,1.766e+02,1.963e+02,3.884e+02,0.378,0.590,0.411,0.466,0.082
