freq,psd_x,psd_y,psd_z,psd_xyz,zv(52.8),mzv(33.6),ei(50.8),2hump_ei(43.6),3hump_ei(52.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.987,0.989,0.980,0.978
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.988,0.969,0.974,0.950,0.946
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.979,0.944,0.955,0.912,0.904
6.2,9.188e+03,4.437e+02,1.205e+02,9.752e+03,0.968,0.913,0.932,0.865,0.855
7.7,6.842e+03,3.680e+02,1.064e+02,7.316e+03,0.955,0.877,0.904,0.811,0.798
9.2,5.719e+03,2.956e+02,9.176e+01,6.106e+03,0.940,0.835,0.874,0.751,0.736
10.8,4.900e+03,2.605e+02,6.641e+01,5.227e+03,0.924,0.790,0.840,0.687,0.670
12.3,4.497e+03,2.240e+02,5.785e+01,4.779e+03,0.905,0.740,0.802,0.620,0.601
13.9,4.335e+03,1.851e+02,5.246e+01,4.573e+03,0.885,0.688,0.763,0.551,0.531
15.4,4.174e+03,1.656e+02,4.737e+01,4.387e+03,0.864,0.633,0.721,0.482,0.461
16.9,3.882e+03,1.519e+02,4.670e+01,4.080e+03,0.840,0.575,0.677,0.413,0.393
18.5,3.764e+03,1.841e+02,5.353e+01,4.002e+03,0.815,0.517,0.632,0.347,0.328
20.0,3.857e+03,2.512e+02,6.190e+01,4.170e+03,0.788,0.457,0.585,0.285,0.267
21.5,3.635e+03,2.294e+02,5.454e+01,3.919e+03,0.760,0.398,0.538,0.226,0.211
23.1,3.460e+03,1.685e+02,4.659e+01,3.675e+03,0.731,0.339,0.490,0.173,0.161
24.6,3.342e+03,1.155e+02,3.810e+01,3.496e+03,0.700,0.282,0.443,0.127,0.118
26.2,3.210e+03,1.079e+02,3.531e+01,3.353e+03,0.668,0.226,0.396,0.087,0.083
27.7,3.111e+03,1.044e+02,3.665e+01,3.253e+03,0.635,0.173,0.350,0.055,0.057
29.2,3.143e+03,9.636e+01,3.694e+01,3.276e+03,0.601,0.124,0.305,0.034,0.042
30.8,3.441e+03,9.386e+01,3.356e+01,3.569e+03,0.566,0.078,0.262,0.027,0.037
32.3,3.710e+03,1.013e+02,3.435e+01,3.845e+03,0.530,0.045,0.221,0.031,0.038
33.9,3.923e+03,1.110e+02,3.167e+01,4.066e+03,0.493,0.035,0.183,0.036,0.040
35.4,4.327e+03,1.363e+02,3.165e+01,4.495e+03,0.455,0.047,0.146,0.038,0.039
36.9,4.724e+03,1.539e+02,2.997e+01,4.908e+03,0.417,0.071,0.113,0.037,0.037
