freq,psd_x,psd_y,psd_z,psd_xyz,zv(43.8),mzv(33.8),ei(42.4),2hump_ei(47.2),3hump_ei(50.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.994,0.988,0.987,0.982,0.977
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.985,0.969,0.967,0.956,0.943
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.972,0.944,0.942,0.921,0.899
6.2,3.130e+03,1.251e+03,1.347e+02,4.516e+03,0.958,0.914,0.910,0.880,0.846
7.7,2.314e+03,1.145e+03,1.095e+02,3.568e+03,0.940,0.878,0.874,0.832,0.787
9.2,1.763e+03,1.135e+03,9.241e+01,2.991e+03,0.920,0.837,0.833,0.779,0.721
10.8,1.494e+03,1.184e+03,8.021e+01,2.758e+03,0.897,0.792,0.787,0.722,0.651
12.3,1.294e+03,1.229e+03,6.987e+01,2.593e+03,0.872,0.743,0.738,0.661,0.579
13.9,1.095e+03,1.257e+03,5.241e+01,2.405e+03,0.844,0.691,0.687,0.599,0.506
15.4,9.339e+02,1.330e+03,4.197e+01,2.306e+03,0.814,0.636,0.632,0.535,0.434
16.9,9.200e+02,1.290e+03,4.634e+01,2.256e+03,0.781,0.579,0.577,0.471,0.364
18.5,9.058e+02,1.430e+03,4.741e+01,2.383e+03,0.747,0.521,0.520,0.408,0.298
20.0,8.801e+02,1.586e+03,4.018e+01,2.506e+03,0.711,0.462,0.463,0.347,0.238
21.5,9.378e+02,1.609e+03,3.247e+01,2.579e+03,0.672,0.403,0.407,0.289,0.183
23.1,8.371e+02,1.606e+03,3.215e+01,2.475e+03,0.633,0.344,0.351,0.234,0.135
24.6,7.981e+02,1.835e+03,2.984e+01,2.663e+03,0.591,0.287,0.298,0.185,0.095
26.2,7.371e+02,2.413e+03,2.879e+01,3.179e+03,0.548,0.232,0.247,0.140,0.065
27.7,6.746e+02,3.238e+03,2.679e+01,3.939e+03,0.504,0.179,0.199,0.101,0.045
29.2,6.218e+02,4.595e+03,2.628e+01,5.243e+03,0.459,0.129,0.155,0.068,0.037
30.8,8.316e+02,6.931e+03,2.714e+01,7.790e+03,0.413,0.083,0.114,0.044,0.038
32.3,1.379e+03,9.546e+03,2.915e+01,1.095e+04,0.366,0.048,0.079,0.030,0.040
33.9,1.841e+03,1.019e+04,3.411e+01,1.207e+04,0.318,0.034,0.049,0.028,0.040
35.4,1.715e+03,9.383e+03,3.562e+01,1.113e+04,0.270,0.045,0.027,0.033,0.037
36.9,1.633e+03,7.813e+03,3.558e+01,9.482e+03,0.221,0.068,0.020,0.037,0.032
38.5,1.427e+03,5.869e+03,3.536e+01,7.331e+03,0.173,0.091,0.027,0.038,0.025
40.0,1.127e+03,4.342e+03,4.204e+01,5.511e+03,0.125,0.109,0.035,0.037,0.017
41.6,9.791e+02,3.341e+03,4.417e+01,4.364e+03,0.088,0.123,0.039,0.032,0.012
43.1,1.013e+03,2.565e+03,3.571e+01,3.614e+03,0.065,0.131,0.039,0.025,0.013
44.6,1.041e+03,1.963e+03,3.505e+01,3.039e+03,0.067,0.133,0.033,0.018,0.018
46.2,1.090e+03,1.543e+03,3.906e+01,2.672e+03,0.091,0.131,0.029,0.012,0.023
47.7,1.101e+03,1.326e+03,3.279e+01,2.460e+03,0.127,0.123,0.028,0.011,0.027
49.3,1.084e+03,1.372e+03,4.197e+01,2.498e+03,0.173,0.111,0.033,0.014,0.030
