freq,psd_x,psd_y,psd_z,psd_xyz
93.3,1.979e+04,4.327e+04,1.391e+03,6.445e+04
94.9,1.652e+04,4.345e+04,8.757e+02,6.085e+04
96.4,1.441e+04,4.327e+04,8.959e+02,5.858e+04
98.0,1.240e+04,4.094e+04,8.848e+02,5.423e+04
99.6,1.041e+04,4.347e+04,1.187e+03,5.506e+04
101.1,7.945e+03,4.871e+04,1.713e+03,5.837e+04
102.7,5.402e+03,5.237e+04,1.735e+03,5.951e+04
104.2,3.472e+03,5.633e+04,1.258e+03,6.106e+04
105.8,2.011e+03,5.373e+04,1.139e+03,5.688e+04
107.3,1.184e+03,5.032e+04,1.085e+03,5.259e+04
108.9,1.189e+03,6.578e+04,8.166e+02,6.778e+04
110.4,1.629e+03,6.832e+04,7.499e+02,7.069e+04
112.0,3.799e+03,6.049e+04,1.033e+03,6.533e+04
113.6,8.990e+03,6.256e+04,1.366e+03,7.292e+04
115.1,1.565e+04,8.983e+04,2.225e+03,1.077e+05
116.7,2.040e+04,1.055e+05,3.625e+03,1.296e+05
118.2,2.295e+04,1.045e+05,4.390e+03,1.319e+05
119.8,2.249e+04,8.902e+04,4.258e+03,1.158e+05
121.3,2.041e+04,7.250e+04,3.862e+03,9.677e+04
122.9,1.693e+04,6.525e+04,3.553e+03,8.574e+04
124.4,1.335e+04,6.578e+04,3.294e+03,8.243e+04
126.0,1.068e+04,6.836e+04,3.109e+03,8.215e+04
127.6,9.027e+03,6.921e+04,2.968e+03,8.121e+04
129.1,7.646e+03,7.049e+04,3.087e+03,8.123e+04
130.7,6.402e+03,7.182e+04,3.238e+03,8.146e+04
132.2,4.478e+03,6.114e+04,2.654e+03,6.827e+04
133.8,1.858e+03,1.977e+04,1.754e+03,2.338e+04
135.3,1.061e+03,5.619e+03,1.375e+03,8.055e+03
136.9,9.005e+02,5.460e+03,1.071e+03,7.431e+03
138.4,7.288e+02,5.468e+03,8.129e+02,7.010e+03
140.0,6.034e+02,5.261e+03,7.017e+02,6.566e+03
141.6,5.351e+02,4.782e+03,6.297e+02,5.947e+03
143.1,4.534e+02,4.367e+03,5.800e+02,5.401e+03
144.7,3.335e+02,3.987e+03,5.464e+02,4.867e+03
146.2,2.410e+02,3.617e+03,5.416e+02,4.400e+03
147.8,2.727e+02,3.507e+03,4.685e+02,4.248e+03
149.3,3.799e+02,3.409e+03,3.981e+02,4.187e+03
150.9,4.919e+02,3.195e+03,3.706e+02,4.058e+03
152.4,5.581e+02,3.037e+03,3.558e+02,3.951e+03
154.0,5.020e+02,2.882e+03,3.565e+02,3.741e+03
155.6,4.321e+02,2.861e+03,3.270e+02,3.620e+03
157.1,4.260e+02,2.762e+03,3.424e+02,3.531e+03
158.7,5.081e+02,2.659e+03,4.734e+02,3.641e+03
160.2,5.851e+02,2.814e+03,7.067e+02,4.106e+03
161.8,5.815e+02,2.847e+03,8.116e+02,4.240e+03
163.3,5.479e+02,2.988e+03,6.718e+02,4.208e+03
164.9,5.785e+02,3.248e+03,5.660e+02,4.392e+03
166.4,7.267e+02,3.531e+03,6.196e+02,4.877e+03
168.0,8.386e+02,3.380e+03,6.945e+02,4.914e+03
169.6,8.994e+02,2.988e+03,7.930e+02,4.680e+03
171.1,9.608e+02,2.973e+03,1.061e+03,4.995e+03
172.7,1.087e+03,3.464e+03,1.805e+03,6.356e+03
174.2,1.413e+03,5.402e+03,3.129e+03,9.944e+03
175.8,1.613e+03,8.607e+03,3.821e+03,1.404e+04
177.3,1.701e+03,1.131e+04,4.028e+03,1.704e+04
178.9,1.900e+03,1.321e+04,4.302e+03,1.941e+04
180.4,2.252e+03,1.566e+04,4.937e+03,2.285e+04
182.0,2.325e+03,1.755e+04,5.148e+03,2.502e+04
183.6,2.404e+03,1.850e+04,5.661e+03,2.657e+04
185.1,2.903e+03,2.017e+04,7.152e+03,3.022e+04
186.7,3.174e+03,2.174e+04,7.747e+03,3.266e+04
188.2,3.161e+03,2.271e+04,7.672e+03,3.354e+04
189.8,2.890e+03,2.171e+04,7.107e+03,3.171e+04
191.3,2.813e+03,1.986e+04,6.691e+03,2.936e+04
192.9,2.978e+03,1.766e+04,7.055e+03,2.769e+04
194.4,3.541e+03,1.685e+04,8.302e+03,2.869e+04
196.0,3.879e+03,1.477e+04,8.314e+03,2.696e+04
197.6,4.438e+03,1.225e+04,8.599e+03,2.529e+04
199.1,5.127e+03,1.003e+04,9.474e+03,2.463e+04
