freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.048e+01,2.273e+02,8.214e+00,2.760e+02
1.6,2.971e+01,1.343e+02,2.002e+01,1.840e+02
3.1,1.093e+01,2.333e+01,2.069e+01,5.495e+01
4.7,1.136e+01,3.400e+02,2.060e+01,3.720e+02
6.2,1.118e+01,1.230e+03,1.983e+01,1.261e+03
7.8,1.129e+01,2.081e+03,2.003e+01,2.112e+03
9.3,1.060e+01,3.110e+03,2.018e+01,3.141e+03
10.9,9.766e+00,4.416e+03,2.693e+01,4.453e+03
12.4,1.259e+01,6.217e+03,6.359e+01,6.293e+03
14.0,1.451e+01,8.370e+03,1.148e+02,8.499e+03
15.6,1.975e+01,1.033e+04,1.208e+02,1.047e+04
17.1,2.567e+01,1.147e+04,9.462e+01,1.159e+04
18.7,2.621e+01,1.418e+04,5.907e+01,1.426e+04
20.2,3.253e+01,1.861e+04,4.647e+01,1.869e+04
21.8,1.026e+02,2.322e+04,6.402e+01,2.339e+04
23.3,2.874e+02,2.771e+04,9.451e+01,2.809e+04
24.9,4.144e+02,3.161e+04,8.358e+01,3.210e+04
26.4,4.032e+02,3.611e+04,8.249e+01,3.660e+04
28.0,3.890e+02,4.537e+04,1.081e+02,4.587e+04
29.6,4.549e+02,6.076e+04,1.584e+02,6.137e+04
31.1,6.781e+02,8.141e+04,2.793e+02,8.236e+04
32.7,1.046e+03,9.863e+04,3.761e+02,1.000e+05
34.2,1.496e+03,1.179e+05,3.906e+02,1.198e+05
35.8,1.930e+03,1.466e+05,3.413e+02,1.488e+05
37.3,2.595e+03,1.792e+05,2.943e+02,1.821e+05
38.9,3.521e+03,2.207e+05,2.843e+02,2.245e+05
40.4,5.825e+03,2.923e+05,3.550e+02,2.985e+05
42.0,1.260e+04,4.150e+05,6.242e+02,4.282e+05
43.6,2.069e+04,4.833e+05,9.969e+02,5.050e+05
45.1,1.894e+04,4.134e+05,9.042e+02,4.333e+05
46.7,1.778e+04,2.905e+05,5.816e+02,3.088e+05
48.2,1.986e+04,1.908e+05,4.288e+02,2.111e+05
49.8,3.018e+04,1.361e+05,5.594e+02,1.668e+05
51.3,4.073e+04,9.887e+04,7.662e+02,1.404e+05
52.9,4.634e+04,6.414e+04,9.733e+02,1.115e+05
54.4,5.203e+04,4.004e+04,1.133e+03,9.320e+04
56.0,5.875e+04,2.974e+04,1.833e+03,9.033e+04
57.6,6.589e+04,3.070e+04,5.251e+03,1.018e+05
59.1,6.653e+04,3.411e+04,1.227e+04,1.129e+05
60.7,6.973e+04,3.596e+04,1.842e+04,1.241e+05
62.2,7.982e+04,4.289e+04,2.188e+04,1.446e+05
63.8,8.680e+04,5.938e+04,2.136e+04,1.675e+05
65.3,8.782e+04,7.979e+04,1.673e+04,1.843e+05
66.9,9.290e+04,1.042e+05,1.250e+04,2.096e+05
68.4,1.055e+05,1.342e+05,8.960e+03,2.487e+05
70.0,1.165e+05,1.598e+05,6.401e+03,2.826e+05
71.6,1.125e+05,1.646e+05,5.421e+03,2.825e+05
73.1,1.031e+05,1.590e+05,4.806e+03,2.669e+05
74.7,9.401e+04,1.496e+05,3.655e+03,2.473e+05
76.2,8.936e+04,1.458e+05,2.157e+03,2.373e+05
77.8,8.340e+04,1.414e+05,1.704e+03,2.265e+05
79.3,6.894e+04,1.276e+05,2.180e+03,1.987e+05
80.9,5.730e+04,1.165e+05,2.646e+03,1.764e+05
82.4,5.011e+04,1.076e+05,2.978e+03,1.607e+05
84.0,4.460e+04,9.734e+04,2.957e+03,1.449e+05
85.6,3.987e+04,8.590e+04,2.600e+03,1.284e+05
87.1,3.437e+04,7.330e+04,2.281e+03,1.099e+05
88.7,3.029e+04,6.333e+04,1.880e+03,9.550e+04
90.2,2.665e+04,5.397e+04,1.514e+03,8.214e+04
91.8,2.332e+04,4.682e+04,1.686e+03,7.182e+04
