freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.802e+01,3.512e+01,6.780e+02,7.411e+02
1.6,3.865e+01,7.054e+01,3.946e+02,5.038e+02
3.1,3.369e+01,7.086e+01,3.169e+01,1.362e+02
4.7,3.165e+01,8.573e+01,3.452e+02,4.626e+02
6.2,2.894e+01,1.051e+02,1.204e+03,1.338e+03
7.8,3.020e+01,9.176e+01,2.019e+03,2.141e+03
9.3,3.119e+01,1.015e+02,2.951e+03,3.083e+03
10.9,3.241e+01,1.051e+02,4.130e+03,4.268e+03
12.4,3.550e+01,1.220e+02,5.254e+03,5.412e+03
14.0,4.307e+01,1.224e+02,6.080e+03,6.246e+03
15.6,4.522e+01,1.108e+02,7.446e+03,7.602e+03
17.1,4.542e+01,1.109e+02,9.011e+03,9.167e+03
18.7,4.664e+01,1.144e+02,1.100e+04,1.116e+04
20.2,5.790e+01,1.126e+02,1.374e+04,1.391e+04
21.8,7.413e+01,1.161e+02,1.677e+04,1.696e+04
23.3,8.534e+01,1.368e+02,2.010e+04,2.032e+04
24.9,8.296e+01,1.263e+02,2.389e+04,2.410e+04
26.4,8.285e+01,1.290e+02,2.800e+04,2.821e+04
28.0,7.795e+01,1.467e+02,3.143e+04,3.165e+04
29.6,6.376e+01,1.670e+02,3.557e+04,3.580e+04
31.1,6.765e+01,2.150e+02,4.158e+04,4.186e+04
32.7,8.577e+01,2.566e+02,4.853e+04,4.887e+04
34.2,1.194e+02,3.108e+02,5.580e+04,5.623e+04
35.8,2.003e+02,3.649e+02,6.358e+04,6.415e+04
37.3,3.118e+02,4.509e+02,7.228e+04,7.304e+04
38.9,4.380e+02,5.828e+02,8.276e+04,8.378e+04
40.4,5.895e+02,7.169e+02,9.589e+04,9.719e+04
42.0,7.587e+02,9.041e+02,1.126e+05,1.142e+05
43.6,9.608e+02,1.148e+03,1.335e+05,1.356e+05
45.1,1.228e+03,1.485e+03,1.601e+05,1.628e+05
46.7,1.608e+03,1.868e+03,1.953e+05,1.987e+05
48.2,2.156e+03,2.341e+03,2.442e+05,2.487e+05
49.8,2.758e+03,3.157e+03,3.128e+05,3.187e+05
51.3,3.665e+03,3.917e+03,3.793e+05,3.869e+05
52.9,7.473e+03,5.338e+03,4.876e+05,5.004e+05
54.5,1.411e+04,7.885e+03,6.394e+05,6.614e+05
56.0,1.675e+04,1.118e+04,7.902e+05,8.181e+05
57.6,2.286e+04,1.846e+04,1.126e+06,1.167e+06
59.1,3.986e+04,3.446e+04,1.781e+06,1.856e+06
60.7,7.638e+04,7.258e+04,3.067e+06,3.216e+06
62.2,1.157e+05,1.202e+05,4.410e+06,4.646e+06
63.8,1.058e+05,1.192e+05,4.224e+06,4.449e+06
65.3,7.200e+04,8.699e+04,3.221e+06,3.380e+06
66.9,4.488e+04,5.627e+04,2.239e+06,2.340e+06
68.5,2.525e+04,3.418e+04,1.500e+06,1.560e+06
70.0,1.358e+04,2.113e+04,1.003e+06,1.038e+06
71.6,6.863e+03,1.369e+04,6.794e+05,6.999e+05
73.1,3.635e+03,1.016e+04,4.982e+05,5.120e+05
74.7,1.745e+03,8.223e+03,3.689e+05,3.789e+05
76.2,9.211e+02,7.322e+03,2.574e+05,2.656e+05
77.8,8.327e+02,7.001e+03,1.755e+05,1.833e+05
79.3,1.082e+03,6.874e+03,1.224e+05,1.304e+05
80.9,1.304e+03,6.734e+03,8.986e+04,9.789e+04
82.5,1.362e+03,6.357e+03,6.690e+04,7.462e+04
84.0,1.356e+03,5.675e+03,5.486e+04,6.189e+04
85.6,1.460e+03,4.748e+03,4.489e+04,5.110e+04
87.1,1.842e+03,3.822e+03,3.498e+04,4.065e+04
88.7,2.168e+03,3.093e+03,3.037e+04,3.563e+04
90.2,2.959e+03,2.673e+03,2.426e+04,2.989e+04
91.8,2.165e+03,1.952e+03,2.359e+04,2.771e+04
93.3,1.493e+03,7.075e+03,3.906e+04,4.762e+04
94.9,3.910e+03,1.714e+04,6.690e+04,8.795e+04
96.5,7.758e+03,2.806e+04,9.054e+04,1.264e+05
98.0,1.329e+04,4.702e+04,1.020e+05,1.623e+05
99.6,1.551e+04,5.037e+04,9.570e+04,1.616e+05
101.1,1.455e+04,4.376e+04,8.739e+04,1.457e+05
102.7,1.289e+04,3.882e+04,6.664e+04,1.183e+05
104.2,1.100e+04,3.661e+04,4.807e+04,9.568e+04
105.8,9.664e+03,4.153e+04,4.071e+04,9.190e+04
107.3,8.005e+03,3.597e+04,3.477e+04,7.874e+04
108.9,7.224e+03,2.668e+04,2.811e+04,6.202e+04
110.5,6.652e+03,2.221e+04,2.309e+04,5.195e+04
112.0,5.432e+03,1.619e+04,1.861e+04,4.023e+04
113.6,4.358e+03,1.103e+04,1.599e+04,3.138e+04
115.1,5.659e+03,1.083e+04,1.440e+04,3.089e+04
116.7,1.136e+04,1.808e+04,1.252e+04,4.196e+04
118.2,1.939e+04,3.210e+04,1.094e+04,6.244e+04
119.8,2.466e+04,4.405e+04,9.541e+03,7.825e+04
121.3,2.610e+04,5.175e+04,8.214e+03,8.606e+04
122.9,2.609e+04,5.661e+04,7.805e+03,9.050e+04
124.5,2.579e+04,5.910e+04,8.387e+03,9.328e+04
126.0,2.548e+04,6.095e+04,8.909e+03,9.535e+04
127.6,2.486e+04,6.401e+04,9.657e+03,9.853e+04
129.1,2.427e+04,6.940e+04,1.142e+04,1.051e+05
130.7,2.205e+04,6.932e+04,1.251e+04,1.039e+05
132.2,1.699e+04,5.260e+04,1.035e+04,7.994e+04
133.8,5.449e+03,1.740e+04,4.056e+03,2.690e+04
135.4,1.490e+03,5.703e+03,1.841e+03,9.034e+03
136.9,1.359e+03,5.556e+03,1.877e+03,8.792e+03
138.5,1.386e+03,5.866e+03,1.998e+03,9.250e+03
140.0,1.386e+03,5.933e+03,2.313e+03,9.632e+03
141.6,1.230e+03,4.942e+03,3.097e+03,9.269e+03
143.1,1.325e+03,3.965e+03,4.010e+03,9.299e+03
144.7,1.473e+03,3.361e+03,4.786e+03,9.620e+03
146.2,1.829e+03,3.247e+03,6.234e+03,1.131e+04
147.8,2.249e+03,3.463e+03,7.598e+03,1.331e+04
149.4,2.783e+03,3.842e+03,9.175e+03,1.580e+04
