freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.808e+01,1.627e+02,2.109e+01,2.119e+02
1.6,2.426e+01,9.974e+01,2.803e+01,1.520e+02
3.1,1.232e+01,2.753e+01,2.219e+01,6.204e+01
4.7,1.177e+01,3.659e+02,2.147e+01,3.991e+02
6.2,1.286e+01,1.272e+03,1.991e+01,1.304e+03
7.8,1.346e+01,2.131e+03,2.034e+01,2.165e+03
9.3,1.187e+01,3.194e+03,2.146e+01,3.228e+03
10.9,1.202e+01,4.896e+03,1.920e+01,4.928e+03
12.5,1.236e+01,7.688e+03,1.995e+01,7.720e+03
14.0,1.153e+01,1.041e+04,2.661e+01,1.045e+04
15.6,1.114e+01,1.001e+04,4.910e+01,1.007e+04
17.1,1.254e+01,1.110e+04,4.550e+01,1.116e+04
18.7,1.228e+01,1.444e+04,3.500e+01,1.449e+04
20.2,1.228e+01,1.882e+04,3.758e+01,1.887e+04
21.8,1.346e+01,2.465e+04,5.238e+01,2.472e+04
23.4,1.443e+01,2.891e+04,7.104e+01,2.900e+04
24.9,1.878e+01,3.350e+04,8.893e+01,3.360e+04
26.5,3.416e+01,4.417e+04,1.530e+02,4.436e+04
28.0,7.536e+01,6.075e+04,2.680e+02,6.109e+04
29.6,1.939e+02,8.745e+04,4.602e+02,8.811e+04
31.1,4.756e+02,1.200e+05,9.516e+02,1.214e+05
32.7,7.573e+02,1.347e+05,1.538e+03,1.370e+05
34.2,9.253e+02,1.367e+05,2.270e+03,1.399e+05
35.8,1.031e+03,1.295e+05,3.156e+03,1.337e+05
37.4,1.306e+03,1.230e+05,4.489e+03,1.288e+05
38.9,1.888e+03,1.265e+05,7.223e+03,1.356e+05
40.5,2.744e+03,1.242e+05,1.029e+04,1.372e+05
42.0,3.950e+03,1.158e+05,1.232e+04,1.321e+05
43.6,5.113e+03,1.096e+05,1.291e+04,1.276e+05
45.1,4.326e+03,9.137e+04,1.396e+04,1.097e+05
46.7,3.216e+03,6.483e+04,1.582e+04,8.387e+04
48.3,3.340e+03,4.309e+04,1.641e+04,6.285e+04
49.8,7.812e+03,3.097e+04,1.748e+04,5.626e+04
51.4,1.700e+04,2.787e+04,2.398e+04,6.884e+04
52.9,2.482e+04,2.460e+04,2.868e+04,7.810e+04
54.5,3.033e+04,1.980e+04,2.920e+04,7.932e+04
56.0,3.147e+04,1.658e+04,2.627e+04,7.433e+04
57.6,3.073e+04,1.477e+04,2.085e+04,6.635e+04
59.2,2.919e+04,1.479e+04,9.861e+03,5.384e+04
60.7,3.430e+04,1.772e+04,4.883e+03,5.690e+04
62.3,5.612e+04,2.972e+04,8.794e+03,9.463e+04
63.8,7.248e+04,4.484e+04,1.408e+04,1.314e+05
65.4,7.852e+04,5.993e+04,1.191e+04,1.504e+05
66.9,8.018e+04,7.277e+04,7.834e+03,1.608e+05
68.5,7.508e+04,7.877e+04,6.189e+03,1.600e+05
70.1,6.694e+04,8.060e+04,5.601e+03,1.531e+05
71.6,6.057e+04,7.994e+04,4.889e+03,1.454e+05
73.2,5.841e+04,8.145e+04,4.313e+03,1.442e+05
74.7,5.668e+04,8.384e+04,3.768e+03,1.443e+05
76.3,4.987e+04,8.034e+04,3.457e+03,1.337e+05
77.8,4.357e+04,7.722e+04,3.582e+03,1.244e+05
79.4,4.346e+04,8.390e+04,4.205e+03,1.316e+05
81.0,4.129e+04,8.855e+04,5.159e+03,1.350e+05
82.5,3.650e+04,8.534e+04,5.446e+03,1.273e+05
84.1,3.214e+04,7.871e+04,4.820e+03,1.157e+05
85.6,2.724e+04,6.981e+04,4.139e+03,1.012e+05
87.2,2.308e+04,6.463e+04,4.303e+03,9.202e+04
88.7,2.140e+04,6.216e+04,4.783e+03,8.834e+04
90.3,1.976e+04,5.718e+04,4.725e+03,8.167e+04
91.8,1.691e+04,4.782e+04,4.191e+03,6.892e+04
93.4,1.257e+04,3.700e+04,2.595e+03,5.216e+04
95.0,9.451e+03,3.414e+04,2.506e+03,4.610e+04
96.5,8.597e+03,4.042e+04,3.993e+03,5.301e+04
98.1,7.895e+03,4.679e+04,5.893e+03,6.058e+04
99.6,7.411e+03,4.835e+04,6.469e+03,6.223e+04
101.2,6.664e+03,4.432e+04,5.604e+03,5.659e+04
102.7,5.259e+03,3.784e+04,5.301e+03,4.840e+04
104.3,3.616e+03,3.295e+04,5.268e+03,4.184e+04
105.9,2.291e+03,3.644e+04,4.218e+03,4.295e+04
107.4,2.050e+03,4.452e+04,3.633e+03,5.020e+04
109.0,3.554e+03,5.564e+04,3.186e+03,6.238e+04
110.5,6.800e+03,6.526e+04,3.180e+03,7.524e+04
112.1,1.141e+04,6.877e+04,4.659e+03,8.484e+04
113.6,1.701e+04,7.011e+04,7.700e+03,9.481e+04
115.2,2.306e+04,6.885e+04,1.119e+04,1.031e+05
116.8,2.843e+04,6.244e+04,1.425e+04,1.051e+05
118.3,3.153e+04,5.561e+04,1.626e+04,1.034e+05
