freq,psd_x,psd_y,psd_z,psd_xyz
119.9,3.229e+04,4.968e+04,1.670e+04,9.866e+04
121.4,3.627e+04,4.595e+04,1.461e+04,9.683e+04
123.0,4.559e+04,4.509e+04,1.212e+04,1.028e+05
124.5,4.706e+04,5.509e+04,1.249e+04,1.146e+05
126.1,4.476e+04,5.640e+04,1.748e+04,1.186e+05
127.7,4.742e+04,5.269e+04,2.426e+04,1.244e+05
129.2,5.131e+04,6.324e+04,2.789e+04,1.424e+05
130.8,5.570e+04,7.607e+04,3.092e+04,1.627e+05
132.3,4.210e+04,5.786e+04,2.633e+04,1.263e+05
133.9,8.611e+03,1.342e+04,6.377e+03,2.841e+04
135.4,4.837e+02,3.302e+03,8.392e+02,4.625e+03
137.0,3.943e+02,3.244e+03,6.782e+02,4.316e+03
138.6,4.169e+02,3.459e+03,6.279e+02,4.504e+03
140.1,4.338e+02,3.609e+03,5.748e+02,4.617e+03
141.7,4.270e+02,3.651e+03,5.490e+02,4.627e+03
143.2,4.350e+02,3.651e+03,5.634e+02,4.649e+03
144.8,4.398e+02,3.699e+03,5.556e+02,4.694e+03
146.3,4.716e+02,3.778e+03,5.208e+02,4.770e+03
147.9,4.757e+02,3.900e+03,5.535e+02,4.929e+03
149.4,4.924e+02,4.040e+03,6.107e+02,5.143e+03
151.0,5.337e+02,4.089e+03,6.105e+02,5.233e+03
152.6,5.381e+02,4.010e+03,6.049e+02,5.154e+03
154.1,5.430e+02,3.783e+03,6.970e+02,5.023e+03
155.7,5.980e+02,3.533e+03,8.450e+02,4.976e+03
157.2,6.411e+02,3.144e+03,8.797e+02,4.665e+03
158.8,7.363e+02,2.796e+03,1.012e+03,4.544e+03
160.3,9.802e+02,2.856e+03,1.230e+03,5.066e+03
161.9,1.089e+03,2.916e+03,1.315e+03,5.320e+03
163.5,1.229e+03,2.962e+03,1.492e+03,5.683e+03
165.0,1.320e+03,2.797e+03,1.726e+03,5.843e+03
166.6,1.225e+03,2.341e+03,1.991e+03,5.557e+03
168.1,1.193e+03,2.138e+03,2.295e+03,5.626e+03
169.7,1.312e+03,2.175e+03,2.890e+03,6.378e+03
171.2,1.800e+03,2.517e+03,4.053e+03,8.371e+03
172.8,3.476e+03,3.561e+03,7.394e+03,1.443e+04
174.4,9.522e+03,9.619e+03,2.052e+04,3.966e+04
175.9,9.738e+03,1.132e+04,1.877e+04,3.983e+04
177.5,6.618e+03,9.711e+03,1.183e+04,2.816e+04
179.0,6.371e+03,1.027e+04,1.189e+04,2.854e+04
180.6,6.641e+03,1.101e+04,1.287e+04,3.052e+04
182.1,6.889e+03,1.161e+04,1.435e+04,3.285e+04
183.7,6.343e+03,1.141e+04,1.410e+04,3.185e+04
185.3,6.321e+03,1.383e+04,1.408e+04,3.423e+04
186.8,6.831e+03,1.807e+04,1.447e+04,3.937e+04
188.4,6.972e+03,2.007e+04,1.427e+04,4.131e+04
189.9,7.941e+03,2.259e+04,1.646e+04,4.699e+04
191.5,8.834e+03,2.418e+04,1.840e+04,5.142e+04
193.0,9.495e+03,2.535e+04,1.968e+04,5.452e+04
194.6,1.078e+04,2.711e+04,2.242e+04,6.031e+04
196.2,1.192e+04,2.793e+04,2.460e+04,6.445e+04
197.7,1.223e+04,2.714e+04,2.512e+04,6.450e+04
199.3,1.056e+04,2.313e+04,2.211e+04,5.580e+04
