freq,psd_x,psd_y,psd_z,psd_xyz
137.0,7.849e+02,2.076e+03,3.840e+03,6.701e+03
138.6,9.535e+02,2.083e+03,5.280e+03,8.317e+03
140.1,1.289e+03,2.330e+03,7.016e+03,1.063e+04
141.7,1.889e+03,2.926e+03,9.199e+03,1.401e+04
143.2,2.524e+03,3.733e+03,1.078e+04,1.704e+04
144.8,3.155e+03,5.214e+03,1.193e+04,2.030e+04
146.4,3.622e+03,6.551e+03,1.266e+04,2.283e+04
147.9,3.699e+03,5.844e+03,1.334e+04,2.288e+04
149.5,4.646e+03,6.545e+03,1.570e+04,2.689e+04
151.0,5.972e+03,8.926e+03,1.643e+04,3.133e+04
152.6,6.685e+03,9.706e+03,1.689e+04,3.328e+04
154.1,8.237e+03,1.112e+04,1.987e+04,3.923e+04
155.7,9.860e+03,1.408e+04,2.284e+04,4.678e+04
157.3,1.037e+04,1.533e+04,2.455e+04,5.026e+04
158.8,1.026e+04,1.473e+04,2.552e+04,5.051e+04
160.4,1.002e+04,1.551e+04,2.467e+04,5.020e+04
161.9,8.744e+03,1.558e+04,2.070e+04,4.503e+04
163.5,8.228e+03,1.493e+04,1.879e+04,4.194e+04
165.0,9.094e+03,1.677e+04,1.772e+04,4.358e+04
166.6,1.053e+04,1.912e+04,2.012e+04,4.977e+04
168.2,1.182e+04,2.094e+04,2.428e+04,5.705e+04
169.7,1.258e+04,2.097e+04,2.815e+04,6.170e+04
171.3,1.308e+04,2.046e+04,3.079e+04,6.434e+04
172.8,1.246e+04,1.924e+04,3.106e+04,6.276e+04
174.4,8.594e+03,1.482e+04,2.306e+04,4.647e+04
175.9,6.229e+03,1.437e+04,1.733e+04,3.794e+04
177.5,4.866e+03,1.398e+04,1.259e+04,3.143e+04
179.1,4.066e+03,1.364e+04,1.054e+04,2.824e+04
180.6,4.043e+03,1.535e+04,1.080e+04,3.020e+04
182.2,4.050e+03,1.957e+04,1.063e+04,3.425e+04
183.7,3.949e+03,2.228e+04,1.035e+04,3.658e+04
185.3,5.504e+03,2.849e+04,1.448e+04,4.847e+04
186.8,8.128e+03,3.697e+04,2.070e+04,6.580e+04
188.4,1.171e+04,4.743e+04,3.052e+04,8.966e+04
189.9,1.664e+04,5.796e+04,4.685e+04,1.215e+05
191.5,2.693e+04,7.047e+04,7.928e+04,1.767e+05
193.1,3.678e+04,6.999e+04,1.064e+05,2.132e+05
194.6,3.866e+04,5.944e+04,1.078e+05,2.058e+05
196.2,3.637e+04,4.663e+04,1.044e+05,1.874e+05
197.7,4.331e+04,4.333e+04,1.224e+05,2.090e+05
199.3,5.585e+04,4.517e+04,1.524e+05,2.534e+05
