freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.053e+01,3.104e+01,5.816e+02,6.332e+02
1.6,4.398e+01,6.556e+01,3.399e+02,4.494e+02
3.1,4.014e+01,6.784e+01,3.113e+01,1.391e+02
4.7,3.618e+01,6.235e+01,3.528e+02,4.514e+02
6.2,3.724e+01,6.424e+01,1.250e+03,1.352e+03
7.8,4.004e+01,7.752e+01,2.074e+03,2.191e+03
9.3,4.143e+01,6.955e+01,3.010e+03,3.121e+03
10.9,4.085e+01,7.138e+01,4.281e+03,4.393e+03
12.4,3.721e+01,6.789e+01,5.699e+03,5.804e+03
14.0,4.070e+01,7.413e+01,6.725e+03,6.840e+03
15.5,4.491e+01,7.730e+01,8.202e+03,8.324e+03
17.1,4.961e+01,8.507e+01,1.008e+04,1.022e+04
18.7,5.237e+01,7.927e+01,1.257e+04,1.270e+04
20.2,6.884e+01,7.342e+01,1.583e+04,1.598e+04
21.8,1.028e+02,8.819e+01,1.948e+04,1.967e+04
23.3,1.024e+02,9.799e+01,2.311e+04,2.331e+04
24.9,6.571e+01,7.943e+01,2.723e+04,2.737e+04
26.4,5.184e+01,7.162e+01,3.265e+04,3.277e+04
28.0,5.407e+01,7.417e+01,3.764e+04,3.777e+04
29.5,4.944e+01,8.476e+01,4.225e+04,4.239e+04
31.1,4.961e+01,1.067e+02,4.912e+04,4.928e+04
32.6,5.607e+01,1.393e+02,5.840e+04,5.860e+04
34.2,6.299e+01,1.665e+02,6.900e+04,6.923e+04
35.8,8.096e+01,1.966e+02,8.040e+04,8.067e+04
37.3,1.401e+02,2.495e+02,9.351e+04,9.390e+04
38.9,2.570e+02,3.525e+02,1.088e+05,1.094e+05
40.4,4.326e+02,4.800e+02,1.295e+05,1.304e+05
42.0,6.272e+02,6.532e+02,1.559e+05,1.571e+05
43.5,8.627e+02,9.579e+02,1.908e+05,1.926e+05
45.1,1.228e+03,1.409e+03,2.393e+05,2.419e+05
46.6,1.807e+03,1.955e+03,3.086e+05,3.124e+05
48.2,2.655e+03,2.467e+03,4.093e+05,4.144e+05
49.7,3.765e+03,2.967e+03,5.362e+05,5.429e+05
51.3,4.948e+03,3.679e+03,6.734e+05,6.821e+05
52.9,8.057e+03,5.885e+03,9.348e+05,9.488e+05
54.4,9.638e+03,1.725e+04,1.293e+06,1.320e+06
56.0,9.403e+03,4.091e+04,1.700e+06,1.750e+06
57.5,1.532e+04,6.794e+04,2.375e+06,2.458e+06
59.1,1.766e+04,7.681e+04,2.607e+06,2.702e+06
60.6,1.304e+04,6.404e+04,2.225e+06,2.302e+06
62.2,1.151e+04,5.770e+04,1.976e+06,2.045e+06
63.7,1.007e+04,5.181e+04,1.591e+06,1.653e+06
65.3,8.832e+03,4.588e+04,1.126e+06,1.181e+06
66.8,8.495e+03,4.086e+04,8.585e+05,9.078e+05
68.4,7.255e+03,3.161e+04,6.867e+05,7.256e+05
69.9,4.790e+03,2.299e+04,5.171e+05,5.448e+05
71.5,2.743e+03,1.580e+04,3.672e+05,3.858e+05
73.1,1.605e+03,1.094e+04,2.776e+05,2.902e+05
74.6,7.469e+02,1.188e+04,2.203e+05,2.330e+05
76.2,8.862e+02,1.723e+04,1.712e+05,1.894e+05
77.7,1.251e+03,1.831e+04,1.380e+05,1.576e+05
79.3,8.439e+02,1.295e+04,1.162e+05,1.300e+05
80.8,8.618e+02,8.130e+03,9.513e+04,1.041e+05
82.4,1.441e+03,9.096e+03,7.652e+04,8.706e+04
83.9,1.765e+03,9.307e+03,6.388e+04,7.495e+04
85.5,2.173e+03,1.083e+04,5.816e+04,7.117e+04
87.0,2.563e+03,1.272e+04,5.435e+04,6.963e+04
88.6,2.560e+03,1.137e+04,4.651e+04,6.044e+04
90.2,2.193e+03,8.734e+03,3.711e+04,4.803e+04
91.7,1.604e+03,5.761e+03,2.818e+04,3.554e+04
