freq,psd_x,psd_y,psd_z,psd_xyz,zv(64.4),mzv(66.2),ei(79.0),2hump_ei(98.4),3hump_ei(118.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.994,0.992,0.991
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.991,0.987,0.985,0.983,0.981
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.978,0.975,0.971,0.968
6.2,2.465e+01,1.037e+01,1.878e+02,2.228e+02,0.976,0.967,0.963,0.957,0.953
7.8,2.368e+01,8.277e+00,2.483e+02,2.803e+02,0.966,0.955,0.949,0.942,0.936
9.3,1.943e+01,7.203e+00,2.985e+02,3.252e+02,0.955,0.941,0.934,0.925,0.918
10.9,1.616e+01,5.681e+00,3.554e+02,3.773e+02,0.943,0.926,0.917,0.906,0.898
12.5,1.422e+01,4.668e+00,4.225e+02,4.414e+02,0.930,0.909,0.898,0.885,0.876
14.0,1.219e+01,3.952e+00,4.705e+02,4.866e+02,0.915,0.891,0.878,0.863,0.852
15.6,1.122e+01,3.513e+00,4.762e+02,4.910e+02,0.900,0.871,0.857,0.840,0.828
17.1,1.065e+01,3.170e+00,4.955e+02,5.093e+02,0.883,0.850,0.834,0.815,0.802
18.7,1.032e+01,3.473e+00,5.593e+02,5.730e+02,0.864,0.828,0.810,0.789,0.774
20.3,9.998e+00,3.531e+00,6.465e+02,6.600e+02,0.845,0.805,0.784,0.762,0.746
21.8,9.560e+00,3.445e+00,7.361e+02,7.491e+02,0.825,0.781,0.758,0.734,0.717
23.4,9.063e+00,3.465e+00,8.179e+02,8.304e+02,0.803,0.755,0.731,0.705,0.687
24.9,8.597e+00,3.369e+00,9.103e+02,9.222e+02,0.781,0.729,0.703,0.676,0.657
26.5,8.837e+00,3.320e+00,1.019e+03,1.031e+03,0.757,0.702,0.674,0.646,0.626
28.0,9.033e+00,3.534e+00,1.115e+03,1.128e+03,0.733,0.674,0.644,0.615,0.594
29.6,8.598e+00,3.689e+00,1.148e+03,1.161e+03,0.708,0.646,0.614,0.584,0.563
31.2,9.377e+00,4.542e+00,1.228e+03,1.242e+03,0.681,0.617,0.584,0.553,0.531
32.7,1.089e+01,5.966e+00,1.366e+03,1.383e+03,0.654,0.587,0.553,0.522,0.500
34.3,1.217e+01,7.956e+00,1.530e+03,1.550e+03,0.627,0.557,0.523,0.491,0.468
35.8,1.329e+01,9.698e+00,1.705e+03,1.728e+03,0.598,0.527,0.492,0.460,0.437
37.4,1.446e+01,1.137e+01,1.887e+03,1.913e+03,0.569,0.497,0.461,0.429,0.407
39.0,1.715e+01,1.349e+01,2.084e+03,2.115e+03,0.539,0.466,0.430,0.399,0.377
40.5,2.040e+01,1.671e+01,2.330e+03,2.367e+03,0.509,0.436,0.400,0.369,0.347
42.1,2.506e+01,2.101e+01,2.630e+03,2.676e+03,0.478,0.405,0.369,0.340,0.319
43.6,3.076e+01,2.666e+01,3.003e+03,3.060e+03,0.446,0.375,0.340,0.312,0.291
45.2,3.664e+01,3.426e+01,3.492e+03,3.563e+03,0.414,0.345,0.311,0.284,0.264
46.7,4.452e+01,4.290e+01,4.147e+03,4.234e+03,0.382,0.315,0.282,0.257,0.239
48.3,6.786e+01,5.283e+01,4.832e+03,4.953e+03,0.349,0.286,0.255,0.232,0.214
49.9,9.842e+01,6.368e+01,5.519e+03,5.681e+03,0.316,0.257,0.228,0.207,0.191
51.4,1.555e+02,8.167e+01,6.390e+03,6.627e+03,0.283,0.229,0.202,0.183,0.169
53.0,2.842e+02,1.274e+02,7.674e+03,8.086e+03,0.250,0.201,0.178,0.161,0.148
54.5,4.823e+02,2.063e+02,9.371e+03,1.006e+04,0.217,0.174,0.154,0.140,0.129
56.1,6.691e+02,3.100e+02,1.197e+04,1.295e+04,0.183,0.148,0.132,0.120,0.111
57.7,5.469e+02,3.978e+02,1.675e+04,1.770e+04,0.150,0.123,0.111,0.102,0.095
59.2,3.506e+02,5.284e+02,2.422e+04,2.510e+04,0.118,0.099,0.091,0.085,0.080
60.8,3.235e+02,8.885e+02,3.972e+04,4.093e+04,0.093,0.076,0.073,0.070,0.068
62.3,4.526e+02,1.542e+03,6.116e+04,6.315e+04,0.073,0.057,0.056,0.057,0.057
63.9,6.853e+02,1.933e+03,6.977e+04,7.239e+04,0.063,0.044,0.042,0.046,0.049
65.4,7.099e+02,1.768e+03,6.212e+04,6.460e+04,0.065,0.036,0.030,0.037,0.043
67.0,5.602e+02,1.383e+03,4.745e+04,4.939e+04,0.080,0.035,0.022,0.031,0.039
68.6,4.020e+02,1.011e+03,3.157e+04,3.298e+04,0.100,0.040,0.020,0.028,0.037
70.1,2.729e+02,7.396e+02,1.896e+04,1.997e+04,0.126,0.049,0.023,0.028,0.037
71.7,1.957e+02,5.355e+02,1.149e+04,1.223e+04,0.158,0.062,0.027,0.030,0.037
73.2,1.573e+02,4.074e+02,7.264e+03,7.829e+03,0.189,0.075,0.032,0.032,0.038
74.8,1.285e+02,3.340e+02,4.854e+03,5.316e+03,0.220,0.087,0.036,0.034,0.039
76.4,1.118e+02,2.822e+02,3.256e+03,3.650e+03,0.250,0.097,0.038,0.036,0.040
77.9,9.067e+01,2.323e+02,2.092e+03,2.415e+03,0.281,0.107,0.040,0.038,0.040
79.5,6.448e+01,1.769e+02,1.374e+03,1.615e+03,0.310,0.115,0.039,0.038,0.040
81.0,3.602e+01,1.222e+02,9.826e+02,1.141e+03,0.339,0.121,0.038,0.038,0.039
82.6,2.851e+01,1.089e+02,7.357e+02,8.730e+02,0.368,0.126,0.035,0.037,0.037
84.1,3.352e+01,1.176e+02,5.725e+02,7.236e+02,0.395,0.130,0.032,0.036,0.035
85.7,3.634e+01,1.328e+02,4.661e+02,6.352e+02,0.422,0.132,0.030,0.034,0.033
87.3,4.723e+01,1.706e+02,3.881e+02,6.059e+02,0.448,0.133,0.028,0.031,0.030
88.8,6.031e+01,1.990e+02,3.212e+02,5.805e+02,0.474,0.133,0.028,0.028,0.027
90.4,5.782e+01,1.711e+02,2.767e+02,5.056e+02,0.499,0.131,0.029,0.024,0.024
91.9,3.817e+01,1.006e+02,2.433e+02,3.821e+02,0.522,0.128,0.033,0.020,0.021
93.5,2.181e+01,6.402e+01,2.056e+02,2.915e+02,0.545,0.123,0.039,0.016,0.018
95.0,1.463e+01,7.033e+01,1.745e+02,2.595e+02,0.567,0.117,0.046,0.013,0.015
96.6,1.848e+01,1.234e+02,1.613e+02,3.032e+02,0.588,0.110,0.056,0.011,0.013
98.2,2.444e+01,2.153e+02,1.668e+02,4.065e+02,0.608,0.102,0.072,0.011,0.012
99.7,2.731e+01,3.794e+02,2.027e+02,6.095e+02,0.627,0.096,0.088,0.011,0.012
101.3,3.050e+01,6.416e+02,2.515e+02,9.236e+02,0.645,0.092,0.105,0.012,0.013
102.8,4.222e+01,9.833e+02,2.917e+02,1.317e+03,0.662,0.088,0.124,0.015,0.015
104.4,7.911e+01,1.114e+03,3.163e+02,1.510e+03,0.678,0.084,0.142,0.018,0.018
106.0,1.397e+02,1.075e+03,3.044e+02,1.520e+03,0.693,0.082,0.162,0.022,0.020
107.5,2.090e+02,1.086e+03,2.604e+02,1.555e+03,0.707,0.080,0.182,0.025,0.023
109.1,2.751e+02,1.055e+03,2.197e+02,1.549e+03,0.719,0.081,0.202,0.027,0.025
110.6,2.898e+02,9.976e+02,1.855e+02,1.473e+03,0.731,0.083,0.223,0.029,0.026
112.2,2.659e+02,9.380e+02,1.394e+02,1.343e+03,0.741,0.087,0.243,0.031,0.028
113.7,2.430e+02,9.004e+02,1.063e+02,1.250e+03,0.751,0.093,0.264,0.032,0.029
115.3,2.352e+02,8.850e+02,9.871e+01,1.219e+03,0.759,0.100,0.285,0.032,0.030
116.9,2.290e+02,8.390e+02,1.032e+02,1.171e+03,0.766,0.109,0.307,0.031,0.030
118.4,2.308e+02,7.922e+02,1.073e+02,1.130e+03,0.772,0.119,0.327,0.030,0.030
120.0,2.381e+02,7.245e+02,1.115e+02,1.074e+03,0.777,0.131,0.348,0.028,0.029
121.5,2.400e+02,6.811e+02,1.245e+02,1.046e+03,0.780,0.145,0.369,0.027,0.028
123.1,2.468e+02,6.551e+02,1.366e+02,1.039e+03,0.783,0.166,0.389,0.027,0.027
124.7,2.525e+02,5.796e+02,1.404e+02,9.725e+02,0.784,0.187,0.408,0.027,0.025
126.2,2.473e+02,4.630e+02,1.437e+02,8.539e+02,0.784,0.208,0.427,0.027,0.023
