freq,psd_x,psd_y,psd_z,psd_xyz,zv(63.6),mzv(44.6),ei(54.8),2hump_ei(67.8),3hump_ei(81.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.991,0.990,0.988,0.987
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.990,0.978,0.976,0.972,0.969
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.962,0.959,0.952,0.947
6.2,2.271e+00,1.950e+02,3.306e+00,2.006e+02,0.975,0.942,0.938,0.928,0.921
7.8,1.828e+00,2.628e+02,2.506e+00,2.671e+02,0.966,0.919,0.913,0.900,0.891
9.4,1.423e+00,3.199e+02,2.180e+00,3.235e+02,0.955,0.892,0.885,0.869,0.858
10.9,1.266e+00,3.878e+02,2.053e+00,3.911e+02,0.942,0.863,0.854,0.836,0.822
12.5,1.170e+00,4.731e+02,1.976e+00,4.762e+02,0.929,0.831,0.821,0.799,0.783
14.0,1.052e+00,5.939e+02,2.118e+00,5.971e+02,0.914,0.796,0.785,0.760,0.742
15.6,1.004e+00,7.173e+02,2.288e+00,7.206e+02,0.897,0.759,0.747,0.719,0.699
17.2,1.225e+00,7.654e+02,2.897e+00,7.695e+02,0.880,0.720,0.706,0.676,0.655
18.7,1.405e+00,7.592e+02,2.886e+00,7.635e+02,0.861,0.679,0.665,0.632,0.610
20.3,1.530e+00,7.972e+02,2.609e+00,8.013e+02,0.842,0.637,0.622,0.588,0.564
21.8,1.570e+00,9.051e+02,2.570e+00,9.092e+02,0.821,0.593,0.578,0.543,0.518
23.4,2.065e+00,1.038e+03,2.484e+00,1.043e+03,0.799,0.549,0.534,0.497,0.472
24.9,2.580e+00,1.138e+03,2.540e+00,1.144e+03,0.776,0.504,0.489,0.453,0.427
26.5,2.634e+00,1.305e+03,2.838e+00,1.310e+03,0.752,0.459,0.445,0.408,0.383
28.1,3.506e+00,1.529e+03,3.197e+00,1.536e+03,0.727,0.413,0.401,0.365,0.340
29.6,5.022e+00,1.666e+03,4.821e+00,1.676e+03,0.701,0.368,0.357,0.323,0.299
31.2,5.275e+00,1.834e+03,5.712e+00,1.845e+03,0.674,0.324,0.315,0.283,0.260
32.7,8.857e+00,2.166e+03,5.873e+00,2.180e+03,0.647,0.280,0.274,0.244,0.223
34.3,1.971e+01,2.646e+03,6.302e+00,2.672e+03,0.618,0.238,0.235,0.208,0.188
35.9,4.474e+01,3.269e+03,6.370e+00,3.320e+03,0.589,0.197,0.198,0.174,0.157
37.4,8.978e+01,4.107e+03,5.549e+00,4.202e+03,0.559,0.157,0.163,0.143,0.128
39.0,1.794e+02,5.443e+03,4.747e+00,5.628e+03,0.529,0.120,0.130,0.114,0.103
40.5,4.533e+02,7.858e+03,8.411e+00,8.319e+03,0.498,0.085,0.100,0.089,0.081
42.1,1.217e+03,1.230e+04,2.167e+01,1.354e+04,0.466,0.055,0.074,0.067,0.063
43.7,2.385e+03,1.665e+04,3.819e+01,1.907e+04,0.434,0.038,0.050,0.049,0.050
45.2,2.742e+03,1.580e+04,3.303e+01,1.858e+04,0.402,0.035,0.032,0.036,0.041
46.8,3.084e+03,1.378e+04,2.312e+01,1.689e+04,0.369,0.045,0.021,0.029,0.037
48.3,3.262e+03,9.363e+03,1.704e+01,1.264e+04,0.336,0.062,0.021,0.028,0.037
49.9,3.477e+03,4.605e+03,9.828e+00,8.092e+03,0.302,0.081,0.028,0.031,0.038
51.5,3.950e+03,1.993e+03,4.445e+00,5.947e+03,0.269,0.098,0.034,0.034,0.039
53.0,4.236e+03,9.047e+02,2.963e+00,5.144e+03,0.235,0.111,0.039,0.037,0.040
54.6,4.394e+03,7.016e+02,7.160e+00,5.103e+03,0.201,0.121,0.040,0.038,0.039
56.1,4.268e+03,1.026e+03,1.857e+01,5.313e+03,0.167,0.128,0.038,0.038,0.038
57.7,4.375e+03,1.838e+03,3.148e+01,6.244e+03,0.134,0.132,0.033,0.036,0.035
59.3,5.177e+03,3.766e+03,4.785e+01,8.992e+03,0.105,0.133,0.030,0.033,0.032
60.8,6.284e+03,6.954e+03,5.583e+01,1.329e+04,0.082,0.131,0.028,0.029,0.028
62.4,5.898e+03,8.906e+03,4.484e+01,1.485e+04,0.066,0.126,0.029,0.024,0.023
