freq,psd_x,psd_y,psd_z,psd_xyz,zv(64.6),mzv(66.6),ei(79.6),2hump_ei(99.2),3hump_ei(118.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.994,0.992,0.991
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.991,0.987,0.985,0.983,0.981
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.978,0.975,0.971,0.968
6.2,2.430e+01,1.061e+01,1.873e+02,2.222e+02,0.976,0.968,0.964,0.958,0.953
7.8,1.865e+01,8.004e+00,2.475e+02,2.742e+02,0.966,0.955,0.950,0.943,0.937
9.3,1.586e+01,6.882e+00,3.008e+02,3.236e+02,0.956,0.942,0.935,0.926,0.918
10.9,1.332e+01,5.779e+00,3.572e+02,3.763e+02,0.944,0.927,0.918,0.907,0.898
12.5,1.141e+01,4.869e+00,4.199e+02,4.362e+02,0.930,0.910,0.900,0.887,0.876
14.0,1.022e+01,4.161e+00,4.702e+02,4.846e+02,0.916,0.892,0.880,0.865,0.853
15.6,9.035e+00,3.588e+00,4.809e+02,4.935e+02,0.900,0.872,0.858,0.842,0.828
17.1,8.998e+00,3.433e+00,5.000e+02,5.124e+02,0.883,0.852,0.836,0.817,0.802
18.7,8.385e+00,3.527e+00,5.539e+02,5.658e+02,0.865,0.830,0.812,0.792,0.775
20.2,8.321e+00,3.457e+00,6.305e+02,6.423e+02,0.846,0.807,0.787,0.765,0.747
21.8,8.120e+00,3.113e+00,7.152e+02,7.264e+02,0.826,0.783,0.761,0.737,0.718
23.4,7.516e+00,2.809e+00,7.959e+02,8.062e+02,0.805,0.758,0.734,0.709,0.688
24.9,6.938e+00,2.919e+00,8.829e+02,8.928e+02,0.782,0.732,0.706,0.680,0.658
26.5,7.925e+00,2.946e+00,9.792e+02,9.901e+02,0.759,0.705,0.678,0.650,0.627
28.0,8.099e+00,2.660e+00,1.062e+03,1.073e+03,0.735,0.678,0.649,0.620,0.596
29.6,7.223e+00,3.095e+00,1.095e+03,1.106e+03,0.709,0.650,0.619,0.589,0.564
31.1,7.460e+00,4.177e+00,1.166e+03,1.178e+03,0.683,0.621,0.589,0.559,0.533
32.7,7.775e+00,5.364e+00,1.292e+03,1.305e+03,0.657,0.592,0.559,0.528,0.501
34.3,9.328e+00,7.093e+00,1.446e+03,1.463e+03,0.629,0.562,0.528,0.497,0.470
35.8,1.114e+01,8.945e+00,1.604e+03,1.624e+03,0.601,0.532,0.498,0.466,0.439
37.4,1.285e+01,1.073e+01,1.772e+03,1.796e+03,0.572,0.502,0.467,0.436,0.409
38.9,1.476e+01,1.233e+01,1.958e+03,1.985e+03,0.542,0.472,0.436,0.406,0.379
40.5,1.818e+01,1.566e+01,2.183e+03,2.217e+03,0.512,0.441,0.406,0.376,0.349
42.0,2.185e+01,2.037e+01,2.467e+03,2.509e+03,0.481,0.411,0.376,0.347,0.321
43.6,2.517e+01,2.631e+01,2.829e+03,2.881e+03,0.449,0.381,0.347,0.319,0.293
45.2,2.847e+01,3.326e+01,3.289e+03,3.351e+03,0.418,0.351,0.318,0.291,0.266
46.7,3.578e+01,4.095e+01,3.886e+03,3.963e+03,0.386,0.321,0.289,0.264,0.241
48.3,5.552e+01,5.155e+01,4.508e+03,4.615e+03,0.353,0.292,0.262,0.238,0.216
49.8,7.816e+01,6.349e+01,5.157e+03,5.298e+03,0.320,0.263,0.235,0.214,0.193
51.4,1.062e+02,7.959e+01,6.065e+03,6.251e+03,0.287,0.235,0.209,0.190,0.170
52.9,2.415e+02,1.343e+02,7.141e+03,7.517e+03,0.254,0.207,0.184,0.168,0.150
54.5,4.462e+02,2.182e+02,8.611e+03,9.276e+03,0.221,0.181,0.161,0.146,0.130
56.1,5.236e+02,2.774e+02,1.073e+04,1.153e+04,0.188,0.154,0.138,0.126,0.112
57.6,4.045e+02,3.135e+02,1.457e+04,1.528e+04,0.155,0.129,0.117,0.108,0.096
59.2,2.620e+02,4.375e+02,2.100e+04,2.170e+04,0.122,0.105,0.097,0.091,0.082
60.7,2.005e+02,7.540e+02,3.280e+04,3.375e+04,0.096,0.082,0.078,0.075,0.069
62.3,3.628e+02,1.380e+03,5.067e+04,5.241e+04,0.076,0.061,0.062,0.061,0.058
63.8,6.796e+02,1.914e+03,6.193e+04,6.452e+04,0.064,0.047,0.047,0.049,0.050
65.4,6.944e+02,1.791e+03,5.780e+04,6.028e+04,0.064,0.037,0.034,0.040,0.043
67.0,5.279e+02,1.374e+03,4.564e+04,4.754e+04,0.077,0.034,0.024,0.032,0.039
68.5,3.808e+02,1.018e+03,3.195e+04,3.335e+04,0.097,0.038,0.020,0.028,0.037
70.1,2.595e+02,7.141e+02,2.042e+04,2.139e+04,0.121,0.046,0.021,0.027,0.037
71.6,1.834e+02,5.029e+02,1.303e+04,1.372e+04,0.152,0.057,0.025,0.029,0.037
73.2,1.324e+02,3.502e+02,8.557e+03,9.039e+03,0.183,0.071,0.030,0.031,0.038
74.7,9.214e+01,2.491e+02,5.755e+03,6.096e+03,0.214,0.083,0.034,0.033,0.039
76.3,6.369e+01,1.897e+02,3.902e+03,4.155e+03,0.245,0.094,0.038,0.036,0.040
77.9,4.138e+01,1.405e+02,2.577e+03,2.759e+03,0.275,0.104,0.039,0.037,0.040
79.4,2.178e+01,9.405e+01,1.692e+03,1.807e+03,0.304,0.112,0.040,0.038,0.040
81.0,1.491e+01,7.595e+01,1.155e+03,1.246e+03,0.333,0.119,0.039,0.038,0.039
82.5,2.635e+01,9.451e+01,8.390e+02,9.599e+02,0.362,0.125,0.036,0.038,0.037
84.1,3.446e+01,1.108e+02,6.817e+02,8.270e+02,0.390,0.129,0.032,0.037,0.036
85.6,3.178e+01,1.100e+02,5.524e+02,6.942e+02,0.417,0.132,0.031,0.035,0.033
87.2,3.566e+01,1.160e+02,4.342e+02,5.858e+02,0.443,0.133,0.029,0.032,0.031
88.8,3.993e+01,1.041e+02,3.352e+02,4.793e+02,0.468,0.133,0.028,0.029,0.028
90.3,3.091e+01,5.984e+01,2.688e+02,3.595e+02,0.493,0.132,0.028,0.026,0.025
91.9,1.636e+01,2.088e+01,2.381e+02,2.754e+02,0.517,0.129,0.031,0.022,0.021
93.4,6.026e+00,1.640e+01,2.166e+02,2.390e+02,0.540,0.125,0.036,0.019,0.018
95.0,7.154e+00,4.815e+01,2.033e+02,2.586e+02,0.562,0.120,0.042,0.015,0.015
96.5,2.405e+01,1.122e+02,2.112e+02,3.475e+02,0.583,0.113,0.051,0.012,0.013
98.1,4.540e+01,2.061e+02,2.314e+02,4.829e+02,0.603,0.105,0.063,0.011,0.012
99.7,5.533e+01,4.130e+02,2.584e+02,7.268e+02,0.623,0.098,0.079,0.011,0.012
101.2,6.204e+01,8.099e+02,2.945e+02,1.166e+03,0.641,0.094,0.096,0.012,0.013
102.8,7.878e+01,1.229e+03,3.143e+02,1.622e+03,0.658,0.090,0.114,0.013,0.015
104.3,1.143e+02,1.382e+03,2.865e+02,1.783e+03,0.674,0.086,0.132,0.016,0.017
105.9,1.766e+02,1.352e+03,2.474e+02,1.776e+03,0.689,0.083,0.151,0.020,0.020
107.4,2.477e+02,1.344e+03,2.117e+02,1.803e+03,0.703,0.081,0.170,0.023,0.022
109.0,3.217e+02,1.295e+03,1.843e+02,1.801e+03,0.716,0.080,0.190,0.026,0.024
110.6,3.419e+02,1.190e+03,1.553e+02,1.687e+03,0.728,0.082,0.210,0.028,0.026
112.1,3.129e+02,1.073e+03,1.245e+02,1.510e+03,0.739,0.085,0.231,0.030,0.028
113.7,2.903e+02,9.978e+02,1.016e+02,1.390e+03,0.748,0.090,0.252,0.031,0.029
115.2,2.848e+02,9.711e+02,9.443e+01,1.350e+03,0.757,0.096,0.273,0.032,0.030
116.8,2.743e+02,9.210e+02,9.928e+01,1.295e+03,0.764,0.105,0.294,0.032,0.030
118.3,2.706e+02,8.668e+02,1.094e+02,1.247e+03,0.770,0.114,0.314,0.031,0.030
119.9,2.818e+02,7.945e+02,1.167e+02,1.193e+03,0.775,0.125,0.335,0.029,0.029
121.5,2.853e+02,7.120e+02,1.259e+02,1.123e+03,0.779,0.136,0.355,0.027,0.029
123.0,2.868e+02,6.678e+02,1.420e+02,1.097e+03,0.782,0.154,0.376,0.027,0.027
124.6,2.965e+02,6.302e+02,1.638e+02,1.091e+03,0.784,0.175,0.395,0.027,0.026
126.1,3.001e+02,5.467e+02,1.913e+02,1.038e+03,0.784,0.197,0.415,0.027,0.024
