freq,psd_x,psd_y,psd_z,psd_xyz,zv(64.8),mzv(66.6),ei(79.4),2hump_ei(99.0),3hump_ei(118.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.994,0.992,0.991
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.991,0.987,0.985,0.983,0.981
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.978,0.975,0.971,0.968
6.2,1.725e+01,7.250e+00,1.851e+02,2.096e+02,0.976,0.968,0.963,0.958,0.953
7.8,1.382e+01,4.934e+00,2.487e+02,2.674e+02,0.967,0.955,0.950,0.942,0.937
9.3,1.202e+01,4.161e+00,2.967e+02,3.129e+02,0.956,0.942,0.935,0.925,0.918
10.9,9.860e+00,3.483e+00,3.519e+02,3.653e+02,0.944,0.927,0.918,0.906,0.898
12.5,7.902e+00,2.670e+00,4.175e+02,4.281e+02,0.931,0.910,0.899,0.886,0.876
14.0,7.162e+00,2.251e+00,4.672e+02,4.766e+02,0.916,0.892,0.879,0.864,0.853
15.6,6.447e+00,2.207e+00,4.755e+02,4.842e+02,0.901,0.872,0.858,0.841,0.829
17.1,6.278e+00,1.962e+00,4.931e+02,5.014e+02,0.884,0.852,0.835,0.817,0.803
18.7,5.969e+00,2.042e+00,5.523e+02,5.603e+02,0.866,0.830,0.811,0.791,0.776
20.3,6.495e+00,2.317e+00,6.295e+02,6.383e+02,0.847,0.807,0.786,0.764,0.747
21.8,7.165e+00,2.337e+00,7.092e+02,7.187e+02,0.827,0.783,0.760,0.736,0.718
23.4,6.825e+00,2.385e+00,7.898e+02,7.990e+02,0.805,0.758,0.733,0.708,0.689
24.9,6.705e+00,2.484e+00,8.761e+02,8.853e+02,0.783,0.732,0.705,0.679,0.658
26.5,7.371e+00,2.705e+00,9.719e+02,9.820e+02,0.760,0.705,0.676,0.649,0.628
28.0,7.048e+00,2.914e+00,1.056e+03,1.066e+03,0.736,0.677,0.647,0.618,0.596
29.6,6.561e+00,2.979e+00,1.090e+03,1.099e+03,0.711,0.649,0.617,0.588,0.565
31.2,7.034e+00,3.723e+00,1.160e+03,1.171e+03,0.685,0.620,0.587,0.557,0.534
32.7,8.569e+00,5.431e+00,1.289e+03,1.303e+03,0.658,0.591,0.557,0.526,0.502
34.3,1.039e+01,7.362e+00,1.444e+03,1.462e+03,0.630,0.561,0.526,0.495,0.471
35.8,1.149e+01,9.262e+00,1.599e+03,1.620e+03,0.602,0.532,0.495,0.464,0.440
37.4,1.288e+01,1.073e+01,1.762e+03,1.786e+03,0.573,0.501,0.465,0.434,0.409
39.0,1.471e+01,1.181e+01,1.943e+03,1.970e+03,0.544,0.471,0.434,0.404,0.379
40.5,1.775e+01,1.408e+01,2.161e+03,2.193e+03,0.514,0.441,0.404,0.374,0.350
42.1,2.155e+01,1.826e+01,2.427e+03,2.467e+03,0.483,0.410,0.374,0.345,0.321
43.6,2.558e+01,2.370e+01,2.782e+03,2.832e+03,0.452,0.380,0.344,0.316,0.294
45.2,3.078e+01,3.074e+01,3.249e+03,3.310e+03,0.420,0.350,0.315,0.289,0.267
46.7,3.798e+01,3.890e+01,3.836e+03,3.913e+03,0.388,0.321,0.287,0.262,0.241
48.3,5.674e+01,4.824e+01,4.450e+03,4.555e+03,0.356,0.291,0.259,0.236,0.217
49.9,8.214e+01,6.172e+01,5.105e+03,5.249e+03,0.323,0.263,0.232,0.212,0.193
51.4,1.107e+02,7.822e+01,6.042e+03,6.231e+03,0.290,0.234,0.207,0.188,0.171
53.0,2.424e+02,1.301e+02,7.321e+03,7.694e+03,0.257,0.207,0.182,0.166,0.150
54.5,5.799e+02,2.506e+02,8.900e+03,9.731e+03,0.224,0.180,0.158,0.144,0.131
56.1,9.695e+02,3.774e+02,1.150e+04,1.285e+04,0.191,0.154,0.136,0.125,0.113
57.6,8.616e+02,3.963e+02,1.620e+04,1.746e+04,0.158,0.129,0.114,0.106,0.097
59.2,5.337e+02,4.284e+02,2.332e+04,2.428e+04,0.125,0.105,0.095,0.089,0.082
60.8,3.057e+02,6.565e+02,3.786e+04,3.883e+04,0.099,0.082,0.076,0.074,0.069
62.3,2.625e+02,1.187e+03,6.059e+04,6.204e+04,0.078,0.060,0.060,0.060,0.059
63.9,4.536e+02,1.665e+03,7.348e+04,7.560e+04,0.064,0.046,0.045,0.048,0.050
65.4,5.309e+02,1.657e+03,6.692e+04,6.911e+04,0.063,0.037,0.032,0.039,0.043
67.0,4.385e+02,1.336e+03,5.171e+04,5.348e+04,0.075,0.035,0.023,0.032,0.039
68.6,3.166e+02,9.909e+02,3.551e+04,3.682e+04,0.094,0.039,0.020,0.028,0.037
70.1,2.151e+02,6.997e+02,2.252e+04,2.343e+04,0.118,0.047,0.022,0.028,0.037
71.7,1.550e+02,4.955e+02,1.435e+04,1.500e+04,0.149,0.058,0.026,0.029,0.037
73.2,1.072e+02,3.422e+02,9.256e+03,9.705e+03,0.180,0.071,0.031,0.031,0.038
74.8,7.373e+01,2.448e+02,6.037e+03,6.356e+03,0.211,0.083,0.035,0.034,0.039
76.3,5.636e+01,1.862e+02,4.046e+03,4.288e+03,0.241,0.094,0.038,0.036,0.040
77.9,3.955e+01,1.389e+02,2.649e+03,2.827e+03,0.271,0.104,0.040,0.037,0.040
79.5,2.008e+01,9.425e+01,1.745e+03,1.859e+03,0.301,0.112,0.040,0.038,0.040
81.0,1.296e+01,7.545e+01,1.189e+03,1.277e+03,0.330,0.119,0.038,0.038,0.039
82.6,2.361e+01,9.159e+01,8.404e+02,9.556e+02,0.358,0.125,0.036,0.038,0.037
84.1,3.054e+01,1.108e+02,6.738e+02,8.151e+02,0.386,0.129,0.032,0.036,0.036
85.7,3.026e+01,1.187e+02,5.475e+02,6.965e+02,0.413,0.132,0.030,0.034,0.033
87.3,3.654e+01,1.357e+02,4.423e+02,6.146e+02,0.439,0.133,0.029,0.032,0.031
88.8,4.016e+01,1.332e+02,3.619e+02,5.353e+02,0.465,0.133,0.028,0.029,0.028
90.4,3.324e+01,8.823e+01,3.000e+02,4.215e+02,0.490,0.132,0.029,0.026,0.025
91.9,1.828e+01,3.581e+01,2.561e+02,3.102e+02,0.514,0.129,0.032,0.022,0.021
93.5,7.132e+00,2.510e+01,2.126e+02,2.448e+02,0.537,0.125,0.037,0.018,0.018
95.0,8.088e+00,5.888e+01,1.830e+02,2.500e+02,0.559,0.119,0.044,0.014,0.015
96.6,2.098e+01,1.556e+02,1.885e+02,3.651e+02,0.580,0.113,0.052,0.012,0.013
98.2,3.349e+01,3.321e+02,2.213e+02,5.869e+02,0.600,0.105,0.066,0.011,0.012
99.7,4.077e+01,6.280e+02,2.556e+02,9.243e+02,0.620,0.098,0.083,0.011,0.012
101.3,5.431e+01,1.123e+03,3.039e+02,1.481e+03,0.638,0.094,0.100,0.012,0.013
102.8,9.035e+01,1.575e+03,3.359e+02,2.001e+03,0.655,0.089,0.117,0.013,0.015
104.4,1.457e+02,1.640e+03,3.265e+02,2.112e+03,0.672,0.086,0.136,0.017,0.017
105.9,2.202e+02,1.538e+03,2.835e+02,2.042e+03,0.687,0.083,0.155,0.020,0.020
107.5,2.991e+02,1.500e+03,2.475e+02,2.047e+03,0.701,0.081,0.175,0.023,0.022
109.1,3.765e+02,1.445e+03,2.239e+02,2.045e+03,0.714,0.080,0.195,0.026,0.024
110.6,3.879e+02,1.376e+03,1.918e+02,1.956e+03,0.726,0.082,0.215,0.029,0.026
112.2,3.494e+02,1.268e+03,1.501e+02,1.767e+03,0.737,0.085,0.236,0.030,0.028
113.7,3.106e+02,1.163e+03,1.255e+02,1.599e+03,0.747,0.090,0.257,0.031,0.029
115.3,2.929e+02,1.109e+03,1.201e+02,1.522e+03,0.755,0.097,0.278,0.032,0.030
116.9,2.856e+02,1.052e+03,1.192e+02,1.457e+03,0.763,0.105,0.298,0.032,0.030
118.4,2.865e+02,1.005e+03,1.222e+02,1.413e+03,0.769,0.115,0.319,0.031,0.030
120.0,2.902e+02,9.224e+02,1.270e+02,1.340e+03,0.774,0.125,0.340,0.029,0.030
121.5,2.841e+02,8.287e+02,1.378e+02,1.251e+03,0.779,0.137,0.360,0.027,0.029
123.1,2.861e+02,7.629e+02,1.534e+02,1.202e+03,0.782,0.155,0.381,0.027,0.027
124.6,2.967e+02,7.036e+02,1.734e+02,1.174e+03,0.783,0.177,0.400,0.027,0.026
126.2,2.955e+02,6.070e+02,1.969e+02,1.099e+03,0.784,0.198,0.419,0.027,0.024
